timestep,x,timestamps,date
-0.5221752083,1019.214935,1.4549561051340472e+18,2016-02-08 18:28:25.134047232
0.5085217917,1019.218292,1.4549561061647442e+18,2016-02-08 18:28:26.164744192
1.539222792,1019.221649,1.4549561071954452e+18,2016-02-08 18:28:27.195445248
2.569888792,1019.233017,1.4549561082261112e+18,2016-02-08 18:28:28.226111232
3.600614792,1019.236298,1.4549561092568374e+18,2016-02-08 18:28:29.256837376
3.795733792,1019.236298,1.4549561094519562e+18,2016-02-08 18:28:29.451956224
4.859693792,1019.240875,1.4549561105159163e+18,2016-02-08 18:28:30.515916288
5.923618792,1019.240875,1.4549561115798413e+18,2016-02-08 18:28:31.579841280
6.987543792,1019.242096,1.4549561126437663e+18,2016-02-08 18:28:32.643766272
8.051512792,1019.247131,1.4549561137077353e+18,2016-02-08 18:28:33.707735296
9.115456792,1019.247589,1.4549561147716792e+18,2016-02-08 18:28:34.771679232
10.17937779,1019.254379,1.4549561158356001e+18,2016-02-08 18:28:35.835600128
11.24332779,1019.257355,1.4549561168995502e+18,2016-02-08 18:28:36.899550208
12.30723779,1019.260406,1.4549561179634604e+18,2016-02-08 18:28:37.963460352
13.37116579,1019.265671,1.4549561190273882e+18,2016-02-08 18:28:39.027388160
14.43511879,1019.267654,1.4549561200913413e+18,2016-02-08 18:28:40.091341312
15.49911179,1019.274139,1.4549561211553341e+18,2016-02-08 18:28:41.155334144
16.56306779,1019.276199,1.4549561222192904e+18,2016-02-08 18:28:42.219290368
17.62701379,1019.284668,1.4549561232832364e+18,2016-02-08 18:28:43.283236352
18.69095779,1019.285889,1.4549561243471803e+18,2016-02-08 18:28:44.347180288
19.75489879,1019.292068,1.4549561254111212e+18,2016-02-08 18:28:45.411121152
20.81885179,1019.298172,1.4549561264750743e+18,2016-02-08 18:28:46.475074304
21.88281779,1019.304276,1.4549561275390403e+18,2016-02-08 18:28:47.539040256
22.94681379,1019.309082,1.4549561286030362e+18,2016-02-08 18:28:48.603036160
24.01077879,1019.309082,1.4549561296670013e+18,2016-02-08 18:28:49.667001344
25.07474079,1019.305344,1.4549561307309632e+18,2016-02-08 18:28:50.730963200
26.13873679,1019.292679,1.4549561317949594e+18,2016-02-08 18:28:51.794959360
25.5873673317,1019.241486,1.45495613124359e+18,2016-02-08 18:28:51.243589888
26.6182533317,1019.245911,1.4549561322744758e+18,2016-02-08 18:28:52.274475776
27.649129331999998,1019.250336,1.4549561333053517e+18,2016-02-08 18:28:53.305351680
28.680035332000003,1019.262772,1.4549561343362578e+18,2016-02-08 18:28:54.336257792
29.710953332000003,1019.265213,1.4549561353671757e+18,2016-02-08 18:28:55.367175680
