timestep,x,y,z,timestamps,date
0.01338945834,-0.9275991321,-1.573930621,0.13855732980000002,1.454956105669612e+18,2016-02-08 18:28:25.669612032
0.02339645833,-1.249876976,-1.860559702,0.1633119434,1.4549561056796188e+18,2016-02-08 18:28:25.679618816
0.03340245834,-1.4245361090000002,-1.964624643,0.2182828188,1.4549561056896248e+18,2016-02-08 18:28:25.689624832
0.04340845834,-1.617437363,-2.308851004,0.2619757056,1.4549561056996308e+18,2016-02-08 18:28:25.699630848
0.05341445834,-1.734939218,-2.636342049,0.2840494215,1.4549561057096369e+18,2016-02-08 18:28:25.709636864
0.06342045833,-1.770945191,-3.021607399,0.2457726151,1.454956105719643e+18,2016-02-08 18:28:25.719642880
0.07342645833,-1.883793473,-3.365116119,0.1817889363,1.454956105729649e+18,2016-02-08 18:28:25.729648896
0.08343245834,-2.165515423,-3.839488983,0.1102516428,1.454956105739655e+18,2016-02-08 18:28:25.739654912
0.09343845834,-2.370804787,-3.851273775,0.07621812075,1.454956105749661e+18,2016-02-08 18:28:25.749660928
0.1034454583,-2.462273359,-3.399511099,0.09997245669,1.454956105759668e+18,2016-02-08 18:28:25.759667968
0.1134514583,-2.556302071,-3.073818207,0.1932951808,1.454956105769674e+18,2016-02-08 18:28:25.769673984
0.1234574583,-2.728633165,-2.347088814,0.2766233683,1.45495610577968e+18,2016-02-08 18:28:25.779680000
0.1334634583,-2.902579069,-1.112312198,0.3209509254,1.454956105789686e+18,2016-02-08 18:28:25.789686016
0.1434694583,-3.012038469,0.3809043765,0.3997754455,1.454956105799692e+18,2016-02-08 18:28:25.799692032
0.1534754583,-3.002616882,1.693688273,0.4891166091,1.454956105809698e+18,2016-02-08 18:28:25.809698048
0.1634814583,-2.8378796580000003,2.7740139960000003,0.5319806933,1.4549561058197038e+18,2016-02-08 18:28:25.819703808
0.17348845829999998,-2.580307007,3.540327072,0.6107364893,1.4549561058297108e+18,2016-02-08 18:28:25.829710848
0.1834944583,-2.4189338680000003,2.025559664,0.6988343596,1.4549561058397169e+18,2016-02-08 18:28:25.839716864
0.1935004583,-2.280994892,-0.1812622845,0.5360016823,1.454956105849723e+18,2016-02-08 18:28:25.849722880
0.2035064583,-2.009130001,-1.240622997,0.005613158457,1.454956105859729e+18,2016-02-08 18:28:25.859728896
0.2135124583,-1.614632845,-1.17493248,-0.6953434944,1.454956105869735e+18,2016-02-08 18:28:25.869734912
0.2235184583,-1.197575688,-0.9050195813,-1.265187025,1.454956105879741e+18,2016-02-08 18:28:25.879740928
0.2335244583,-0.7953832745999999,-0.9609233737,-1.694878817,1.454956105889747e+18,2016-02-08 18:28:25.889746944
0.2435304583,-0.2891422212,-0.7303764223999999,-1.812169313,1.454956105899753e+18,2016-02-08 18:28:25.899752960
0.2535374583,0.3729263246,0.3669313192,-1.4229888919999998,1.45495610590976e+18,2016-02-08 18:28:25.909760000
0.2635434583,1.006175756,1.49108994,-0.6939011812,1.454956105919766e+18,2016-02-08 18:28:25.919766016
0.2735494583,1.454501271,2.179007292,-0.1321430206,1.454956105929772e+18,2016-02-08 18:28:25.929772032
