timestep,x,y,z,timestamps,date
0.05568983333,-0.5984840393,-13.85295296,-51.0341568,1.4549561057119122e+18,2016-02-08 18:28:25.711912192
0.06568483333,-0.8839988708,-13.45536995,-51.03551483,1.4549561057219072e+18,2016-02-08 18:28:25.721907200
0.07567983333,-1.235466957,-13.05911446,-51.0152359,1.4549561057319022e+18,2016-02-08 18:28:25.731902208
0.08567483332999999,-2.250236511,-11.88126755,-51.29856873,1.4549561057418972e+18,2016-02-08 18:28:25.741897216
0.09566983332999998,-3.047243118,-11.06581497,-51.55543518,1.4549561057518922e+18,2016-02-08 18:28:25.751892224
0.1056648333,-3.732616425,-10.32339478,-51.83985901,1.4549561057618872e+18,2016-02-08 18:28:25.761887232
0.1156598333,-4.0535631180000005,-9.944654465,-51.85454559,1.4549561057718822e+18,2016-02-08 18:28:25.771882240
0.1256548333,-4.216406822,-9.745189667,-51.48737335,1.4549561057818772e+18,2016-02-08 18:28:25.781877248
0.1356498333,-4.229579926,-9.437711716,-51.30923462,1.4549561057918723e+18,2016-02-08 18:28:25.791872256
0.1456458333,-4.103702545,-8.853479385,-51.18630219,1.4549561058018683e+18,2016-02-08 18:28:25.801868288
0.1556408333,-3.857688904,-8.17549324,-50.85318756,1.4549561058118633e+18,2016-02-08 18:28:25.811863296
0.1656358333,-3.738636017,-7.168035507000001,-50.9683075,1.4549561058218583e+18,2016-02-08 18:28:25.821858304
0.17563083329999998,-3.872673035,-5.638746262000001,-51.86870575,1.4549561058318533e+18,2016-02-08 18:28:25.831853312
0.1856258333,-4.209177971,-3.85915947,-52.63779449,1.4549561058418483e+18,2016-02-08 18:28:25.841848320
0.1956208333,-4.683199883,-2.14815712,-52.50556183,1.4549561058518433e+18,2016-02-08 18:28:25.851843328
0.2056158333,-5.351772308,-0.3453655243,-52.27958679,1.4549561058618383e+18,2016-02-08 18:28:25.861838336
0.2156108333,-6.140622139,1.60436821,-52.5515976,1.4549561058718333e+18,2016-02-08 18:28:25.871833344
0.2256058333,-6.86465168,3.587903976,-52.74761963,1.4549561058818284e+18,2016-02-08 18:28:25.881828352
0.2356008333,-7.491463661,5.46657753,-52.92453003,1.4549561058918234e+18,2016-02-08 18:28:25.891823360
0.2455958333,-8.092832565,7.226083755,-52.94641876,1.4549561059018184e+18,2016-02-08 18:28:25.901818368
0.2555908333,-8.716445923,8.643133163,-52.64192963,1.4549561059118134e+18,2016-02-08 18:28:25.911813376
