"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.795708333E-3,6.930587769E-1,9.361532593E0,5.582191772E0
8.210291664E-3,1.249900818E-1,8.943002930E0,5.344336395E0
1.821629166E-2,-3.094065857E-1,8.350684662E0,4.911137238E0
2.822329167E-2,-1.802252197E-1,8.097411346E0,4.564607849E0
3.822929166E-2,-4.026626587E-2,8.418643341E0,3.648662567E0
4.823629167E-2,-1.875599670E-1,8.596772919E0,2.764900360E0
5.824229166E-2,-3.339555359E-1,8.633147278E0,2.942431183E0
6.824929167E-2,-2.695893860E-1,8.761729889E0,3.358416138E0
7.825529166E-2,4.550537109E-2,8.891659698E0,3.917952576E0
8.826129166E-2,1.053808594E-1,9.003626862E0,4.319567413E0
9.826829167E-2,-4.805007935E-2,9.018296356E0,4.531676331E0
1.082742917E-1,-3.632945251E-1,8.955427094E0,4.626878357E0
1.182812917E-1,-6.430627441E-1,8.840017090E0,4.518354034E0
1.282872917E-1,-7.062313843E-1,8.765322418E0,4.303401031E0
1.382932917E-1,-4.975653076E-1,8.763825531E0,3.974235535E0
1.483002917E-1,-2.888992310E-1,8.610095215E0,3.615731049E0
1.583062917E-1,-4.583468628E-1,8.165819092E0,3.843856659E0
1.683132917E-1,-1.070573730E0,7.530540161E0,4.481979675E0
1.783192917E-1,-1.786534882E0,7.331154785E0,4.405189362E0
1.883262917E-1,-2.066602478E0,7.410340118E0,4.296964417E0
1.983322917E-1,-1.881138153E0,7.030430145E0,4.072131958E0
2.083382917E-1,-1.441801758E0,6.469995575E0,3.312312012E0
2.183452917E-1,-1.037342834E0,5.987848206E0,3.440295868E0
2.283512917E-1,-9.454339600E-1,5.759273529E0,4.433031464E0
2.383582917E-1,-8.866062927E-1,5.688470764E0,4.538262634E0
2.483642917E-1,-1.809736633E-1,5.258115692E0,4.255201263E0
2.583712917E-1,4.064048767E-1,4.695136414E0,4.371210022E0
2.683772917E-1,2.326162720E-1,4.701722717E0,4.921016693E0
2.783832917E-1,-8.307723999E-2,4.430486755E0,5.611979828E0
2.883902917E-1,-4.150868225E-1,3.466042328E0,6.094576263E0
2.983962917E-1,-4.080514526E-1,2.710563354E0,6.413862305E0
3.084032917E-1,1.572929077E0,2.422562256E0,6.083199921E0
3.184092917E-1,4.432732086E0,2.896626434E0,5.835165710E0
3.284162917E-1,6.148015137E0,3.764521637E0,6.807992706E0
3.384222917E-1,7.575446777E0,5.447322235E0,1.178634018E1
3.484282917E-1,9.070088654E0,6.973099365E0,1.621203690E1
3.584352917E-1,9.110504608E0,8.155340881E0,1.889760223E1
3.684412917E-1,7.956554260E0,8.170908508E0,1.816592377E1
3.784482917E-1,7.701334991E0,6.997348938E0,1.470003113E1
3.884542917E-1,6.371799774E0,5.818849640E0,8.317603455E0
3.984612917E-1,6.481521606E0,7.302115173E0,4.534670105E0
4.084672917E-1,7.261549530E0,9.283694458E0,3.873794403E0
4.184732917E-1,6.921756134E0,9.708211670E0,5.697601776E0
4.284802917E-1,5.515280914E0,9.048683167E0,8.114924927E0
4.384862917E-1,5.042563934E0,9.487720184E0,1.038345749E1
4.484932917E-1,5.141657867E0,1.028915359E1,1.212388824E1
4.584992917E-1,3.837869110E0,1.052910461E1,1.292891418E1
4.685062917E-1,2.058219910E0,9.860145721E0,1.261546600E1
4.785122083E-1,1.237776031E0,8.787476349E0,1.280886383E1
4.885182083E-1,9.702822876E-1,8.362809448E0,1.251352798E1
4.985252083E-1,-1.215173035E0,5.119503937E0,1.092667786E1
