"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.196029167E-2,4.548607171E-1,1.794262081E-1,-1.810875684E-1
2.196629166E-2,4.211954474E-1,1.937217861E-1,-6.403914187E-3
3.197329167E-2,2.859113812E-1,9.398199618E-2,1.149194315E-1
4.197929167E-2,8.544618636E-2,-9.082433581E-2,2.353387773E-1
5.198629167E-2,-1.348185241E-1,-1.782716215E-1,3.585762978E-1
6.199229167E-2,-3.426486850E-1,-1.988384277E-1,4.444096982E-1
7.199929167E-2,-4.854650795E-1,-1.459777057E-1,4.503121972E-1
8.200529167E-2,-5.893150568E-1,-4.433948919E-2,3.876602650E-1
9.201129166E-2,-6.838723421E-1,8.227941394E-2,3.133945763E-1
1.020182917E-1,-7.726194859E-1,2.416384518E-1,2.508222759E-1
1.120242917E-1,-8.399736881E-1,4.123345315E-1,2.096735686E-1
1.220312917E-1,-8.884810209E-1,5.504900217E-1,1.910130680E-1
1.320372917E-1,-9.444390535E-1,5.600985885E-1,1.700727344E-1
1.420432917E-1,-1.025672317E0,4.054650366E-1,1.524042487E-1
1.520502917E-1,-1.146422625E0,2.817725539E-1,1.801262945E-1
1.620562917E-1,-1.296236873E0,3.319816589E-1,3.014660180E-1
1.720632917E-1,-1.420871973E0,3.816585839E-1,4.918151200E-1
1.820692917E-1,-1.498189449E0,4.016392231E-1,7.274169922E-1
1.920762917E-1,-1.541967273E0,3.135626018E-1,9.956063628E-1
2.020822917E-1,-1.620541215E0,-1.777804084E-2,1.241202831E0
2.120882917E-1,-1.784855962E0,-2.634342015E-1,1.484443665E0
2.220952917E-1,-2.004837751E0,-2.153084725E-1,1.756213427E0
2.321012917E-1,-2.241249800E0,-1.303591877E-1,1.994652629E0
2.421082917E-1,-2.476975918E0,-8.853319287E-2,2.153822422E0
2.521142917E-1,-2.711905241E0,-7.708990015E-3,2.227552652E0
2.621212917E-1,-2.900480747E0,4.696677253E-2,2.281468153E0
2.721272917E-1,-3.039053202E0,4.786864296E-2,2.418497324E0
2.821332917E-1,-3.131462097E0,8.483571559E-2,2.713489056E0
2.921402917E-1,-3.207121849E0,1.317885667E-1,3.046059370E0
3.021462917E-1,-3.292916298E0,1.402006894E-1,3.200205326E0
3.121532917E-1,-3.371125937E0,1.787221879E-1,3.043991804E0
3.221592917E-1,-3.422733784E0,3.803666234E-1,2.683352709E0
3.321662917E-1,-2.697509050E0,3.941264451E-1,2.128873348E0
3.421722917E-1,-1.618862033E0,6.170359254E-1,1.570862532E0
3.521782917E-1,-3.957206905E-1,9.829126000E-1,1.066118121E0
3.621852917E-1,6.999394894E-1,1.148366094E0,7.462940216E-1
3.721912917E-1,1.265730977E0,1.232928872E0,6.722663045E-1
3.821982917E-1,1.037025332E0,9.348227978E-1,8.751217127E-1
3.922042917E-1,3.098675609E-1,3.457056582E-1,1.097816706E0
4.022112917E-1,-5.432270765E-1,-4.379137754E-1,1.203540921E0
4.122172917E-1,-1.159188628E0,-1.127067447E0,1.283740759E0
4.222232917E-1,-1.355658293E0,-1.562151194E0,1.389011979E0
4.322302917E-1,-1.142900467E0,-1.570571423E0,1.278961301E0
4.422362917E-1,-7.192083597E-1,-1.097253680E0,8.715815544E-1
4.522432917E-1,-3.002767861E-1,-3.714904189E-1,3.570351601E-1
4.622492917E-1,8.042529970E-2,2.303181887E-1,2.273627743E-2
4.722562917E-1,4.856649637E-1,5.857001543E-1,-1.097915173E-1
4.822622083E-1,9.555187225E-1,6.625126600E-1,-1.818537265E-1
4.922682083E-1,1.273529053E0,8.286798000E-1,-9.931042045E-2
5.022752083E-1,1.061986685E0,1.142765284E0,9.758160263E-2
5.122812083E-1,2.870281637E-1,1.080893159E0,3.094912171E-1
5.222882083E-1,-1.086469531E0,9.247610569E-1,3.577077389E-1
5.322942083E-1,-2.165528059E0,4.048978984E-1,-1.629638672E-2
5.423012083E-1,-2.395721197E0,2.660577297E-1,-4.102591276E-1
5.523072083E-1,-2.170751095E0,-3.013261855E-1,-4.313464761E-1
5.623132083E-1,-1.719646692E0,-3.305245638E-1,-5.077152848E-1
5.723202083E-1,-1.256366014E0,2.763465345E-1,-8.596718311E-1
5.823262083E-1,-8.376775384E-1,1.369882584E0,-1.250476599E0
5.923332083E-1,-3.595059514E-1,2.198352337E0,-1.200771689E0
6.023392083E-1,8.379238844E-2,2.710467577E0,-8.855153322E-1
6.123462083E-1,2.086067051E-1,3.038888454E0,-7.159358859E-1
6.223522083E-1,6.013114471E-3,2.431763649E0,-9.098028541E-1
6.323582083E-1,-2.470977902E-1,2.783957720E-1,-1.301312327E0
6.423652083E-1,-4.573053420E-1,-2.108394384E0,-1.301835656E0
6.523712083E-1,-8.919972777E-1,-3.029468775E0,-1.007190108E0
6.623782083E-1,-1.278821468E0,-2.741611004E0,-6.260609031E-1
6.723842083E-1,-1.051935554E0,-2.275482655E0,-6.136544943E-1
6.823912083E-1,-2.159777880E-1,-1.966884613E0,-1.136621237E0
6.923972083E-1,3.531261683E-1,-1.651616812E0,-1.774599195E0
7.024042083E-1,1.408586502E-1,-6.166927814E-1,-2.174749374E0
7.124102083E-1,-3.593641818E-1,3.426372707E-1,-2.330494642E0
7.224162083E-1,-7.946608067E-1,6.210467815E-1,-2.355340958E0
7.324232083E-1,-1.296221614E0,-1.641077846E-1,-2.344672441E0
7.424292083E-1,-2.030353069E0,-8.246617913E-1,-2.401793003E0
7.524362083E-1,-2.603785992E0,2.779722773E-2,-2.468587875E0
7.624422083E-1,-2.846423864E0,1.266399384E0,-2.319185734E0
7.724492083E-1,-2.750866652E0,2.526370764E0,-2.243781567E0
7.824552083E-1,-1.847472429E0,4.550193787E0,-3.036206007E0
7.924612083E-1,-2.342637181E-1,5.401493549E0,-5.346982956E0
8.024682083E-1,3.511776626E-1,1.948271632E0,-5.999915123E0
8.124742083E-1,1.093373060E0,-2.652550042E-1,-5.302863121E0
8.224812083E-1,1.565087557E0,-9.526264668E-1,-4.895578384E0
8.324872083E-1,1.975809455E0,2.067691088E-1,-4.873837471E0
8.424942083E-1,2.067358255E0,2.191646099E0,-4.837968349E0
8.525002083E-1,1.884230971E0,4.246644020E0,-4.756668091E0
8.625072083E-1,1.441058636E0,6.617741585E0,-5.001372337E0
8.725132083E-1,1.088424325E0,7.262040615E0,-4.994993210E0
8.825192083E-1,2.305745929E-1,5.647685051E0,-4.791523457E0
8.925262083E-1,-2.519761026E-2,4.185299397E0,-4.484328270E0
9.025322083E-1,2.643540502E-1,2.801773548E0,-3.884458303E0
9.125392083E-1,1.241969466E0,1.239563823E0,-2.734898806E0
9.225452083E-1,2.363860130E0,7.936621308E-1,-1.283113837E0
9.325522083E-1,2.592786312E0,8.438366652E-1,-8.554725349E-2
9.425582083E-1,1.842320561E0,1.159783006E0,7.037393451E-1
9.525642083E-1,6.351217628E-1,2.304029226E0,1.191871524E0
9.625712083E-1,-8.272535205E-1,3.025568962E0,1.568893552E0
9.725772083E-1,-2.065944433E0,2.783172846E0,1.807522058E0
9.825842083E-1,-2.365279436E0,2.714333534E0,1.966120839E0
9.925902083E-1,-1.332445860E0,1.271412849E0,2.367077589E0
1.002597208E0,-1.725273877E-1,2.534170449E-1,2.455926180E0
1.012603208E0,5.465608239E-1,1.981698424E-1,2.441295147E0
1.022610208E0,8.817731738E-1,6.775404215E-1,2.390930414E0
1.032616208E0,8.805293441E-1,1.147426009E0,2.315376043E0
1.042622208E0,7.084867358E-1,1.297862411E0,2.220497608E0
1.052629208E0,4.001520276E-1,8.456330895E-1,2.048784018E0
1.062635208E0,8.543270081E-2,4.118725955E-1,1.888290048E0
1.072642208E0,-1.649919152E-2,4.528980553E-1,1.678976774E0
1.082648208E0,-3.996774554E-1,-2.095707357E-1,1.411677361E0
1.092655208E0,-7.034311295E-1,-8.947449923E-1,1.158410430E0
1.102661208E0,-6.977047920E-1,-1.203114748E0,8.932850361E-1
1.112668208E0,-5.016973615E-1,-1.344277620E0,3.212351799E-1
1.122674208E0,4.090289176E-1,-2.952080250E0,-1.091960549E0
1.132680208E0,1.022810102E0,-5.402585983E0,-2.060121536E0
1.142687208E0,1.307812810E0,-6.709425449E0,-2.183909655E0
1.152693208E0,1.565089822E0,-6.898358822E0,-2.326807022E0
1.162700208E0,1.520310640E0,-6.912914753E0,-2.333852291E0
1.172706208E0,1.569094419E0,-6.717947960E0,-1.895204544E0
1.182713208E0,2.013892412E0,-5.899824142E0,-1.195904255E0
1.192719208E0,1.736496329E0,-5.266507149E0,-5.416004062E-1
1.202725208E0,8.118276000E-1,-4.546299934E0,4.983732104E-2
1.212732208E0,4.903413951E-1,-2.447939634E0,1.885749251E-1
1.222738208E0,4.976911843E-1,-9.300982952E-1,-1.194595993E-1
1.232745208E0,6.285507083E-1,-2.384807467E-1,-3.208359182E-1
1.242751208E0,7.323908210E-1,4.809575677E-1,-5.173698068E-1
1.252758208E0,5.474013686E-1,1.024933338E0,-8.360286951E-1
1.262764208E0,3.269139528E-1,1.325322747E0,-1.201835155E0
1.272771208E0,3.758967221E-1,1.300767064E0,-1.628921747E0
1.282777208E0,4.874640107E-1,7.207031250E-1,-1.935318947E0
1.292783208E0,5.128852129E-1,-4.037077427E-1,-2.067067623E0
1.302790208E0,-7.673726231E-2,-2.074247360E0,-1.957349181E0
1.312796208E0,-3.514863551E-1,-3.389356136E0,-1.722954750E0
1.322803208E0,5.247575417E-2,-3.881758451E0,-1.274764538E0
1.332809208E0,4.872157276E-1,-5.198115349E0,-8.132414222E-1
1.342816208E0,7.957173586E-1,-7.135442734E0,-6.097069383E-1
1.352822208E0,9.228603244E-1,-7.879240036E0,-7.088280916E-1
1.362829208E0,1.081403613E0,-6.291646957E0,-4.798250198E-1
1.372835208E0,9.487921000E-1,-2.544950008E0,3.883090019E-1
1.382841208E0,-3.882918879E-2,2.414081335E0,1.656993628E0
1.392848208E0,-5.651921034E-1,6.486122608E0,2.306714535E0
1.402854208E0,8.728657663E-2,7.720289230E0,1.981119394E0
1.412861208E0,-2.459328622E-1,4.731822968E0,1.204005718E0
1.422867208E0,-8.136671185E-1,3.261611760E-1,3.251194656E-1
1.432874208E0,-4.664177597E-1,-1.734217525E0,-3.653686643E-1
1.442880208E0,1.925253123E-2,-1.999905348E0,-8.341335058E-1
1.452886208E0,2.777682841E-1,-1.246443391E0,-1.162032008E0
1.462893208E0,3.045106530E-1,-2.453918010E-1,-1.493338585E0
1.472899208E0,2.544072866E-1,6.554180980E-1,-1.698238015E0
1.482905542E0,6.307379901E-2,4.715217650E-1,-1.774484515E0
1.492911542E0,-1.969997138E-1,-4.574725032E-1,-1.801874518E0
1.502918542E0,-1.630129814E-1,-9.300811291E-1,-1.536946177E0
1.512924542E0,2.021456882E-2,-6.095604300E-1,-1.036497235E0
1.522931542E0,1.189968064E-1,1.735194921E-1,-5.375995040E-1
1.532937542E0,8.747068793E-2,9.042958021E-1,-1.584361047E-1
1.542943542E0,-5.309228227E-2,1.223158717E0,1.460766494E-1
1.552950542E0,-2.100491822E-1,1.180776000E0,4.661058784E-1
1.562956542E0,-3.427712917E-1,9.939722419E-1,7.562777400E-1
1.572963542E0,-4.941608012E-1,1.052272558E0,1.083962202E0
1.582969542E0,-6.551030874E-1,1.139160395E0,1.202946067E0
1.592976542E0,-5.471401811E-1,5.193401575E-1,8.723859787E-1
1.602982542E0,-3.040614724E-1,-4.810779914E-2,5.835744143E-1
1.612989542E0,-2.622438595E-2,-4.820169210E-1,4.382233620E-1
1.622995542E0,1.664534509E-1,-4.423752427E-1,3.718286157E-1
1.633001542E0,2.521519065E-1,-1.564291269E-1,2.426107675E-1
1.643008542E0,2.594758868E-1,7.000987977E-2,7.943782210E-2
1.653014542E0,1.608490795E-1,1.111354828E-1,-8.297018707E-2
1.663021542E0,9.995669872E-2,-1.020313874E-1,-2.537126243E-1
1.673027542E0,-1.268877089E-2,6.744246930E-2,-3.768089116E-1
1.683034542E0,-1.041896567E-1,1.819706410E-1,-4.756268263E-1
1.693040542E0,-1.926879436E-1,2.443196476E-1,-6.350588799E-1
1.703047542E0,-1.723387390E-1,4.502011463E-2,-6.440086961E-1
1.713053542E0,-1.093902662E-1,1.066897064E-1,-4.836351871E-1
1.723059542E0,-3.690728173E-2,1.090830863E-1,-2.706464827E-1
1.733066542E0,-1.436778810E-2,1.986518502E-1,-6.324327737E-2
1.743072542E0,-3.944837302E-2,4.412002861E-1,1.105263829E-1
1.753079542E0,-1.302065551E-1,8.298922181E-1,1.082345471E-1
1.763085542E0,-2.881040275E-1,1.282204866E0,-2.161692828E-2
1.773092542E0,-4.234020114E-1,1.139763713E0,-1.077418774E-1
1.783098542E0,-4.045462906E-1,7.445238829E-1,-8.678492904E-2
1.793104542E0,-2.563374341E-1,3.761127889E-1,-6.657134742E-2
1.803111542E0,-9.731768072E-2,7.036751509E-2,-5.871102586E-2
1.813117542E0,2.281840146E-2,-1.539563239E-1,-5.782568455E-2
1.823124542E0,6.304438412E-2,-1.838090271E-1,-3.912762925E-2
1.833130542E0,-7.630805485E-3,-2.547505312E-2,-3.052883549E-3
1.843137542E0,-1.403366476E-1,1.540339887E-1,1.472857594E-1
1.853143542E0,-3.557415903E-1,4.864752591E-1,3.216369450E-1
1.863150542E0,-4.669125676E-1,4.146935046E-1,3.746530414E-1
1.873156542E0,-4.217382967E-1,5.130844116E-1,3.145893216E-1
1.883162542E0,-4.197177589E-1,6.691133976E-1,2.203179747E-1
1.893169542E0,-5.047615767E-1,8.064175844E-1,1.834287792E-1
1.903175542E0,-4.672780931E-1,6.090757251E-1,2.495843619E-1
1.913182542E0,-3.190720975E-1,5.535622835E-1,2.497150004E-1
1.923188542E0,-1.498204768E-1,4.534106553E-1,2.179450840E-1
1.933195542E0,-7.382194698E-2,5.355837345E-1,2.607659698E-1
1.943201542E0,-1.822448373E-1,8.030530214E-1,3.001575768E-1
1.953208542E0,-2.906576097E-1,9.362238646E-1,3.258733153E-1
1.963214542E0,-2.498086989E-1,7.662353516E-1,4.989782572E-1
1.973220542E0,-1.773123592E-1,3.961340189E-1,1.091802359E0
1.983227542E0,-3.096781373E-1,4.016683102E-1,1.638050556E0
1.993233542E0,-3.209719956E-1,4.170190990E-1,1.842706919E0
2.003240542E0,-2.153507471E-1,4.012505412E-1,1.635541201E0
2.013246542E0,-1.680658013E-1,5.775865912E-1,1.251112342E0
2.023253542E0,-2.510842681E-1,1.024530292E0,7.658224106E-1
2.033259542E0,-3.017450869E-1,1.004358411E0,6.625530124E-1
2.043266542E0,-3.832260966E-1,8.507032394E-1,8.542683721E-1
2.053272542E0,-5.228762031E-1,5.626640916E-1,1.064058065E0
2.063278542E0,-4.383256435E-1,2.772816122E-1,9.560584426E-1
2.073285542E0,-2.287931293E-1,-2.608039677E-1,7.988867164E-1
2.083291542E0,-1.595695913E-1,-6.911510825E-1,7.334392667E-1
2.093298542E0,-9.389387071E-2,-8.038415909E-1,7.291875482E-1
2.103304542E0,2.772976831E-2,-4.566932321E-1,8.953459263E-1
2.113311542E0,3.124640584E-1,-1.450575143E-1,8.202884197E-1
2.123317542E0,5.790118575E-1,9.783901274E-2,4.440726936E-1
2.133324542E0,8.890041113E-1,-5.703119095E-3,-2.972090058E-2
2.143330542E0,1.113571644E0,-3.667832911E-1,-2.426619381E-1
2.153336542E0,1.264046907E0,-8.174362183E-1,-5.252217650E-1
2.163343542E0,1.335057974E0,-1.302462459E0,-7.634028792E-1
2.173349542E0,1.201669931E0,-1.289952397E0,-9.588316083E-1
2.183356542E0,1.055886388E0,-1.092491746E0,-1.365621686E0
2.193362542E0,8.109143376E-1,-6.915867329E-1,-1.788974524E0
2.203369542E0,4.199040234E-1,-6.245623901E-2,-2.049588203E0
2.213375542E0,5.502469838E-2,7.022200823E-1,-2.102605820E0
2.223382542E0,-1.035961062E-1,1.408075213E0,-2.043591976E0
2.233388542E0,-6.073905155E-3,1.963605165E0,-1.913492084E0
2.243394542E0,1.570146233E-1,2.285522699E0,-1.857714772E0
2.253401542E0,7.293780893E-2,1.585953355E0,-1.713213205E0
2.263407542E0,6.324576586E-2,-1.887574494E-1,-1.403895020E0
2.273414542E0,3.095287383E-1,-1.175909042E0,-1.089652419E0
2.283420542E0,3.444814086E-1,-9.647527933E-1,-1.052406549E0
2.293427542E0,2.798098326E-1,-3.802068532E-1,-1.091845632E0
2.303433542E0,3.386646211E-1,-1.504913867E-1,-1.095146537E0
2.313440542E0,4.230698049E-1,-2.101098895E-1,-1.085318804E0
2.323446542E0,3.687631488E-1,-1.875449270E-1,-1.073952436E0
2.333452542E0,1.790349483E-1,-6.181628257E-2,-1.039151907E0
2.343459542E0,1.974356174E-2,3.650576249E-2,-1.012571216E0
2.353465542E0,-3.156275302E-2,4.913008586E-2,-1.028848767E0
2.363472542E0,-2.858027816E-2,2.580426075E-2,-1.062311411E0
2.373478542E0,8.973875083E-4,4.394406080E-2,-1.087795496E0
2.383485542E0,6.928283721E-2,4.427349567E-2,-1.133230925E0
2.393491542E0,1.073264256E-1,-9.679165669E-3,-1.166295886E0
2.403498542E0,1.067450568E-1,-1.501619816E-1,-1.175438285E0
2.413504542E0,1.318535954E-1,-2.759085894E-1,-1.156748295E0
2.423511542E0,1.710569113E-1,-3.730916083E-1,-1.143123627E0
2.433517542E0,1.405829787E-1,-4.333406389E-1,-1.143489838E0
2.443523542E0,1.924003661E-2,-3.737547994E-1,-1.134214640E0
2.453530542E0,-9.502149373E-2,-1.110490933E-1,-1.067397118E0
2.463536542E0,-1.651244015E-1,1.504922211E-1,-9.829382300E-1
