"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.269583299E-4,-3.704795837E-1,9.618997192E-1,7.458539886E0
1.013295833E-2,-6.177653503E-1,2.335144043E-2,7.389982452E0
2.013895832E-2,-5.822891235E-2,4.861889648E-1,8.489296417E0
3.014495832E-2,4.782554626E-1,1.253942413E0,9.163344727E0
4.014995832E-2,5.423222351E-1,1.271306305E0,9.125623169E0
5.015595832E-2,2.110610962E-1,3.592529297E-2,9.214388580E0
6.016195833E-2,1.745520172E0,-2.110610962E-1,6.647227020E0
7.016795833E-2,1.693877563E0,-1.871408386E0,8.011190643E0
8.017395833E-2,2.492915955E0,-1.743125153E0,1.361374008E1
9.017995832E-2,3.235372009E0,-7.499404907E-1,1.299926788E1
1.001859583E-1,8.375083923E-1,-5.709127808E-1,1.106319397E1
1.101919583E-1,4.746629333E-1,-2.540217590E-1,8.698710938E0
1.201969583E-1,3.935316467E-1,-4.547543335E-1,9.113348694E0
1.302029583E-1,1.114881592E0,5.656736755E-1,1.040740768E1
1.402089583E-1,7.917036438E-1,4.523593140E-1,9.323212280E0
1.502149583E-1,-1.134640503E0,-1.448687439E0,6.415808258E0
1.602209583E-1,-5.222639465E-1,-8.352630615E-1,8.864116974E0
1.702269583E-1,7.674540710E-1,-9.554631042E-1,1.239796829E1
1.802329583E-1,-2.320175171E-2,-1.899250488E0,1.157123749E1
1.902389583E-1,-7.295828247E-1,-2.241139526E0,1.009665390E1
2.002439583E-1,1.332229614E-2,-1.864971771E0,1.191656937E1
2.102499583E-1,8.918453979E-1,-8.065228271E-1,1.332109863E1
2.202559583E-1,1.072968750E0,2.965333557E-1,1.273791138E1
2.302619583E-1,7.801776123E-1,2.531835022E0,1.147902924E1
2.402679583E-1,3.272195435E-1,3.410058746E0,1.169503006E1
2.502739583E-1,-1.369651794E-1,2.522254944E-1,1.142005188E1
2.602799583E-1,5.225633240E-1,-2.203268280E0,1.067984116E1
2.702859583E-1,2.990780640E-1,-2.687062225E0,1.040860519E1
2.802909583E-1,-4.960684204E-1,-2.189796295E0,8.783734131E0
2.902969583E-1,-1.801354065E0,-6.515950012E-1,4.192481689E0
3.003029583E-1,-1.722468109E0,6.364764404E-1,8.504864044E0
3.103089583E-1,-4.406835938E-1,1.667532349E0,1.119327347E1
3.203149583E-1,-8.726852417E-2,1.893712006E0,1.201341797E1
3.303209583E-1,-3.448528748E0,-1.872007141E0,9.674681396E0
3.403269583E-1,-5.604345703E0,-4.852159882E0,2.868934021E0
3.503329583E-1,-4.094884644E0,-2.884202271E0,4.336931305E0
3.603389583E-1,-4.994364166E0,-1.378633118E-1,2.435884552E0
3.703439583E-1,-5.216053162E0,2.017205200E0,1.557511139E0
3.803499583E-1,-4.598138123E0,1.628313904E0,4.021836548E0
3.903559583E-1,-4.892126770E0,-1.605261841E0,6.132896576E0
4.003619583E-1,-5.657634888E0,-4.761448517E0,5.979166260E0
4.103679583E-1,-7.264393616E0,-6.760242004E0,8.008346558E0
4.203739583E-1,-6.581214294E0,-6.869215393E0,7.973169708E0
4.303799583E-1,-4.437073059E0,-6.440357208E0,5.624104614E0
4.403859583E-1,-4.455035706E0,-6.323150940E0,5.511389008E0
4.503909583E-1,-3.217559052E0,-6.174210663E0,4.245770874E0
4.603969583E-1,-1.746418304E0,-6.574178925E0,9.849966888E0
4.704029167E-1,-8.375383301E0,-6.736890564E0,1.573333237E1
4.804089167E-1,-1.282143768E1,-5.319338379E0,1.296004944E1
4.904149167E-1,-1.092847412E1,-5.623356171E0,1.311797104E1
5.004209167E-1,-9.995763702E0,-4.982089691E0,1.193977112E1
5.104269167E-1,-8.877738647E0,-2.838696899E0,8.831185455E0
5.204329167E-1,-8.228838043E0,-2.308200073E0,8.153245239E0
5.304379167E-1,-8.906927948E0,-2.457290039E0,7.211852875E0
5.404439167E-1,-9.924661560E0,-2.369871826E0,6.084247742E0
5.504499167E-1,-1.088461533E1,-3.048710175E0,5.852828979E0
5.604559167E-1,-1.134565659E1,-2.955454102E0,5.047803040E0
5.704619167E-1,-1.083746338E1,-2.293380890E0,5.251379700E0
5.804679167E-1,-1.026819717E1,-1.640588379E0,5.855523376E0
5.904739167E-1,-9.810449066E0,-8.234376526E-1,5.922733612E0
6.004799167E-1,-9.316326599E0,-3.511697388E-1,6.010451202E0
6.104859167E-1,-9.278455353E0,-6.358776855E-1,6.028563538E0
6.204909167E-1,-9.908345490E0,-1.258283386E0,5.255570984E0
6.304969167E-1,-1.044902115E1,-1.792522430E0,5.131628723E0
6.405029167E-1,-1.093236603E1,-1.807491302E0,5.336702271E0
6.505089167E-1,-1.110181366E1,-1.517095184E0,4.630770264E0
6.605149167E-1,-1.019305344E1,-1.863624573E0,3.595972137E0
6.705209167E-1,-8.997489624E0,-2.284848633E0,1.488504639E0
6.805269167E-1,-8.274493103E0,-2.022593994E0,-8.053253174E-1
6.905329167E-1,-8.837023315E0,-1.636846161E0,-2.106569366E0
7.005379167E-1,-1.005504044E1,-1.708097992E0,-2.367476807E0
7.105439167E-1,-1.098251175E1,-2.341880035E0,-1.992057495E0
7.205499167E-1,-1.102083206E1,-2.887645111E0,-1.352587280E0
7.305559167E-1,-1.004890320E1,-3.427422638E0,3.803590393E-1
7.405619167E-1,-8.995094604E0,-3.453767853E0,1.857786713E0
7.505679167E-1,-8.345445557E0,-3.068768463E0,1.878443756E0
7.605739167E-1,-8.458610229E0,-3.176095276E0,1.463955688E0
7.705799167E-1,-8.569529572E0,-3.589385834E0,7.485932922E-1
7.805859167E-1,-7.682025146E0,-4.041296082E0,-5.194198608E-2
7.905909167E-1,-6.669979706E0,-4.261937256E0,4.330494690E-1
8.005969167E-1,-4.561314697E0,-4.299658813E0,6.616091766E0
8.106029167E-1,-4.344266052E0,-4.231400757E0,1.568603073E1
8.206089167E-1,-6.795718231E0,-4.363426208E0,1.390323807E1
8.306149167E-1,-6.983876953E0,-4.631668396E0,4.173471222E0
8.406209167E-1,-4.812192993E0,-3.613485718E0,-9.755213928E-1
8.506269167E-1,-3.110980682E0,-2.093995514E0,-3.224594421E0
8.606329167E-1,-3.264112244E0,-1.923949127E0,-1.454674988E0
8.706379167E-1,-3.448079681E0,-1.857637024E0,2.264640656E0
8.806439167E-1,-1.008153534E0,1.760339355E-1,1.570683746E0
8.906499167E-1,-6.616241455E-1,3.628454590E-1,-9.595046997E-1
9.006559167E-1,-8.006400604E0,-4.064198456E0,-3.719016266E0
9.106619167E-1,-1.242536133E1,-5.902825012E0,-5.171445923E0
9.206679167E-1,-1.451486618E1,-8.473429413E0,-1.999691620E0
9.306739167E-1,-2.053564590E1,-9.521549835E0,9.714797974E-2
9.406799167E-1,-1.877770157E1,-5.087769928E0,4.218228149E-1
9.506859167E-1,-9.574539642E0,3.735631714E0,1.056353302E0
9.606909167E-1,-3.724105682E0,7.656578064E0,4.300556946E-1
9.706969167E-1,-9.521699524E-1,6.666836243E0,-4.152814178E0
9.807029167E-1,-8.859476624E0,-1.362167358E-2,-7.552544403E0
9.907089167E-1,-1.606264755E1,-4.822072449E0,-5.780679016E0
1.000714917E0,-1.371268433E1,-4.242328033E0,2.390079803E0
1.010720917E0,-7.778574371E0,-1.825304260E0,9.544302521E0
1.020726917E0,-4.906496887E0,4.236190796E-2,1.011880783E1
1.030732917E0,-5.195545807E0,-2.417622528E0,9.118438110E0
1.040737917E0,-6.465953979E0,-7.053781586E0,5.889502716E0
1.050743917E0,-6.063740387E0,-8.008196869E0,3.529809723E0
1.060749917E0,-4.752317505E0,-8.444090424E0,3.468886414E0
1.070755917E0,-2.583627319E0,-9.563612366E0,1.141825562E0
1.080761917E0,-6.239025879E-1,-8.777297516E0,-1.685045929E0
1.090767917E0,7.499404907E-2,-9.484726410E0,-3.242706757E0
1.100773917E0,7.417076111E-1,-6.038592682E0,-6.354884949E0
1.110779917E0,1.536405029E0,-6.914271698E0,-1.240934464E1
1.120785917E0,-3.603007507E-1,-5.079686737E0,-6.910080414E0
1.130790917E0,-1.034498749E0,-5.382956085E0,-7.259902954E-1
1.140796917E0,-3.172802124E0,-9.265282745E0,1.766626282E0
1.150802917E0,-4.215982819E0,-9.129814453E0,6.842421112E0
1.160808917E0,-3.086132355E0,-6.888974304E0,8.585546265E0
1.170814917E0,-2.554887085E0,-4.890330505E0,4.858446808E0
1.180820917E0,-2.491119690E0,-5.629044342E0,3.589834900E0
