"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.388295833E-2,1.741725159E1,1.539691925E0,-3.952479553E1
2.388895833E-2,1.712143707E1,1.678821564E0,-3.967619324E1
3.389495832E-2,1.683349609E1,1.872216702E0,-3.980564880E1
4.389995833E-2,1.583567810E1,2.460202932E0,-4.010115051E1
5.390595832E-2,1.509767914E1,2.926451206E0,-4.041134644E1
6.391195832E-2,1.416979218E1,3.627611160E0,-4.076206970E1
7.391795833E-2,1.277055359E1,4.062232971E0,-4.110418701E1
8.392395833E-2,1.168080902E1,4.465194225E0,-4.127587891E1
9.392995833E-2,1.110057831E1,4.777383804E0,-4.154710388E1
1.039359583E-1,1.120976257E1,5.293716908E0,-4.128895569E1
1.139419583E-1,1.191558075E1,5.778138161E0,-4.118090820E1
1.239469583E-1,1.326207733E1,6.534520149E0,-4.035345459E1
1.339529583E-1,1.489865112E1,6.970602036E0,-3.968928528E1
1.439589583E-1,1.677959442E1,7.259535789E0,-3.892947388E1
1.539649583E-1,1.733805847E1,7.424992561E0,-3.856578064E1
1.639709583E-1,1.670661163E1,7.520627022E0,-3.854263306E1
1.739769583E-1,1.561043549E1,7.383418083E0,-3.885993958E1
1.839829583E-1,1.419683075E1,7.306466103E0,-3.944572449E1
1.939889583E-1,1.296366882E1,7.630579948E0,-3.985314941E1
2.039939583E-1,1.180960083E1,8.142164230E0,-4.020092773E1
2.139999583E-1,1.075178528E1,9.003025055E0,-4.021520996E1
2.240059583E-1,1.035224152E1,9.814846992E0,-3.996827698E1
2.340119583E-1,1.013182831E1,1.064941216E1,-3.969555664E1
2.440179583E-1,1.037377930E1,1.130866623E1,-3.921311951E1
2.540239583E-1,1.072403717E1,1.206554317E1,-3.903718567E1
2.640299583E-1,1.137554169E1,1.272167969E1,-3.884719849E1
2.740359583E-1,1.228622437E1,1.306687927E1,-3.817890930E1
2.840409583E-1,1.341174316E1,1.357884216E1,-3.759480286E1
2.940469583E-1,1.416213226E1,1.337531662E1,-3.715425110E1
3.040529583E-1,1.479624939E1,1.309920216E1,-3.703424072E1
3.140589583E-1,1.549367523E1,1.228582954E1,-3.718122864E1
3.240649583E-1,1.643666840E1,1.183561134E1,-3.667227173E1
3.340709583E-1,1.740019226E1,1.125596809E1,-3.663171387E1
3.440769583E-1,1.810097504E1,1.054567719E1,-3.639334106E1
3.540829583E-1,1.839797974E1,1.028826427E1,-3.642326355E1
3.640889583E-1,1.885376740E1,1.062516022E1,-3.620248413E1
3.740939583E-1,1.934775543E1,1.137938690E1,-3.562191772E1
3.840999583E-1,1.997036743E1,1.254629326E1,-3.499938965E1
3.941059583E-1,2.059424591E1,1.389537239E1,-3.412568665E1
4.041119583E-1,2.143052673E1,1.551408386E1,-3.271829224E1
4.141179583E-1,2.235412598E1,1.715430069E1,-3.110690308E1
4.241239583E-1,2.357857513E1,1.876913643E1,-2.925315857E1
4.341299583E-1,2.465300751E1,2.042704773E1,-2.720893860E1
4.441359583E-1,2.578350830E1,2.195723152E1,-2.505915833E1
4.541409583E-1,2.664919281E1,2.344562912E1,-2.284321594E1
4.641469583E-1,2.733338928E1,2.489774513E1,-2.049864197E1
4.741529167E-1,2.807302094E1,2.607372093E1,-1.799135590E1
4.841589167E-1,2.871760559E1,2.672839546E1,-1.596472931E1
4.941649167E-1,2.960134125E1,2.700872040E1,-1.407108307E1
5.041709167E-1,3.050473022E1,2.682902908E1,-1.216013336E1
5.141769167E-1,3.118943787E1,2.684877586E1,-1.073570251E1
5.241829167E-1,3.222906494E1,2.655708885E1,-8.975433350E0
5.341879167E-1,3.283907318E1,2.651379395E1,-7.349243164E0
5.441939167E-1,3.322149658E1,2.639960480E1,-5.713188171E0
5.541999167E-1,3.373406982E1,2.624708366E1,-4.540618896E0
5.642059167E-1,3.421201324E1,2.587572479E1,-2.895980835E0
5.742119167E-1,3.472936249E1,2.560699272E1,-1.447196960E0
5.842179167E-1,3.514479065E1,2.523952103E1,-3.172225952E-1
5.942239167E-1,3.581174469E1,2.492266273E1,7.759857178E-1
6.042299167E-1,3.596305847E1,2.445955849E1,1.782043457E0
6.142359167E-1,3.644006348E1,2.395412254E1,2.663574219E0
6.242409167E-1,3.667273712E1,2.351673889E1,3.413719177E0
6.342469167E-1,3.704942322E1,2.308797264E1,4.113403320E0
6.442529167E-1,3.728004456E1,2.259300804E1,4.840179443E0
