"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.474166730E-4,-7.520361328E-1,9.226064301E0,3.567980347E0
1.065341667E-2,-6.882687378E-1,8.885073395E0,3.903582458E0
2.065941667E-2,-7.782316589E-1,8.805139618E0,3.700005798E0
3.066541666E-2,-7.902067566E-1,8.776998138E0,3.641327820E0
4.067041667E-2,-8.024812317E-1,8.748407593E0,3.623814240E0
5.067641666E-2,-6.179150391E-1,8.044421539E0,3.416944427E0
6.068241668E-2,-1.628613281E-1,7.452402649E0,3.268902283E0
7.068841667E-2,1.974394226E-1,7.821834412E0,2.861000519E0
8.069341668E-2,1.706451416E-1,8.177345123E0,3.600612488E0
9.069941667E-2,2.371069336E-1,9.173373871E0,4.548441467E0
1.007054167E-1,1.478924561E-1,9.261390839E0,5.045408020E0
1.107114167E-1,2.639012146E-1,9.638307037E0,5.197791138E0
1.207164167E-1,-3.457809448E-2,9.878557434E0,3.937412109E0
1.307224167E-1,-3.686833191E-1,9.373657379E0,3.120261383E0
1.407284167E-1,-6.571334839E-1,8.811276855E0,3.539240112E0
1.507344167E-1,-9.933343506E-1,8.790619812E0,4.114044800E0
1.607394167E-1,-7.701484680E-1,9.368867340E0,4.836442566E0
1.707454167E-1,-6.676116943E-1,9.762249298E0,5.071453857E0
1.807514167E-1,-7.743397522E-1,9.698182526E0,4.592899017E0
1.907574167E-1,-6.185137939E-1,9.369765472E0,4.563859406E0
2.007624167E-1,-3.996688843E-1,8.940458221E0,4.908293152E0
2.107684167E-1,-4.655319214E-2,8.680598602E0,5.470224609E0
2.207744167E-1,4.864883423E-2,8.493637390E0,4.578678589E0
2.307804167E-1,5.239105225E-2,8.427175598E0,3.766317902E0
2.407854167E-1,3.182382202E-1,8.183182983E0,4.134701843E0
2.507914167E-1,1.640588379E-1,7.173382874E0,4.604125671E0
2.607974167E-1,-1.473685455E0,6.224356384E0,5.393134918E0
2.708034167E-1,-1.893412628E0,6.143374786E0,9.887389069E0
2.808094167E-1,-4.908293152E-1,6.586902466E0,1.090871521E1
2.908144167E-1,1.802252197E-1,6.381230164E0,6.699318695E0
3.008204167E-1,2.065704346E-2,6.246510315E0,3.222049713E0
3.108264167E-1,-6.182144165E-1,7.131769409E0,2.376607819E0
3.208324167E-1,-1.089135132E0,8.357270966E0,2.576142883E0
3.308374167E-1,-1.614542542E0,8.610544281E0,2.132315826E0
3.408434167E-1,-1.925895081E0,8.058342590E0,6.896159363E-1
3.508494167E-1,-2.119292908E0,8.577313385E0,-6.033952332E0
3.608554167E-1,-2.834355927E0,8.921896820E0,-2.293081512E0
3.708604167E-1,-1.406475220E0,9.284143524E0,2.940784607E0
3.808664167E-1,-1.847158813E-1,1.008797195E1,1.284778290E0
3.908724167E-1,-5.037025452E-1,8.976982269E0,-1.007704468E0
4.008784167E-1,-3.360811157E0,6.199807434E0,-4.674179993E0
4.108844167E-1,-2.824177094E0,5.157375183E0,-6.101911011E0
4.208894167E-1,-7.575746155E-1,5.134921875E0,-8.657995605E-1
4.308954167E-1,2.877017212E-1,6.073170776E0,6.419251099E0
4.409014167E-1,1.372046814E0,7.569459229E0,8.505163422E0
4.509074167E-1,1.135538635E0,5.727090454E0,1.294103897E1
4.609124167E-1,6.605763245E-1,4.077820129E0,1.718860611E1
4.709184167E-1,7.319778442E-2,5.307512970E0,1.555131088E1
4.809244167E-1,7.298822021E-1,8.168363800E0,1.306977127E1
4.909304167E-1,1.531914368E0,9.946965179E0,9.839189301E0
5.009354167E-1,1.331481171E0,1.013138168E1,7.986941071E0
5.109414167E-1,-2.685415649E-1,9.369166718E0,8.272247772E0
5.209474167E-1,-2.254761200E0,8.343050537E0,7.815397797E0
5.309534167E-1,-2.546953583E0,7.507787476E0,6.506369934E0
