"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.440341667E-2,-2.578896582E-1,-2.353184819E-1,-6.025436893E-2
2.440941667E-2,-3.280141354E-1,-3.128401637E-1,1.960317977E-2
3.441541667E-2,-3.638645113E-1,-4.683843553E-1,4.306491092E-2
4.442041667E-2,-2.957893312E-1,-6.255502701E-1,1.744796522E-2
5.442641667E-2,-6.016363949E-2,-6.170867682E-1,-2.669399232E-2
6.443241666E-2,1.678985506E-1,-7.167677879E-1,-7.487456501E-2
7.443841668E-2,4.044661224E-1,-8.957356215E-1,-1.165426746E-1
8.444341666E-2,4.530507028E-1,-7.519851327E-1,-2.934852242E-1
9.444941668E-2,3.676977158E-1,-2.734557986E-1,-3.087973595E-1
1.044554167E-1,1.845744997E-1,6.423909068E-1,-2.250135243E-1
1.144614167E-1,7.735731453E-2,1.184821248E0,-2.276066691E-2
1.244664167E-1,9.603299946E-2,1.127544999E0,2.781150043E-1
1.344724167E-1,2.036020160E-1,7.941723466E-1,6.200291514E-1
1.444784167E-1,1.517579854E-1,6.273401976E-1,9.100010395E-1
1.544844167E-1,2.787151374E-2,6.752996445E-1,1.047634482E0
1.644894167E-1,-8.908173442E-2,8.178094029E-1,1.060462952E0
1.744954167E-1,-1.167960241E-1,8.530292511E-1,1.035937071E0
1.845014167E-1,-7.695060223E-2,8.802206516E-1,9.956427217E-1
1.945074167E-1,-2.932998911E-2,9.766759872E-1,9.288636446E-1
2.045124167E-1,3.250940889E-2,1.248032570E0,8.198695183E-1
2.145184167E-1,4.483547807E-2,1.442702413E0,7.164121270E-1
2.245244167E-1,-5.582951941E-3,1.445944309E0,6.106172204E-1
2.345304167E-1,-8.496291190E-2,1.524464011E0,4.864151180E-1
2.445354167E-1,-2.936218381E-1,1.423175693E0,1.973061115E-1
2.545414167E-1,-8.219863176E-1,7.409436703E-1,-3.196228147E-1
2.645474167E-1,-1.149061322E0,8.640916944E-1,-8.914983273E-1
2.745534167E-1,-1.009501815E0,2.013942480E0,-1.191373348E0
2.845594167E-1,-6.444401741E-1,2.949819565E0,-1.011701584E0
2.945644167E-1,-2.648566663E-1,3.117373466E0,-5.495231748E-1
3.045704167E-1,1.085502207E-1,2.844969511E0,-9.249567986E-2
3.145764167E-1,3.733276427E-1,2.760174751E0,2.483835816E-1
3.245824167E-1,4.119245708E-1,2.695367813E0,5.849216580E-1
3.345874167E-1,1.463152319E-1,2.498006821E0,9.114487171E-1
3.445934167E-1,5.223008394E-1,4.336336255E-1,1.156134009E0
3.545994167E-1,4.042720795E-1,-4.850397706E-1,1.203168988E0
3.646054167E-1,-3.926900327E-1,5.871754140E-2,1.096284866E0
3.746104167E-1,-1.101981997E0,2.416964471E-1,7.988622785E-1
3.846164167E-1,-1.770605087E0,2.861612849E-2,6.471734047E-1
3.946224167E-1,-2.910962582E0,-2.955554426E-1,1.022331595E0
4.046284167E-1,-4.223900795E0,-7.952907085E-1,1.462609649E0
4.146344167E-1,-5.166201115E0,-5.782989264E-1,1.737935543E0
4.246394167E-1,-5.441482544E0,5.080095530E-1,1.734196424E0
4.346454167E-1,-5.083391666E0,7.359027863E-1,1.108124137E0
4.446514167E-1,-4.218866348E0,1.070633888E0,6.431711912E-1
4.546574167E-1,-3.141653299E0,1.816646099E0,4.182406068E-1
4.646624167E-1,-1.958856940E0,1.976980925E0,3.297522962E-1
4.746684167E-1,-1.006671786E0,1.862202048E0,2.995409071E-1
4.846744167E-1,-4.657413363E-1,1.430762172E0,2.393473387E-1
4.946804167E-1,-2.140890807E-1,9.022282958E-1,2.566505671E-1
5.046854167E-1,-1.473678350E-1,6.255197525E-1,4.684943855E-1
5.146914167E-1,-9.618658572E-2,3.092076480E-1,8.983739614E-1
5.246974167E-1,-1.050320119E-1,-2.043863982E-1,1.437362313E0
5.347034167E-1,-2.357503772E-1,-8.186323643E-1,1.974029422E0
5.447084167E-1,-3.986572623E-1,-1.366351366E0,2.462482214E0
5.547144167E-1,-5.771287680E-1,-1.794498801E0,2.914992809E0
5.647204167E-1,-6.716831923E-1,-2.238906384E0,3.161931038E0
5.747264167E-1,-6.758627295E-1,-2.563474894E0,3.050142527E0
5.847314167E-1,-5.802552104E-1,-2.682586432E0,2.710257053E0
5.947374167E-1,-3.666671813E-1,-2.469283104E0,2.326646805E0
6.047434167E-1,-1.434276849E-1,-1.968379378E0,1.853747368E0
6.147494167E-1,-6.664071232E-2,-1.349753737E0,1.207616448E0
6.247554167E-1,-1.649478376E-1,-5.863629580E-1,5.248658657E-1
6.347604167E-1,-2.413061261E-1,-9.201634675E-2,1.504087448E-2
6.447664167E-1,-9.942223132E-2,-4.459077492E-2,-1.684067100E-1
6.547724167E-1,1.794202179E-1,-2.831925750E-1,2.030196786E-2
6.647784167E-1,3.811016679E-1,-5.394759774E-1,4.313606322E-1
6.747834167E-1,2.691750824E-1,-1.040794969E0,8.277618885E-1
6.847894167E-1,-1.707690060E-1,-1.794271469E0,1.237969279E0
6.947954167E-1,-6.567319632E-1,-2.578691006E0,1.824818611E0
7.048014167E-1,-8.519299626E-1,-3.348488569E0,2.465957642E0
7.148064167E-1,-7.417252660E-1,-3.664601564E0,2.922170639E0
7.248124167E-1,-5.241295695E-1,-3.817550659E0,3.119149208E0
7.348184167E-1,-3.454065323E-1,-3.832168341E0,2.994349003E0
7.448244167E-1,-2.005164623E-1,-3.540990114E0,2.536176920E0
7.548294167E-1,-2.229417302E-2,-2.914207220E0,1.936473131E0
7.648354167E-1,2.216069102E-1,-2.316011429E0,1.387653470E0
7.748414167E-1,4.179332852E-1,-1.521040440E0,1.005812526E0
7.848474167E-1,6.222909689E-1,-6.370522976E-1,8.353861570E-1
7.948534167E-1,8.271393180E-1,1.573615819E-1,7.531843781E-1
8.048584167E-1,8.078330159E-1,7.775321603E-1,7.409500480E-1
8.148644167E-1,4.739666283E-1,1.023607850E0,8.200750351E-1
8.248704167E-1,6.491398672E-4,8.482553959E-1,1.078495979E0
8.348764167E-1,-2.762825191E-1,4.198405445E-1,1.745925903E0
8.448814167E-1,-2.668778300E-1,1.262568533E-1,2.758532524E0
8.548874167E-1,-2.610891163E-1,3.003401160E-1,3.766659975E0
8.648934167E-1,-6.402915716E-1,5.458665490E-1,4.134184361E0
8.748994167E-1,-1.362738848E0,1.111056328E0,3.526534081E0
8.849044167E-1,-1.911342859E0,1.672686338E0,2.328825474E0
8.949104167E-1,-2.076265574E0,1.851414919E0,1.179792523E0
9.049164167E-1,-1.980465651E0,2.064211607E0,5.230128169E-1
9.149224167E-1,-1.772701383E0,2.224200249E0,1.137882471E-1
9.249274167E-1,-1.501886725E0,2.405790091E0,-2.017502636E-1
9.349334167E-1,-1.002838016E0,2.280299187E0,-5.166519880E-1
9.449394167E-1,-3.128779233E-1,1.949149847E0,-9.279529452E-1
9.549454167E-1,2.436444908E-1,1.881910324E0,-1.505016565E0
