"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.084303856E-2,5.210826314E1,5.092797565E0,3.069677114E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.419901848E-2,5.210826314E1,5.092797565E0,3.092838049E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.419901848E-2,5.210826314E1,5.092797565E0,3.098347902E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
9.060640335E-1,5.210826314E1,5.092797565E0,3.103061438E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
6.692947984E0,5.210826314E1,5.092797565E0,3.106652737E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.036915720E1,5.210826054E1,5.092750993E0,1.807521889E0,0.000000000E0,-1.000000000E0,1.842131307E1,1.842131307E1
1.136907840E1,5.210826439E1,5.092731630E0,1.652004310E0,0.000000000E0,-1.000000000E0,1.639741447E1,1.639741447E1
1.236908054E1,5.210826728E1,5.092719477E0,1.541103430E0,0.000000000E0,-1.000000000E0,1.406528728E1,1.406528728E1
1.336908197E1,5.210826967E1,5.092711346E0,1.341579505E0,0.000000000E0,-1.000000000E0,1.148830270E1,1.148830270E1
1.436907876E1,5.210827198E1,5.092711095E0,1.335292883E0,0.000000000E0,-1.000000000E0,1.039325470E1,1.039325470E1
1.536908245E1,5.210827604E1,5.092706736E0,2.422878332E0,0.000000000E0,-1.000000000E0,8.222637408E0,8.222637408E0
1.636908865E1,5.210826603E1,5.092702210E0,9.108303139E0,0.000000000E0,-1.000000000E0,4.699796548E0,4.699796548E0
1.736909246E1,5.210826536E1,5.092708832E0,8.715236733E0,1.500000060E-1,-1.000000000E0,4.628101921E0,4.628101921E0
1.836909258E1,5.210826783E1,5.092716711E0,9.007045814E0,2.399999946E-1,-1.000000000E0,4.685828880E0,4.685828880E0
1.936909449E1,5.210826783E1,5.092723332E0,9.111965246E0,0.000000000E0,-1.000000000E0,4.659556841E0,4.659556841E0
2.036909378E1,5.210826649E1,5.092732636E0,9.503871987E0,2.399999946E-1,-1.000000000E0,4.669489896E0,4.669489896E0
2.136909306E1,5.210826511E1,5.092741773E0,9.728298255E0,4.000000060E-1,-1.000000000E0,4.693701173E0,4.693701173E0
2.236909223E1,5.210826435E1,5.092748478E0,9.267971106E0,4.000000060E-1,-1.000000000E0,4.749579043E0,4.749579043E0
2.336908937E1,5.210826247E1,5.092749987E0,9.446926183E0,0.000000000E0,-1.000000000E0,4.652521044E0,4.652521044E0
2.436908686E1,5.210826217E1,5.092750657E0,9.661708899E0,0.000000000E0,-1.000000000E0,4.609935335E0,4.609935335E0
2.536908662E1,5.210826385E1,5.092751747E0,1.038717277E1,0.000000000E0,-1.000000000E0,4.609935339E0,4.609935339E0
2.636908710E1,5.210826569E1,5.092753340E0,1.013302238E1,2.099999934E-1,-1.000000000E0,4.625993236E0,4.625993236E0
2.736908782E1,5.210826611E1,5.092755267E0,9.900539466E0,1.800000072E-1,-1.000000000E0,4.619748942E0,4.619748942E0
2.836909151E1,5.210822842E1,5.092783405E0,2.371754358E0,4.084704138E-1,-1.000000000E0,9.355511812E0,9.355511812E0
