"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.101666760E-4,-2.060764618E0,3.553011475E0,7.285350037E0
1.021616667E-2,-1.533860321E0,3.406017151E0,7.797135773E0
2.022216667E-2,-1.172212372E0,3.689078522E0,8.824000397E0
3.022816667E-2,-7.469467163E-1,3.662583618E0,9.698032837E0
4.023316667E-2,-1.865121460E-1,3.523522797E0,9.748927002E0
5.023916667E-2,-4.282594299E-1,3.047063599E0,9.738897858E0
6.024516666E-2,-4.707710266E-1,2.822979584E0,8.542585602E0
7.025116668E-2,-8.337661743E-1,3.221750336E0,7.910150757E0
8.025716667E-2,-5.899232483E-1,3.962410126E0,8.904083862E0
9.026316667E-2,-2.668949890E-1,4.254153442E0,9.147777100E0
1.002681667E-1,-7.641609192E-1,3.594924316E0,8.533454590E0
1.102741667E-1,-8.975335693E-1,3.567531281E0,9.452992401E0
1.202801667E-1,-8.809181213E-1,3.559448090E0,1.033256332E1
1.302861667E-1,-1.227896576E0,3.152743835E0,9.591454468E0
1.402921667E-1,-1.395098877E0,2.838247833E0,8.826096039E0
1.502981667E-1,-1.451681213E0,2.775079193E0,8.738228760E0
1.603031667E-1,-1.343605957E0,2.753074951E0,1.003408401E1
1.703091667E-1,-1.397643585E0,2.169887695E0,1.012344818E1
1.803151667E-1,-1.712738342E0,2.694396973E-2,1.070304291E1
1.903211667E-1,-3.968247986E-1,-8.089178467E-1,1.360236374E1
2.003271667E-1,-1.079255676E-1,-1.492246857E0,1.386671402E1
2.103331667E-1,-3.484753418E-1,-7.890092468E-1,1.233689529E1
2.203381667E-1,-5.954617310E-1,3.986210632E-1,1.174308014E1
2.303441667E-1,-8.476872253E-1,1.511856079E0,1.247969833E1
2.403501667E-1,-1.096469879E0,1.200204163E0,1.224842926E1
2.503561667E-1,-1.146316223E0,5.191204834E-1,1.135463791E1
2.603621667E-1,-9.710307312E-1,3.614982605E-1,1.004965164E1
2.703681667E-1,-1.245260468E0,2.011666718E0,3.787424011E0
2.803741667E-1,-3.062032471E0,2.962339783E0,4.772525482E0
2.903791667E-1,-3.142714691E0,1.296454010E0,5.524411926E0
3.003851667E-1,-1.695075073E0,3.817062378E-2,9.710307312E-1
3.103911667E-1,2.246827698E-1,2.074386292E0,-2.328408051E0
3.203971667E-1,2.041754150E-1,3.101849670E0,-2.945874023E0
3.304031667E-1,-2.673889618E0,-1.711241455E0,-1.601669312E-1
3.404091667E-1,-2.602188721E0,-4.324207764E0,7.056475983E0
3.504141667E-1,-3.278482361E0,-2.251917114E0,9.079069977E0
3.604201667E-1,-2.510728912E0,-9.557624817E-1,1.069630692E1
3.704261667E-1,-1.029259644E0,-1.743125153E0,1.479253876E1
3.804321667E-1,-1.751208344E0,-1.980830841E0,1.598361191E1
3.904381667E-1,-3.794010315E0,-2.110760651E0,1.543874496E1
4.004441667E-1,-6.140680389E0,-3.194656677E0,1.355655899E1
4.104491667E-1,-7.393275604E0,-3.663182373E0,1.022523651E1
4.204551667E-1,-7.980803833E0,-3.446732483E0,8.060288544E0
4.304611667E-1,-8.532257080E0,-3.720363464E0,7.106322327E0
4.404671667E-1,-8.719817047E0,-3.183280334E0,5.824837189E0
4.504731667E-1,-7.855963440E0,-1.584155731E0,4.600982208E0
4.604791667E-1,-8.066425781E0,-1.513652344E0,3.610791321E0
4.704851667E-1,-9.212592316E0,-1.798060913E0,2.654430084E0
4.804901667E-1,-1.185923859E1,-2.928210754E0,3.129991150E-1
4.904961667E-1,-1.440559341E1,-4.305496674E0,-9.695338440E-1
5.005021667E-1,-1.535192551E1,-5.423821106E0,-9.978250122E-1
5.105081667E-1,-1.394694717E1,-5.873336334E0,-1.020877075E-1
5.205141667E-1,-1.226145218E1,-4.537214813E0,1.279988251E0
5.305201667E-1,-1.102023331E1,-1.732197876E0,1.767225037E0
5.405251667E-1,-1.021505768E1,-4.698728943E-1,3.306474152E0
5.505311667E-1,-9.960287476E0,6.691085815E-2,4.812342682E0
5.605371667E-1,-1.030606842E1,3.053649902E-1,6.011199646E0
5.705431667E-1,-1.131556915E1,-2.306703186E-1,7.092850342E0
5.805491667E-1,-1.170461014E1,-2.088157654E-1,7.841593323E0
5.905551667E-1,-1.168036057E1,-3.053649902E-1,9.161398773E0
6.005601667E-1,-1.143771515E1,-5.477110291E-1,9.845476227E0
6.105661667E-1,-1.070079758E1,-4.546046448E-1,9.181157684E0
6.205721667E-1,-9.874964905E0,-1.239871674E0,8.411158905E0
6.305781667E-1,-9.029523010E0,-2.329605560E0,6.020031281E0
6.405841667E-1,-7.860304413E0,-3.690425720E0,3.009192352E0
6.505899583E-1,-6.779851227E0,-5.359155579E0,7.933502197E-3
6.605959583E-1,-5.561235352E0,-6.326593781E0,-2.613565063E0
6.706009583E-1,-4.613855438E0,-5.969586182E0,-3.966751099E0
6.806069583E-1,-4.261488190E0,-4.731959839E0,-3.952530670E0
6.906129583E-1,-5.009632416E0,-4.256099396E0,1.930984497E0
7.006189583E-1,-7.304210815E0,-3.886218567E0,1.119806351E1
7.106249583E-1,-9.334738312E0,-2.257455597E0,9.954150238E0
7.206309583E-1,-9.551038513E0,-1.348395996E0,5.283712463E0
7.306359583E-1,-8.446036377E0,-1.074315948E0,2.831661530E0
7.406419583E-1,-7.648494873E0,-1.026415558E0,1.461261292E0
7.506479583E-1,-7.888296204E0,-1.532812500E0,1.103205872E0
7.606539583E-1,-7.709118805E0,-1.834584961E0,1.577270050E0
7.706599583E-1,-6.773414612E0,-1.618135071E0,1.630858612E0
7.806659583E-1,-6.604416046E0,-1.370849304E0,-1.772314453E-1
7.906709583E-1,-9.492510223E0,-5.197940826E0,-3.766617279E0
8.006769583E-1,-1.296199539E1,-8.765172729E0,-4.379742279E0
8.106829583E-1,-9.944869537E0,-3.526815948E0,4.555027771E-1
8.206889583E-1,-1.297037796E1,-4.553530884E0,2.556683350E0
8.306949583E-1,-1.276021500E1,-1.122066650E0,-5.060975647E-1
8.407009583E-1,-9.951306152E0,2.233954468E0,7.697443085E0
8.507069583E-1,-1.079809525E1,-7.694000244E-2,9.495803375E0
8.607119583E-1,-1.323248291E1,-2.792892151E0,3.547323303E0
8.707179583E-1,-1.006821304E1,-2.998863831E0,2.653831329E0
8.807239583E-1,-1.351689148E1,-7.788154449E0,1.046324158E0
8.907299583E-1,-1.604827744E1,-9.863887939E0,-1.287173309E0
9.007359583E-1,-1.231189728E1,-7.777676239E0,-3.326083374E-1
