"Time (s)","X (hPa)"
-5.513694583E-1,1.019241486E3
4.795165417E-1,1.019245911E3
1.510392542E0,1.019250336E3
2.541298542E0,1.019262772E3
3.572216542E0,1.019265213E3
3.767123542E0,1.019269028E3
4.831332542E0,1.019271317E3
5.895524542E0,1.019272537E3
6.959722542E0,1.019273071E3
8.023884542E0,1.019276047E3
9.088022542E0,1.019276886E3
1.015219954E1,1.019276047E3
1.121636254E1,1.019273148E3
1.228052654E1,1.019269104E3
1.334467054E1,1.019267807E3
1.440882154E1,1.019267578E3
1.547297054E1,1.019265366E3
1.653719954E1,1.019265366E3
1.760142554E1,1.019264450E3
1.866559454E1,1.019263229E3
1.972975954E1,1.019262619E3
2.079393054E1,1.019262619E3
2.185813454E1,1.019260406E3
2.292232454E1,1.019263840E3
2.398649154E1,1.019260406E3
2.505060554E1,1.019263840E3
2.611471654E1,1.019260254E3
2.717887354E1,1.019260101E3
2.824300454E1,1.019258499E3
2.930720154E1,1.019257507E3
3.037139554E1,1.019254761E3
3.143554354E1,1.019252853E3
3.249968754E1,1.019250107E3
3.356385754E1,1.019249039E3
3.462802454E1,1.019245300E3
3.569220954E1,1.019244232E3
3.675637854E1,1.019237137E3
