"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.146616667E-2,5.851399526E-2,-1.004090905E0,9.521969408E-2
2.147216667E-2,7.158266008E-2,-1.278316617E0,1.846646219E-1
3.147816667E-2,1.389734447E-1,-1.671199799E0,2.055296302E-1
4.148316667E-2,1.359622031E-1,-1.835863352E0,2.216859609E-1
5.148916667E-2,-3.444713354E-1,-7.970170379E-1,3.266644776E-1
6.149516666E-2,-1.044531465E0,7.301370800E-2,4.675550163E-1
7.150116668E-2,-1.739525795E0,1.082865596E0,4.727860689E-1
8.150716667E-2,-2.147652149E0,2.472613096E0,4.756614864E-1
9.151316667E-2,-2.280474424E0,3.122414827E0,5.842578411E-1
1.015181667E-1,-2.026060820E0,3.094311714E0,7.360119224E-1
1.115241667E-1,-1.411132336E0,2.573524475E0,9.013254642E-1
1.215301667E-1,-6.890473366E-1,1.625435114E0,1.127374291E0
1.315361667E-1,-1.352086216E-1,5.807913542E-1,1.394005418E0
1.415421667E-1,9.604004771E-2,-2.494507134E-1,1.572198868E0
1.515481667E-1,1.607432403E-2,-5.836536288E-1,1.572765708E0
1.615531667E-1,-2.849579453E-1,-5.323142409E-1,1.358303547E0
1.715591667E-1,-8.040116429E-1,-9.768278599E-1,9.349405169E-1
1.815651667E-1,-1.219959974E0,-1.171629071E0,2.736184597E-1
1.915711667E-1,-1.557260990E0,-7.063965201E-1,-3.611420989E-1
2.015771667E-1,-1.840486646E0,6.171669811E-2,-7.142722607E-1
2.115831667E-1,-2.088489056E0,1.155312538E0,-7.646911144E-1
2.215881667E-1,-2.015493870E0,2.568799496E0,-7.456582785E-1
2.315941667E-1,-1.526476264E0,3.555264950E0,-6.462805867E-1
2.416001667E-1,-6.686567068E-1,3.809843540E0,-4.985321462E-1
2.516061667E-1,3.694715798E-1,3.560768366E0,-3.463147879E-1
2.616121667E-1,1.767998934E0,2.035172224E0,-2.712131143E-1
2.716181667E-1,3.139307737E0,7.206838131E-1,-1.263006032E-1
2.816241667E-1,3.345609903E0,2.290746421E-1,-7.261819392E-2
2.916291667E-1,2.130231142E0,-3.114503324E-1,5.593664572E-2
3.016351667E-1,7.423817366E-2,-7.127106786E-1,2.137608975E-1
3.116411667E-1,-1.998008728E0,-6.315615177E-1,2.035482973E-1
3.216471667E-1,-3.575112343E0,-7.623770237E-1,3.625456989E-1
3.316531667E-1,-4.505104542E0,-1.498948336E-1,5.837185383E-1
3.416591667E-1,-4.931531906E0,8.764099479E-1,5.189470053E-1
3.516641667E-1,-4.965275764E0,1.705079317E0,5.827412009E-2
3.616701667E-1,-4.680444717E0,2.839877844E0,-5.948274732E-1
3.716761667E-1,-4.008829594E0,3.750647545E0,-1.289096475E0
3.816821667E-1,-3.074270010E0,4.367144585E0,-1.722403646E0
3.916881667E-1,-2.262282133E0,4.782236576E0,-1.662511230E0
4.016941667E-1,-1.739709854E0,4.860321999E0,-1.300829649E0
4.116991667E-1,-1.458876610E0,4.639992237E0,-9.076568484E-1
4.217051667E-1,-1.413779736E0,4.515421867E0,-5.496531725E-1
4.317111667E-1,-1.577885270E0,4.413101673E0,-3.090822697E-1
4.417171667E-1,-1.900618553E0,4.451032162E0,-3.790275156E-1
4.517231667E-1,-2.412338018E0,4.503356457E0,-5.934122205E-1
4.617291667E-1,-2.991668224E0,4.584282875E0,-7.629517317E-1
4.717351667E-1,-3.516570330E0,4.379757881E0,-7.182719111E-1
4.817401667E-1,-4.016765118E0,3.719543934E0,-3.683804870E-1
