"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.146616667E-2,-1.776296407E-2,7.447686285E-2,-1.415029696E0
2.147216667E-2,2.688413809E-1,3.204680559E-1,-4.046220607E-1
3.147816667E-2,5.111624229E-1,3.542252013E-1,4.816813463E-1
4.148316667E-2,9.455515621E-1,1.690777954E-1,6.502150583E-1
5.148916667E-2,6.201839780E-1,-2.375636011E-1,5.757028198E-1
6.149516666E-2,5.509034626E-1,-4.609763557E-1,-4.158317578E-1
7.150116668E-2,2.000562709E-1,-5.922118485E-2,-1.379109666E0
8.150716667E-2,5.314766002E-1,8.911606890E-1,-5.120172858E-1
9.151316667E-2,1.160592200E0,1.490442114E0,-5.329678595E-2
1.015181667E-1,9.884348224E-1,1.046367135E0,-7.792139912E-1
1.115241667E-1,1.036348223E0,1.086487220E0,3.180885315E-4
1.215301667E-1,1.248481114E0,1.205623362E0,1.020230373E0
1.315361667E-1,1.009038364E0,8.449865426E-1,4.762644857E-1
1.415421667E-1,7.679469913E-1,4.498526126E-1,-3.825324494E-1
1.515481667E-1,6.387859444E-1,3.447427717E-1,-5.787743622E-1
1.615531667E-1,6.043242095E-1,2.784531802E-1,5.750227886E-1
1.715591667E-1,5.666101071E-1,-8.691798359E-2,8.966605800E-1
1.815651667E-1,7.538230419E-3,-2.082539503E0,1.075598828E0
1.915711667E-1,1.130363411E0,-2.983380404E0,3.900534305E0
2.015771667E-1,1.609735984E0,-3.482391435E0,4.562803398E0
2.115831667E-1,1.405680291E0,-2.812534702E0,3.034862214E0
2.215881667E-1,1.390546966E0,-1.398769467E0,2.244346724E0
2.315941667E-1,1.393991414E0,-1.756678998E-2,2.974506669E0
2.416001667E-1,1.534430717E0,-5.149964422E-2,2.956407782E0
2.516061667E-1,1.778941980E0,-7.189090249E-1,2.239484180E0
2.616121667E-1,2.161340820E0,-1.115927951E0,1.238439690E0
2.716181667E-1,2.324834817E0,1.546138304E-1,-4.676796037E0
2.816241667E-1,4.406888562E-1,1.058911459E0,-4.640562011E0
2.916291667E-1,1.489163035E-1,-5.802373356E-1,-3.163785133E0
3.016351667E-1,1.418277825E0,-2.256839739E0,-7.323045866E0
3.116411667E-1,3.261775696E0,-4.940637025E-1,-1.112959027E1
3.216471667E-1,3.625642079E0,1.375715065E0,-1.201017978E1
3.316531667E-1,7.394827455E-1,-2.616379913E0,-1.000630740E1
3.416591667E-1,4.743235025E-1,-5.507524583E0,-2.933727018E0
3.516641667E-1,1.184450009E-1,-3.296427173E0,-1.343883115E-1
3.616701667E-1,7.638133022E-1,-1.223681172E0,1.107370843E0
3.716761667E-1,2.675977659E0,-1.478979817E0,5.309917345E0
3.816821667E-1,2.596767767E0,-1.463827196E0,7.128106713E0
3.916881667E-1,1.055801617E0,-1.178632468E0,6.895637791E0
4.016941667E-1,-9.522904050E-1,-1.974317335E0,5.489370732E0
4.116991667E-1,-1.967271148E0,-2.403495363E0,2.525617093E0
4.217051667E-1,-2.237211367E0,-2.007849363E0,3.252887928E-1
4.317111667E-1,-2.445754067E0,-2.135427715E0,-3.303811330E-1
4.417171667E-1,-2.406035101E0,-1.627756664E0,-1.305816572E0
4.517231667E-1,-1.306235232E0,1.662072511E-1,-2.223035962E0
4.617291667E-1,-1.016065401E0,6.493439694E-1,-2.872545261E0
4.717351667E-1,-1.781840152E0,6.592694718E-1,-3.354033650E0
4.817401667E-1,-4.007123199E0,-9.297949970E-2,-5.161986882E0
4.917461667E-1,-6.537431513E0,-1.232636914E0,-6.391637038E0
5.017521667E-1,-7.529173082E0,-2.219279126E0,-6.037071236E0
5.117581667E-1,-6.291644973E0,-2.574642488E0,-5.056105501E0
5.217641667E-1,-4.330273080E0,-1.381969539E0,-3.170487211E0
5.317701667E-1,-3.003984237E0,1.593781418E0,-2.341927983E0
5.417751667E-1,-1.995815501E0,3.258447461E0,-5.980035156E-1
5.517811667E-1,-1.636793536E0,3.950536185E0,1.335994344E0
5.617871667E-1,-1.822938477E0,4.438767582E0,2.802418435E0
5.717931667E-1,-2.759698677E0,3.987139170E0,4.239420213E0
5.817991667E-1,-3.192117231E0,3.963940927E0,5.201477222E0
5.918051667E-1,-3.109808316E0,3.906177745E0,6.673354134E0
6.018101667E-1,-2.839865758E0,3.565756651E0,7.727219446E0
6.118161667E-1,-2.077112263E0,3.582210423E0,7.355141818E0
6.218221667E-1,-1.137227896E0,2.840204312E0,6.871340856E0
6.318281667E-1,-2.416882271E-1,1.647369980E0,4.961095263E0
6.418341667E-1,9.603198016E-1,2.907381803E-1,2.197605690E0
6.518399583E-1,2.097766383E0,-1.417065697E0,-5.947097790E-1
6.618459583E-1,3.320175932E0,-2.563361747E0,-3.166691199E0
6.718509583E-1,4.348219939E0,-2.374871488E0,-4.675181621E0
6.818569583E-1,4.777334817E0,-1.190842770E0,-4.841484620E0
6.918629583E-1,4.231900109E0,-5.324530122E-1,-3.304490338E-1
7.018689583E-1,2.056656949E0,-3.962283826E-1,9.576986702E0
7.118749583E-1,-1.020578867E-1,1.147613428E0,9.309799352E0
