"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.581247091E-1,5.210827982E1,5.092647811E0,8.545314789E0,3.400000036E-1,1.923046875E2,4.515044173E0,4.515044173E0
1.258123636E0,5.210828690E1,5.092704976E0,1.093044662E1,3.400000036E-1,3.554296875E2,3.535533906E0,3.535533906E0
2.258123159E0,5.210828690E1,5.092704976E0,1.093044669E1,3.400000036E-1,-1.000000000E0,4.609935410E0,4.609935410E0
3.258122802E0,5.210828669E1,5.092697348E0,1.065530021E1,2.199999988E-1,-1.000000000E0,4.609935411E0,4.609935411E0
4.258121967E0,5.210832056E1,5.092698824E0,1.136727554E1,1.750000000E0,1.054687871E0,4.644678884E0,4.644678884E0
5.258121848E0,5.210832059E1,5.092718999E0,1.106399185E1,1.750000000E0,3.375001120E1,4.765122016E0,4.765122016E0
6.258125663E0,5.210831087E1,5.092706820E0,1.104940421E1,8.600000143E-1,-1.000000000E0,5.552801662E0,5.552801662E0
7.258129239E0,5.210831992E1,5.092707910E0,1.085036857E1,8.600000143E-1,-1.000000000E0,6.753425375E0,6.753425375E0
8.258131742E0,5.210833153E1,5.092707491E0,1.087514884E1,1.090000033E0,-1.000000000E0,7.974201947E0,7.974201947E0
9.258132339E0,5.210836084E1,5.092740450E0,1.140700956E1,2.160000086E0,3.832032793E1,6.245331964E0,6.245331964E0
1.025813055E1,5.210835823E1,5.092733642E0,1.116378409E1,1.269999981E0,-1.000000000E0,6.762115662E0,6.762115662E0
1.125813055E1,5.210837239E1,5.092771413E0,1.092916515E1,1.570000052E0,5.871095295E1,6.969360537E0,6.969360537E0
1.225812960E1,5.210837512E1,5.092764823E0,1.120815665E1,1.429999948E0,-1.000000000E0,7.601616930E0,7.601616930E0
1.325812900E1,5.210838599E1,5.092764477E0,1.111983894E1,1.429999948E0,3.585938465E1,7.830570012E0,7.830570012E0
1.425812900E1,5.210837897E1,5.092744455E0,1.118288810E1,6.800000072E-1,-1.000000000E0,7.359162538E0,7.359162538E0
1.525812864E1,5.210838220E1,5.092733558E0,1.166006095E1,4.900000095E-1,-1.000000000E0,7.559949359E0,7.559949359E0
1.625812852E1,5.210838576E1,5.092724841E0,1.164010245E1,6.700000167E-1,-1.000000000E0,7.828567584E0,7.828567584E0
1.725812924E1,5.210838907E1,5.092712268E0,1.186568839E1,6.999999881E-1,-1.000000000E0,7.949056713E0,7.949056713E0
1.825812972E1,5.210839595E1,5.092707407E0,1.189834220E1,8.399999738E-1,-1.000000000E0,8.006059869E0,8.006059869E0
1.925812900E1,5.210840001E1,5.092714699E0,1.150216300E1,8.399999738E-1,-1.000000000E0,9.451678009E0,9.451678009E0
2.025812900E1,5.210840214E1,5.092748627E0,1.129336182E1,1.080000043E0,8.683594992E1,1.057318857E1,1.057318857E1
2.125812960E1,5.210840026E1,5.092737079E0,1.141891105E1,7.900000215E-1,-1.000000000E0,1.047810284E1,1.047810284E1
2.225813055E1,5.210826162E1,5.092756559E0,2.098391430E0,8.814808914E-1,-1.000000000E0,1.557002594E1,1.557002594E1
2.325813043E1,5.210825770E1,5.092758948E0,2.142919801E0,8.229190838E-1,-1.000000000E0,1.732160292E1,1.732160292E1
2.425813138E1,5.210825565E1,5.092773170E0,2.138839731E0,6.640808539E-1,-1.000000000E0,1.934178413E1,1.934178413E1
2.525813174E1,5.210825195E1,5.092776572E0,2.132255853E0,6.097433924E-1,-1.000000000E0,2.256392954E1,2.256392954E1
2.625813270E1,5.210832713E1,5.092883992E0,2.140969749E0,1.093941698E0,-1.000000000E0,2.103924980E1,2.103924980E1
2.725813365E1,5.210829719E1,5.092873097E0,2.161375022E0,7.204595477E-1,-1.000000000E0,1.837266793E1,1.837266793E1
2.825813425E1,5.210830402E1,5.092885703E0,2.140832114E0,7.111412125E-1,-1.000000000E0,1.796938588E1,1.796938588E1
2.925813472E1,5.210829849E1,5.092897040E0,2.131288383E0,7.978982380E-1,-1.000000000E0,2.097148839E1,2.097148839E1
3.025813615E1,5.210828435E1,5.092858560E0,2.108523833E0,4.046789927E-1,-1.000000000E0,2.055180813E1,2.055180813E1
3.125813711E1,5.210829388E1,5.092881199E0,2.149463507E0,3.944299321E-1,-1.000000000E0,2.172587580E1,2.172587580E1
3.225813818E1,5.210827100E1,5.092823252E0,2.157877005E0,4.226235013E-1,-1.000000000E0,1.669167268E1,1.669167268E1
3.325813890E1,5.210826266E1,5.092816749E0,2.136953917E0,4.709318683E-1,-1.000000000E0,1.642708726E1,1.642708726E1
3.425813973E1,5.210826571E1,5.092817573E0,2.115584443E0,3.132823955E-1,-1.000000000E0,1.836356367E1,1.836356367E1
3.525814199E1,5.210826590E1,5.092802443E0,2.101421012E0,4.235026091E-1,-1.000000000E0,2.014452273E1,2.014452273E1
3.625814176E1,5.210826164E1,5.092788167E0,2.098267806E0,4.352366747E-1,-1.000000000E0,2.041452207E1,2.041452207E1
3.725814259E1,5.210825517E1,5.092753413E0,2.090246468E0,7.535987639E-1,-1.000000000E0,2.270818400E1,2.270818400E1
3.825814462E1,5.210824523E1,5.092719495E0,2.082868221E0,1.008102126E0,-1.000000000E0,2.448166681E1,2.448166681E1
3.925814569E1,5.210824991E1,5.092723671E0,2.092202874E0,8.093900593E-1,-1.000000000E0,2.761860658E1,2.761860658E1
