"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.146616667E-2,1.481124878E1,-3.265800476E-1,-4.108845520E1
2.147216667E-2,1.458821869E1,-2.288398743E-1,-4.102561951E1
3.147816667E-2,1.428228760E1,-2.115999460E-1,-4.121420288E1
4.148316667E-2,1.330221558E1,-1.692277193E-1,-4.155067444E1
5.148916667E-2,1.252150726E1,-4.106702805E-1,-4.215747070E1
6.149516666E-2,1.220178223E1,-1.806382537E-1,-4.210928345E1
7.150116668E-2,1.191507721E1,1.333445311E-1,-4.204364014E1
8.150716667E-2,1.228940582E1,6.808838844E-1,-4.204762268E1
9.151316667E-2,1.302671814E1,1.503380299E0,-4.165289307E1
1.015181667E-1,1.427042389E1,2.171348572E0,-4.148304749E1
1.115241667E-1,1.577178955E1,2.957253456E0,-4.084535217E1
1.215301667E-1,1.698013306E1,3.498574257E0,-4.043359375E1
1.315361667E-1,1.768434906E1,3.689305782E0,-4.011001587E1
1.415421667E-1,1.819062805E1,3.607511044E0,-3.970086670E1
1.515481667E-1,1.828619385E1,3.477560520E0,-3.986573792E1
1.615531667E-1,1.815469360E1,3.051838875E0,-4.002134705E1
1.715591667E-1,1.779169464E1,3.161118031E0,-3.989723206E1
1.815651667E-1,1.744678497E1,3.413170815E0,-4.011962891E1
1.915711667E-1,1.744678497E1,3.413170815E0,-4.011962891E1
2.015771667E-1,1.690172577E1,4.627559662E0,-3.991226196E1
2.115831667E-1,1.690172577E1,4.627559662E0,-3.991226196E1
2.215881667E-1,1.764015198E1,6.421077728E0,-3.968588257E1
2.315941667E-1,1.890555573E1,7.184176445E0,-3.883993530E1
2.416001667E-1,2.024382019E1,7.653193474E0,-3.794712830E1
2.516061667E-1,2.157766724E1,7.783657074E0,-3.720176697E1
2.616121667E-1,2.263452911E1,7.455921173E0,-3.683999634E1
2.716181667E-1,2.310477448E1,6.665996552E0,-3.674528503E1
2.816241667E-1,2.333758545E1,5.657724380E0,-3.642976379E1
2.916291667E-1,2.350853729E1,4.678566933E0,-3.676629639E1
3.016351667E-1,2.315114594E1,4.325278282E0,-3.688323975E1
3.116411667E-1,2.285794067E1,4.462577820E0,-3.706314087E1
3.216471667E-1,2.251638031E1,5.361026764E0,-3.714788818E1
3.316531667E-1,2.251328278E1,6.788543701E0,-3.675637817E1
3.416591667E-1,2.269102478E1,8.153121948E0,-3.636488342E1
3.516641667E-1,2.321582031E1,1.002063274E1,-3.520014954E1
3.616701667E-1,2.381877899E1,1.172908401E1,-3.429655457E1
3.716761667E-1,2.470767212E1,1.342247105E1,-3.306164551E1
3.816821667E-1,2.588287354E1,1.504770088E1,-3.174330139E1
