"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.617662499E-2,-9.777415806E-1,-4.488153166E-1,-1.308309240E0
2.618262499E-2,-1.332581617E0,-1.319577701E0,-2.096727333E0
3.618962500E-2,-1.534001239E0,-1.755488213E0,-2.954314479E0
4.619562499E-2,-1.811058104E0,-1.522728684E0,-3.508410668E0
5.620162499E-2,-2.078798016E0,-8.185920650E-1,-3.277974823E0
6.620862499E-2,-1.563840750E0,-2.218901396E-1,-1.954496736E0
7.621462499E-2,-9.897611171E-1,-2.497962686E-1,-8.686559254E-1
8.622162500E-2,-7.025441301E-1,-6.898732138E-1,-3.129587692E-1
9.622762499E-2,-6.370079523E-1,-1.015085116E0,1.917863345E-1
1.062346250E-1,-1.265411727E0,-1.336899201E0,8.330153918E-1
1.162406250E-1,-1.730296361E0,-1.684572304E0,1.268484439E0
1.262466250E-1,-1.464081988E0,-1.976958815E0,1.995242473E0
1.362536250E-1,-1.158977784E0,-1.873528587E0,2.739238685E0
1.462596250E-1,-6.833073753E-1,-1.151820792E0,2.555375620E0
1.562666250E-1,8.985123932E-2,-4.079736847E-1,2.241296232E0
1.662726250E-1,8.561440533E-1,-1.273131806E-1,2.626439463E0
1.762796250E-1,2.057162733E0,2.793559903E-1,6.914449453E0
1.862856250E-1,1.769044105E0,1.157868567E0,7.484799147E0
1.962916250E-1,2.069926035E-1,1.362121750E0,5.488344546E0
2.062986250E-1,-1.001766620E0,4.110753402E-1,2.528354759E0
2.163046250E-1,-7.721049464E-1,-3.022972485E-1,-6.847595313E-1
2.263116250E-1,4.430955702E-1,6.195241928E-2,-2.440653833E0
2.363176250E-1,1.852195020E0,1.162684042E0,-2.762502709E0
2.463246250E-1,2.558576678E0,2.094659758E0,-1.839668530E0
2.563306250E-1,2.375298627E0,2.577450321E0,2.524488580E-1
2.663366250E-1,1.750746413E0,2.269447652E0,1.315955059E0
2.763436250E-1,1.627668371E0,2.044075203E0,1.395002106E0
2.863496250E-1,2.143297482E0,1.982236804E0,1.880834683E0
2.963566250E-1,2.335409507E0,1.228109415E0,1.590368983E0
3.063626250E-1,1.834555725E0,4.491594252E-1,8.518349478E-1
3.163686250E-1,2.020433448E0,7.995061684E-1,7.080598086E-1
3.263756250E-1,2.162409106E0,4.897309157E-1,6.348634860E-1
3.363816250E-1,2.419380786E0,7.787380278E-2,3.750746182E-1
3.463886250E-1,2.165105842E0,-4.461299828E-1,-1.981676933E-1
3.563946250E-1,8.316594225E-1,-1.172250086E0,-8.071397084E-1
3.664016250E-1,-1.452503917E0,-2.247467676E0,-1.986798802E0
3.764076250E-1,-3.018653147E0,-2.828898720E0,-3.188042892E0
3.864136250E-1,-3.041062601E0,-3.024590702E0,-2.959969321E0
3.964206250E-1,-1.053385255E0,-2.370758849E0,-1.785887156E0
4.064266250E-1,1.315442258E0,-1.409200607E0,-9.828668113E-1
4.164336250E-1,2.668059359E0,-7.347333446E-1,-8.679789640E-1
4.264396250E-1,1.816793053E0,-6.644989291E-1,-2.730578374E0
4.364466250E-1,-1.749172343E0,-1.900259718E0,-3.171419258E0
4.464526250E-1,-2.277120953E0,-2.023274318E0,-1.671148413E0
4.564586250E-1,-2.104306494E0,-9.106576449E-1,-5.295589328E-1
4.664656250E-1,-1.063060643E0,7.974391776E-1,1.776756875E0
4.764716250E-1,-1.345415086E-1,2.732903227E0,5.080194275E0
4.864786250E-1,-2.555566531E-1,4.218317027E0,8.879043746E0
4.964842917E-1,-1.264436996E0,4.473034020E0,9.092926708E0
5.064912917E-1,-1.776115728E0,3.743198596E0,5.769882717E0
5.164972917E-1,-1.366150482E0,3.747434026E0,1.969045778E0
5.265032917E-1,-2.695461166E-1,4.519704449E0,-1.624514383E-1
5.365102917E-1,9.876023251E-1,5.408084494E0,-6.677420872E-1
5.465162917E-1,1.955848612E0,5.575452856E0,-1.403413618E-1
5.565232917E-1,1.876852144E0,4.936849784E0,3.275015254E-1
5.665292917E-1,1.096570451E0,3.527321148E0,-5.351240203E-1
5.765362917E-1,9.445709109E-1,2.479708556E0,-1.837517486E0
5.865422917E-1,1.150206376E0,1.771679446E0,-1.342988637E0
5.965482917E-1,1.656188166E0,1.385356831E0,-1.003482778E0
6.065552917E-1,2.271034586E0,1.191533911E0,-1.061892223E0
6.165612917E-1,2.227337174E0,6.136810702E-1,-8.238902271E-1
