"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.389408112E-2,5.210826314E1,5.092797565E0,3.599819183E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.389408112E-2,5.210826314E1,5.092797565E0,3.142728329E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
6.762310266E-1,5.210826314E1,5.092797565E0,3.121973753E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
2.104055047E0,5.210826314E1,5.092797565E0,3.112874031E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
3.238157034E0,5.210826314E1,5.092797565E0,3.109588623E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
9.251043081E0,5.210826314E1,5.092797565E0,3.107712746E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
9.688322067E0,5.210826314E1,5.092797565E0,3.107513428E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.117027807E1,5.210826314E1,5.092797565E0,3.107406855E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.718725204E1,5.210826314E1,5.092797565E0,3.107352257E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.778154409E1,5.210826314E1,5.092797565E0,3.107346296E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.811076307E1,5.210826314E1,5.092797565E0,3.107344151E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
2.412773907E1,5.210826314E1,5.092797565E0,3.107342005E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
2.458054900E1,5.210826314E1,5.092797565E0,3.107341766E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
