"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.617662499E-2,3.114732361E1,2.753351593E1,-1.996669006E1
2.618262499E-2,3.130960846E1,2.767262268E1,-2.003450775E1
3.618962500E-2,3.150205994E1,2.773309708E1,-1.967980957E1
4.619562499E-2,3.201776123E1,2.811020279E1,-1.853750610E1
5.620162499E-2,3.251174164E1,2.823124123E1,-1.745675659E1
6.620862499E-2,3.283854675E1,2.846878242E1,-1.640803528E1
7.621462499E-2,3.310798645E1,2.867563438E1,-1.551100159E1
8.622162500E-2,3.334149170E1,2.893385315E1,-1.453267670E1
9.622762499E-2,3.357905579E1,2.923422241E1,-1.323699951E1
1.062346250E-1,3.378073120E1,2.935800362E1,-1.234300995E1
1.162406250E-1,3.396977234E1,2.941891861E1,-1.113052368E1
1.262466250E-1,3.441106415E1,2.911258507E1,-1.014604187E1
1.362536250E-1,3.469262695E1,2.902815056E1,-9.555313110E0
1.462596250E-1,3.514649200E1,2.872762871E1,-8.500968933E0
1.562666250E-1,3.560480499E1,2.854931259E1,-7.470764160E0
1.662726250E-1,3.594427490E1,2.840181351E1,-6.245849609E0
1.762796250E-1,3.630374146E1,2.821543694E1,-5.222473145E0
1.862856250E-1,3.654411316E1,2.805220604E1,-4.347152710E0
1.962916250E-1,3.650741577E1,2.779461098E1,-3.767593384E0
2.062986250E-1,3.683311462E1,2.767611694E1,-3.001029968E0
2.163046250E-1,3.722153473E1,2.714260292E1,-2.790138245E0
2.263116250E-1,3.768668365E1,2.679406548E1,-2.917404175E0
2.363176250E-1,3.789002228E1,2.633470535E1,-2.429527283E0
2.463246250E-1,3.817987061E1,2.598705482E1,-2.261810303E0
2.563306250E-1,3.817366028E1,2.587432480E1,-2.437240601E0
2.663366250E-1,3.830020142E1,2.586553383E1,-2.099403381E0
2.763436250E-1,3.831912231E1,2.580873680E1,-1.552421570E0
2.863496250E-1,3.842491150E1,2.586548996E1,-9.282073975E-1
2.963566250E-1,3.843582916E1,2.570064545E1,-2.957153320E-2
3.063626250E-1,3.844124603E1,2.570157242E1,5.031738281E-1
3.163686250E-1,3.840947723E1,2.556999397E1,1.013023376E0
3.263756250E-1,3.845879364E1,2.570720100E1,1.216888428E0
3.363816250E-1,3.833228302E1,2.561953926E1,1.458435059E0
3.463886250E-1,3.833168793E1,2.546142578E1,1.507499695E0
3.563946250E-1,3.837315369E1,2.544940186E1,1.821395874E0
3.664016250E-1,3.843742371E1,2.529719543E1,2.550224304E0
3.764076250E-1,3.869712830E1,2.506480980E1,3.243995667E0
3.864136250E-1,3.885479736E1,2.465690231E1,3.427085876E0
3.964206250E-1,3.894726562E1,2.409719276E1,3.665847778E0
4.064266250E-1,3.930319977E1,2.354504967E1,3.876655579E0
4.164336250E-1,3.959395599E1,2.327432442E1,4.049995422E0
4.264396250E-1,3.993468475E1,2.303473282E1,4.394989014E0
4.364466250E-1,4.009839630E1,2.256546783E1,4.771034241E0
4.464526250E-1,4.045951080E1,2.190893555E1,4.958946228E0
4.564586250E-1,4.057904816E1,2.125242043E1,5.305358887E0
4.664656250E-1,4.086592865E1,2.059607315E1,5.491104126E0
4.764716250E-1,4.125242615E1,1.992070389E1,5.686660767E0
4.864786250E-1,4.170421600E1,1.928260231E1,5.573616028E0
4.964842917E-1,4.199527740E1,1.886911392E1,5.929481506E0
5.064912917E-1,4.224832916E1,1.829014397E1,5.866149902E0
5.164972917E-1,4.224814606E1,1.782878685E1,5.901756287E0
5.265032917E-1,4.245967865E1,1.753510475E1,6.060165405E0
5.365102917E-1,4.250902557E1,1.701753235E1,6.292938232E0
5.465162917E-1,4.251420593E1,1.687038994E1,6.654335022E0
5.565232917E-1,4.255807495E1,1.666603851E1,6.809700012E0
5.665292917E-1,4.242349243E1,1.684657860E1,7.083175659E0
5.765362917E-1,4.237808990E1,1.703147507E1,7.291870117E0
5.865422917E-1,4.224283600E1,1.720095444E1,7.489929199E0
5.965482917E-1,4.182108307E1,1.751820374E1,7.953704834E0
6.065552917E-1,4.153839874E1,1.797878838E1,8.376281738E0
6.165612917E-1,4.103488159E1,1.852375412E1,8.860610962E0
6.265682917E-1,4.048383331E1,1.932810783E1,9.503379822E0
6.365742917E-1,3.981034088E1,2.012053871E1,1.021927643E1
6.465812917E-1,3.929037476E1,2.091876984E1,1.109326172E1
6.565872917E-1,3.839255524E1,2.208100700E1,1.137004852E1
6.665932917E-1,3.763243866E1,2.306121445E1,1.174579620E1
6.766002917E-1,3.683020782E1,2.423520470E1,1.156661224E1
6.866062917E-1,3.607473755E1,2.529143715E1,1.131927490E1
6.966132917E-1,3.543191528E1,2.625531769E1,1.111404419E1
7.066192917E-1,3.480003357E1,2.695904922E1,1.098767090E1
7.166252917E-1,3.422420502E1,2.759565163E1,1.100091553E1
7.266322917E-1,3.366384888E1,2.823613548E1,1.115031433E1
7.366382917E-1,3.278498840E1,2.872325134E1,1.143361664E1
7.466452917E-1,3.184716034E1,2.936852264E1,1.254466248E1
7.566512917E-1,3.071437836E1,3.007652283E1,1.313544464E1
7.666582917E-1,2.955794525E1,3.070036697E1,1.383645630E1
7.766642917E-1,2.866956329E1,3.114813232E1,1.474956512E1
7.866702917E-1,2.782147980E1,3.150917244E1,1.557416534E1
7.966772917E-1,2.706825256E1,3.156902885E1,1.626602936E1
8.066832917E-1,2.656568146E1,3.164503288E1,1.682000732E1
8.166902917E-1,2.582138062E1,3.170656204E1,1.747896576E1
8.266962917E-1,2.509982300E1,3.185850525E1,1.821366119E1
