"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.338945834E-2,-9.275991321E-1,-1.573930621E0,1.385573298E-1
2.339645833E-2,-1.249876976E0,-1.860559702E0,1.633119434E-1
3.340245834E-2,-1.424536109E0,-1.964624643E0,2.182828188E-1
4.340845834E-2,-1.617437363E0,-2.308851004E0,2.619757056E-1
5.341445834E-2,-1.734939218E0,-2.636342049E0,2.840494215E-1
6.342045833E-2,-1.770945191E0,-3.021607399E0,2.457726151E-1
7.342645833E-2,-1.883793473E0,-3.365116119E0,1.817889363E-1
8.343245834E-2,-2.165515423E0,-3.839488983E0,1.102516428E-1
9.343845834E-2,-2.370804787E0,-3.851273775E0,7.621812075E-2
1.034454583E-1,-2.462273359E0,-3.399511099E0,9.997245669E-2
1.134514583E-1,-2.556302071E0,-3.073818207E0,1.932951808E-1
1.234574583E-1,-2.728633165E0,-2.347088814E0,2.766233683E-1
1.334634583E-1,-2.902579069E0,-1.112312198E0,3.209509254E-1
1.434694583E-1,-3.012038469E0,3.809043765E-1,3.997754455E-1
1.534754583E-1,-3.002616882E0,1.693688273E0,4.891166091E-1
1.634814583E-1,-2.837879658E0,2.774013996E0,5.319806933E-1
1.734884583E-1,-2.580307007E0,3.540327072E0,6.107364893E-1
1.834944583E-1,-2.418933868E0,2.025559664E0,6.988343596E-1
1.935004583E-1,-2.280994892E0,-1.812622845E-1,5.360016823E-1
2.035064583E-1,-2.009130001E0,-1.240622997E0,5.613158457E-3
2.135124583E-1,-1.614632845E0,-1.174932480E0,-6.953434944E-1
2.235184583E-1,-1.197575688E0,-9.050195813E-1,-1.265187025E0
2.335244583E-1,-7.953832746E-1,-9.609233737E-1,-1.694878817E0
2.435304583E-1,-2.891422212E-1,-7.303764224E-1,-1.812169313E0
2.535374583E-1,3.729263246E-1,3.669313192E-1,-1.422988892E0
2.635434583E-1,1.006175756E0,1.491089940E0,-6.939011812E-1
2.735494583E-1,1.454501271E0,2.179007292E0,-1.321430206E-1
2.835554583E-1,1.852104306E0,3.022207737E0,1.800732017E-1
2.935614583E-1,2.308855534E0,4.146387577E0,4.831154943E-1
3.035674583E-1,2.686981678E0,4.652480602E0,6.296839118E-1
3.135734583E-1,2.793335676E0,4.537823677E0,6.114624739E-1
3.235804583E-1,2.591373920E0,4.893944740E0,2.371716499E-1
3.335864583E-1,1.935411215E0,5.676492214E0,-1.411519498E-1
3.435924583E-1,1.091462135E0,6.898807049E0,-1.542235464E-1
3.535984583E-1,1.055138707E0,5.321745396E0,1.647258997E-1
3.636044583E-1,1.377100825E0,1.598369002E0,-5.282269716E-1
3.736104583E-1,1.224910498E0,-9.977799058E-1,-1.032654643E0
3.836164583E-1,-2.453265488E-1,-8.738443851E-1,-9.385763407E-1
3.936224583E-1,-1.127626657E0,-9.061292410E-1,-9.863737822E-1
4.036294583E-1,-1.656244516E0,-1.001950622E0,-8.573659658E-1
4.136354583E-1,-2.513483763E0,-6.845793724E-1,-4.517740309E-1
4.236414583E-1,-3.378183603E0,-1.774693131E-1,7.756755501E-2
4.336474583E-1,-3.714521170E0,-1.195846722E-1,4.021297023E-2
4.436534583E-1,-3.563426256E0,1.518889070E-1,-5.803107619E-1
4.536594583E-1,-3.222383022E0,8.989309072E-1,-1.457178950E0
4.636654583E-1,-3.070055485E0,1.549723506E0,-2.281033754E0
4.736724583E-1,-2.829328775E0,2.167229891E0,-2.661992311E0
4.836784583E-1,-2.418293476E0,2.447103977E0,-2.779591084E0
4.936844583E-1,-1.971185923E0,2.077293158E0,-2.658973932E0
5.036904583E-1,-1.728166103E0,1.394584417E0,-2.294136047E0
5.136964583E-1,-1.845209599E0,6.864788532E-1,-1.817475319E0
5.237024583E-1,-2.285566092E0,-6.693610549E-2,-1.239879370E0
5.337084583E-1,-2.966741562E0,-7.202054858E-1,-7.063953280E-1
5.437144583E-1,-3.654498339E0,-1.122640014E0,-2.455760986E-1
5.537214583E-1,-4.045060158E0,-1.330334187E0,5.545235798E-2
5.637274583E-1,-4.172603130E0,-1.369346023E0,2.642079592E-1
5.737334583E-1,-4.182271481E0,-1.226976514E0,4.999103844E-1
5.837394583E-1,-4.180388451E0,-8.613833189E-1,7.895765305E-1
5.937454583E-1,-4.252394199E0,-2.640866339E-1,9.744576216E-1
6.037514583E-1,-4.444328308E0,5.318360925E-1,9.853627086E-1
6.137574583E-1,-4.676119804E0,1.208731413E0,9.207369685E-1
6.237644583E-1,-4.790464401E0,1.656137943E0,9.216669202E-1
6.337704583E-1,-4.882226467E0,1.916205764E0,1.071694374E0
6.437764583E-1,-4.818512440E0,1.603434920E0,1.422464132E0
6.537824583E-1,-4.642342567E0,1.346969128E0,1.882520676E0
6.637884583E-1,-4.448484421E0,1.308233142E0,2.123267412E0
6.737944583E-1,-4.296442032E0,1.450539947E0,2.043903351E0
6.838004583E-1,-4.235183716E0,1.850615144E0,1.876660585E0
6.938074583E-1,-4.199017048E0,2.007950306E0,1.728465319E0
7.038134583E-1,-4.136836052E0,1.744641304E0,1.615458012E0
