"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.338945834E-2,2.960620117E1,-4.791912079E0,-3.451570129E1
2.339645833E-2,2.929277039E1,-4.724300385E0,-3.474949646E1
3.340245834E-2,2.896768951E1,-4.505443573E0,-3.496864319E1
4.340845834E-2,2.792724609E1,-3.763570786E0,-3.571258545E1
5.341445834E-2,2.703791046E1,-3.036689758E0,-3.644146729E1
6.342045833E-2,2.587160492E1,-2.535430193E0,-3.722734070E1
7.342645833E-2,2.471454620E1,-1.915334225E0,-3.791201782E1
8.343245834E-2,2.321551514E1,-1.008306980E0,-3.877151489E1
9.343845834E-2,2.165222168E1,-3.094143271E-1,-3.973118591E1
1.034454583E-1,2.011615753E1,6.514444351E-1,-4.035902405E1
1.134514583E-1,1.868844604E1,1.621255875E0,-4.116215515E1
1.234574583E-1,1.733759308E1,2.742476940E0,-4.172506714E1
1.334634583E-1,1.641961670E1,4.002130985E0,-4.197093201E1
1.434694583E-1,1.608296967E1,5.198442936E0,-4.192330933E1
1.534754583E-1,1.627909088E1,6.484784603E0,-4.185176086E1
1.634814583E-1,1.701612091E1,7.606243134E0,-4.141923523E1
1.734884583E-1,1.831579590E1,8.661726952E0,-4.060134888E1
1.834944583E-1,1.980720520E1,9.629673004E0,-3.961091614E1
1.935004583E-1,2.044405365E1,1.035025978E1,-3.904284668E1
2.035064583E-1,2.046147156E1,1.122550011E1,-3.865983582E1
2.135124583E-1,2.000033569E1,1.208586407E1,-3.855239868E1
2.235184583E-1,1.969696808E1,1.288234997E1,-3.863601685E1
2.335244583E-1,1.914131927E1,1.354095078E1,-3.845018005E1
2.435304583E-1,1.855979919E1,1.412361908E1,-3.883586121E1
2.535374583E-1,1.816111755E1,1.450602531E1,-3.887295532E1
2.635434583E-1,1.799443054E1,1.460263634E1,-3.860972595E1
2.735494583E-1,1.862176514E1,1.432064247E1,-3.842379761E1
2.835554583E-1,1.930889130E1,1.381686497E1,-3.838183594E1
2.935614583E-1,2.056937408E1,1.300775146E1,-3.795275879E1
3.035674583E-1,2.219924927E1,1.199835205E1,-3.739364624E1
3.135734583E-1,2.405133057E1,1.095408726E1,-3.679338074E1
3.235804583E-1,2.573271942E1,9.844827652E0,-3.603097534E1
3.335864583E-1,2.768581390E1,8.969393730E0,-3.465159607E1
3.435924583E-1,2.956826782E1,8.361089706E0,-3.315917969E1
3.535984583E-1,3.186840057E1,7.833529472E0,-3.136192322E1
3.636044583E-1,3.331283569E1,7.475976944E0,-2.983715820E1
3.736104583E-1,3.369905090E1,7.369628906E0,-2.929087830E1
3.836164583E-1,3.354080963E1,7.354207039E0,-2.950192261E1
3.936224583E-1,3.338828278E1,7.653151512E0,-2.970031738E1
4.036294583E-1,3.308364105E1,8.357684135E0,-2.995892334E1
4.136354583E-1,3.261968231E1,9.269901276E0,-3.010433960E1
4.236414583E-1,3.238107300E1,1.021739864E1,-3.005508423E1
4.336474583E-1,3.218270874E1,1.096830750E1,-2.969595337E1
4.436534583E-1,3.224156952E1,1.230104351E1,-2.920776367E1
4.536594583E-1,3.213462830E1,1.368534470E1,-2.893275452E1
4.636654583E-1,3.216290283E1,1.492072296E1,-2.836849976E1
4.736724583E-1,3.235470581E1,1.662437820E1,-2.699717712E1
4.836784583E-1,3.228886414E1,1.825413513E1,-2.602265930E1
4.936844583E-1,3.229679871E1,1.986589432E1,-2.464767456E1
5.036904583E-1,3.215458679E1,2.121053696E1,-2.348728943E1
5.136964583E-1,3.192168427E1,2.239335632E1,-2.237319946E1
5.237024583E-1,3.171408081E1,2.348942375E1,-2.144462585E1
5.337084583E-1,3.118278503E1,2.444514465E1,-2.125570679E1
5.437144583E-1,3.068160248E1,2.536921883E1,-2.043052673E1
5.537214583E-1,3.030046844E1,2.640905571E1,-1.980276489E1
5.637274583E-1,2.995286560E1,2.712791061E1,-1.932539368E1
5.737334583E-1,2.968692017E1,2.792926979E1,-1.869474792E1
