"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.423250001E-3,-1.954485626E0,9.486073608E0,1.146316223E0
1.644224999E-2,-2.027234344E0,9.423054657E0,1.137933655E0
2.646125000E-2,-2.097887421E0,9.036857758E0,1.194366302E0
3.648125000E-2,-2.383942566E0,8.773854675E0,1.210233307E0
4.650025000E-2,-2.414928131E0,9.073681183E0,1.429377594E0
5.651925000E-2,-2.249671783E0,9.931696930E0,1.548080750E0
6.653925000E-2,-2.210752716E0,9.997260590E0,9.348060608E-1
7.655825000E-2,-2.016756134E0,9.524992676E0,4.987628174E-1
8.657825000E-2,-1.645528107E0,9.220226440E0,4.375401306E-1
9.659725000E-2,-1.345551910E0,9.070088654E0,7.315287781E-1
1.066153333E-1,-1.306034088E0,9.104067993E0,1.361867981E0
1.166353333E-1,-1.266965332E0,9.045240326E0,1.609303436E0
1.266543333E-1,-1.170116730E0,8.979826355E0,1.449286194E0
1.366733333E-1,-1.152154083E0,9.184600525E0,1.172212372E0
1.466933333E-1,-1.098864899E0,9.420060883E0,1.061592407E0
1.567123333E-1,-1.063837738E0,9.699679413E0,3.882925415E-1
1.667313333E-1,-1.206640778E0,9.984537048E0,-4.234693909E-1
1.767513333E-1,-1.552721100E0,9.923613739E0,-5.992039490E-1
1.867703333E-1,-1.978735199E0,9.788594513E0,-2.871029663E-1
1.967893333E-1,-2.256557465E0,9.757908325E0,2.543211365E-1
2.068093333E-1,-2.234852600E0,9.688003693E0,4.447251892E-1
2.168283333E-1,-1.983824615E0,9.549691315E0,2.095642090E-3
2.268483333E-1,-1.505718842E0,9.584119720E0,-6.623725891E-1
2.368673333E-1,-1.019529877E0,9.592651978E0,-1.027613068E0
2.468863333E-1,-7.926017761E-1,9.231153717E0,-1.584155731E0
2.569063333E-1,-6.432124329E-1,8.858129425E0,-2.307601318E0
2.669253333E-1,-3.751199341E-1,8.294102325E0,-2.903811493E0
2.769443333E-1,-3.161425781E-1,6.978039093E0,-2.693648529E0
2.869643333E-1,-6.360273743E-1,6.115083618E0,-1.489552460E0
2.969833333E-1,-6.057902527E-1,5.702990570E0,-3.616479492E-1
3.070023333E-1,3.306623840E-1,5.353018341E0,9.726773071E-1
3.170223333E-1,1.466949463E0,4.762646027E0,2.575394440E0
3.270413333E-1,1.034049683E0,3.567830658E0,3.035986633E0
3.370603333E-1,-5.700146484E-1,3.878285065E0,2.987637177E0
3.470803333E-1,-2.298470306E0,6.180796967E0,6.168073425E0
3.570993333E-1,-3.089874573E0,6.723119202E0,5.726641388E0
3.671193333E-1,-2.900069275E0,7.205116882E0,3.647764435E0
3.771383333E-1,-2.468367004E0,8.368347931E0,3.846700745E0
3.871573333E-1,-2.834056549E0,9.353150024E0,4.780458984E0
3.971773333E-1,-4.398303680E0,9.349407806E0,6.607110443E0
4.071963333E-1,-5.828579407E0,7.385940857E0,8.645571442E0
4.172153333E-1,-5.379962311E0,5.340145111E0,1.113444580E1
4.272353333E-1,-5.629643097E0,6.596482544E0,1.137709122E1
4.372543333E-1,-5.278772736E0,8.365803223E0,8.886719971E0
