"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.268425000E-2,-5.645256639E-1,-2.220663875E-1,1.330224872E-1
2.270425000E-2,-5.746049285E-1,-3.593403697E-1,1.077064648E-1
3.272325000E-2,-5.152369738E-1,-4.234331250E-1,1.245763004E-1
4.274225000E-2,-4.038934112E-1,-4.947720170E-1,1.013474092E-1
5.276225000E-2,-2.472437471E-1,-5.223815441E-1,1.686043739E-1
6.278125000E-2,-1.613940746E-1,-4.106926322E-1,2.547222376E-1
7.280025000E-2,-2.082430422E-1,-3.316852152E-1,2.600049078E-1
8.282025000E-2,-2.885980904E-1,-2.304845601E-1,1.872500181E-1
9.283925000E-2,-3.428734839E-1,-1.947639287E-1,1.104513854E-1
1.028583333E-1,-4.185245633E-1,-3.059437275E-1,4.833475128E-2
1.128773333E-1,-5.207425356E-1,-4.216399789E-1,-3.154063970E-2
1.228963333E-1,-5.878155828E-1,-4.799288511E-1,-1.322704554E-1
1.329163333E-1,-5.654330850E-1,-4.316821992E-1,-2.129923105E-1
1.429353333E-1,-4.678788781E-1,-3.411507010E-1,-2.456384152E-1
1.529543333E-1,-3.388202488E-1,-1.126437783E-1,-2.250557244E-1
1.629743333E-1,-1.863052845E-1,2.133582979E-1,-1.760980487E-1
1.729933333E-1,-2.751963399E-2,4.982804954E-1,-1.373981684E-1
1.830123333E-1,1.100142598E-1,6.428986788E-1,-1.089398861E-1
1.930323333E-1,1.611886024E-1,5.929504037E-1,-7.881632447E-2
2.030513333E-1,9.107635170E-2,4.478702247E-1,-5.966819078E-2
2.130713333E-1,-1.361228377E-1,2.996684909E-1,-6.624136120E-2
2.230903333E-1,-5.305635929E-1,1.798975915E-1,-7.620744407E-2
2.331093333E-1,-1.009361506E0,1.176557541E-1,-7.342444360E-2
2.431293333E-1,-1.403441668E0,2.501051426E-1,-9.532041848E-2
2.531483333E-1,-1.633681536E0,5.830048919E-1,-1.426911652E-1
2.631673333E-1,-1.729259968E0,1.086747408E0,-2.364525497E-1
2.731873333E-1,-1.720687032E0,1.581622243E0,-4.361593127E-1
2.832063333E-1,-1.654129148E0,1.948274493E0,-7.015148401E-1
2.932253333E-1,-1.503104687E0,2.337974310E0,-9.533569813E-1
3.032453333E-1,-1.230246544E0,2.714013100E0,-1.188294411E0
3.132643333E-1,-8.445121050E-1,2.983340263E0,-1.449740887E0
3.232833333E-1,-3.671633601E-1,3.316832066E0,-1.811602235E0
3.333033333E-1,2.390809208E-1,3.671262503E0,-2.154799461E0
3.433223333E-1,5.977054238E-1,3.201427221E0,-2.051376581E0
3.533423333E-1,7.766392231E-1,3.031029463E0,-1.729895234E0
3.633613333E-1,7.212585211E-1,3.377596855E0,-1.397998333E0
3.733803333E-1,5.974717736E-1,3.650480986E0,-1.002276182E0
3.834003333E-1,4.459595382E-1,3.861253738E0,-5.032228827E-1
3.934193333E-1,1.303194463E-1,3.586616993E0,-1.125272214E-1
4.034383333E-1,-3.058759868E-1,3.174110174E0,-3.252136409E-1
4.134583333E-1,-2.425184548E-1,1.831381679E0,-1.211059928E0
4.234773333E-1,2.173576504E-3,3.921633661E-1,-2.036793709E0
4.334963333E-1,3.521449864E-1,-1.536107361E-1,-2.339778900E0
4.435163333E-1,7.480356097E-1,2.128810436E-2,-2.123059034E0
4.535353333E-1,1.444577932E0,9.906407595E-1,-1.669630289E0
4.635553333E-1,2.605928421E0,2.340602160E0,-1.112444162E0
4.735743333E-1,4.174430370E0,3.568201065E0,-4.908720553E-1
4.835933333E-1,5.800244808E0,4.560571194E0,1.843474060E-1
4.936133333E-1,6.984074116E0,5.065112591E0,7.024977207E-1
5.036323333E-1,7.461489677E0,5.041234970E0,8.101171255E-1
5.136513333E-1,7.174118996E0,4.332310200E0,5.305174589E-1
5.236713333E-1,6.165976048E0,3.022273540E0,7.591268420E-2
5.336903333E-1,4.608421803E0,1.873574018E0,-2.159999013E-1
5.437103333E-1,2.530014992E0,1.827279806E0,-1.670916937E-2
5.537293333E-1,4.919003248E-1,2.499020338E0,3.316144645E-1
5.637483333E-1,-5.900885463E-1,3.225276947E0,3.084023595E-1
5.737683333E-1,-3.384451866E-1,3.718966961E0,3.221881986E-1
5.837873333E-1,7.392055988E-1,4.439993858E0,2.571623325E-1
5.938063333E-1,1.503281593E0,4.834110737E0,4.085780308E-2
6.038263333E-1,1.272099495E0,4.930936813E0,-6.527689099E-2
6.138453333E-1,2.345395386E-1,4.378101349E0,-1.428843141E-1
6.238643333E-1,-8.324322701E-1,3.442615271E0,-2.090891600E-1
6.338843333E-1,-1.669300795E0,1.986109018E0,-7.343335450E-2
6.439033333E-1,-2.030422688E0,3.673946857E-1,2.344006300E-1
6.539233333E-1,-1.676089287E0,-6.457313895E-1,4.891763031E-1
6.639423333E-1,-1.017771125E0,-1.079016328E0,4.809862971E-1
6.739613333E-1,-1.643721461E-1,-2.283501178E-1,-4.581480324E-1
6.839813333E-1,1.558947682E0,3.181302547E0,-2.661849976E0
6.940003333E-1,2.540936232E0,4.570641994E0,-2.660281420E0
7.040193333E-1,2.955089092E0,3.527741432E0,-1.730829835E0
7.140393333E-1,3.002030134E0,1.275313735E0,-9.843546152E-1
7.240583333E-1,3.143607616E0,-3.465095162E-2,-7.506853938E-1
7.340773333E-1,2.526440620E0,1.334360242E0,-1.010454178E0
7.440973333E-1,8.267711401E-1,3.923384905E0,-1.072422504E0
7.541163333E-1,-4.266408384E-1,2.856659651E0,-4.479911029E-1
7.641363333E-1,-1.535732865E0,1.211667247E-2,4.464757442E-1
7.741553333E-1,-2.568419695E0,-2.636372328E0,1.171329021E0
7.841743333E-1,-3.196452618E0,-4.191247940E0,1.689107180E0
7.941943333E-1,-3.197955847E0,-4.699213982E0,2.232417107E0
8.042133333E-1,-2.509068727E0,-4.253020287E0,2.518154860E0
8.142323333E-1,-1.285584092E0,-2.841891050E0,2.215915918E0
8.242523333E-1,-8.275066316E-2,-8.273311257E-1,1.315736771E0
8.342713333E-1,6.790547967E-1,1.529107690E0,8.275100589E-2
8.442913333E-1,1.322373629E0,3.583936930E0,-1.007056475E0
8.543103333E-1,1.850579381E0,4.248816967E0,-1.672053099E0
8.643293333E-1,2.334993839E0,2.879536152E0,-1.529878378E0
8.743493333E-1,2.492981434E0,7.418274879E-1,-9.418187141E-1
8.843683333E-1,1.528610826E0,5.706027150E-1,-4.089407325E-1
8.943883333E-1,-1.671928912E-2,1.013916016E0,-6.077564955E-1
9.044073333E-1,-5.663952231E-1,-1.483810097E-1,-1.144895315E0
9.144263333E-1,-7.422106862E-1,-1.675855517E0,-1.486492872E0
9.244463333E-1,-1.251337886E0,-2.804313660E0,-1.778385401E0
9.344653333E-1,-2.054555416E0,-3.763774633E0,-1.781278729E0
9.444843333E-1,-3.003724575E0,-5.031461239E0,-1.475621581E0
9.545043333E-1,-3.508607149E0,-5.485545635E0,-1.384891987E0
9.645233333E-1,-3.328760147E0,-4.974428654E0,-1.657224417E0
9.745433333E-1,-3.076033115E0,-4.432158470E0,-1.891213536E0
9.845623333E-1,-3.174787521E0,-3.832053185E0,-1.870256901E0
9.945813333E-1,-3.418938637E0,-3.104933739E0,-1.903569937E0
1.004601333E0,-3.400869846E0,-2.511848450E0,-1.796995282E0
1.014620333E0,-2.999469995E0,-1.475283384E0,-1.203973413E0
1.024640333E0,-2.223090649E0,1.938375980E-1,-7.989354134E-1
1.034659333E0,-1.130656838E0,1.687389255E0,-6.400929093E-1
1.044678333E0,-1.607862264E-1,2.098976135E0,-7.531856298E-1
1.054698333E0,2.595799044E-3,1.540545225E0,-4.785279632E-1
1.064717333E0,-2.883718610E-1,4.381786883E-1,1.960140094E-2
1.074737333E0,-6.556358337E-1,-5.407800674E-1,4.045671225E-1
1.084756333E0,-9.860084653E-1,-1.272920251E0,5.824689269E-1
1.094775333E0,-1.278890014E0,-2.080160379E0,4.299507141E-1
1.104795375E0,-1.550765157E0,-2.717787743E0,3.379853964E-1
1.114814375E0,-1.762208700E0,-2.848908424E0,3.903830349E-1
1.124833375E0,-1.915915489E0,-2.830106258E0,5.104944706E-1
1.134853375E0,-1.878959775E0,-2.482309580E0,5.899686217E-1
1.144872375E0,-1.551861882E0,-1.530923963E0,5.368286967E-1
1.154892375E0,-9.860214591E-1,-2.584361732E-1,4.095181823E-1
1.164911375E0,-2.128490657E-1,1.167307854E0,3.115189373E-1
1.174931375E0,7.075325251E-1,3.190803528E0,2.538144886E-1
1.184950375E0,1.712193131E0,5.447554588E0,2.937667072E-1
1.194969375E0,2.699616671E0,5.045822144E0,3.940270841E-1
1.204989375E0,2.527873278E0,4.500772953E0,2.146900892E-1
1.215008375E0,4.191511571E-1,3.356914997E0,1.912442446E-1
1.225027375E0,-1.212172747E0,1.201399922E0,3.164048195E-1
1.235047375E0,-1.123817086E0,-3.021383286E-1,4.656478465E-1
1.245066375E0,-5.255180001E-1,-9.727329612E-1,4.854604304E-1
1.255086375E0,-1.379953027E-1,-1.063726902E0,5.372713804E-1
1.265105375E0,-7.632233948E-2,-6.481744647E-1,8.719814420E-1
1.275124375E0,-1.012511104E-1,1.203591704E0,1.049300671E0
1.285144375E0,1.698629409E-1,3.570802450E0,6.191465259E-1
1.295163375E0,1.523648381E0,3.856030464E0,1.993225366E-1
1.305183375E0,2.208953381E0,2.760104656E0,-1.993050128E-1
1.315202375E0,6.667863131E-1,1.022960067E0,-1.137164593E0
