"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.268425000E-2,-5.998852958E-1,-1.842475194E-1,8.410342634E-2
2.270425000E-2,-7.098372160E-1,-3.741376019E-1,2.822209798E-2
3.272325000E-2,-7.891400783E-1,-8.171273375E-1,3.026219152E-2
4.274225000E-2,-1.206503368E0,-7.740181553E-1,4.995963380E-2
5.276225000E-2,-9.380511193E-1,-1.979902303E-1,2.562684055E-1
6.278125000E-2,-9.721256223E-1,5.178592390E-1,2.532604516E-2
7.280025000E-2,-8.695020175E-1,9.246436000E-2,-6.902398342E-1
8.282025000E-2,-6.178767398E-1,-2.755611473E-1,-9.029498452E-1
9.283925000E-2,-2.428231716E-1,-5.189596850E-1,-8.597507621E-1
1.028583333E-1,-9.899774641E-2,-5.526636207E-1,-3.783699627E-1
1.128773333E-1,-1.068675870E-1,-5.236930060E-1,8.825304911E-2
1.228963333E-1,-2.056246474E-3,-6.307543552E-1,2.697013602E-2
1.329163333E-1,4.525532953E-2,-5.470801145E-1,-2.878052169E-1
1.429353333E-1,9.736549616E-2,-2.775766826E-1,-5.367749816E-1
1.529543333E-1,1.768145388E-1,-4.962298036E-2,-8.556799306E-1
1.629743333E-1,1.594198032E-1,3.040815264E-1,-1.802685476E0
1.729933333E-1,-7.245094880E-2,4.141927832E-1,-2.306839426E0
1.830123333E-1,-4.591600643E-1,2.759891635E-1,-2.201426407E0
1.930323333E-1,-8.289384207E-1,1.912846434E-1,-1.696880840E0
2.030513333E-1,-9.333926426E-1,1.628437865E-1,-1.245127151E0
2.130713333E-1,-7.839265546E-1,4.574861526E-2,-1.363457839E0
2.230903333E-1,-4.032549816E-1,-3.345893741E-2,-2.051919681E0
2.331093333E-1,1.398634981E-1,8.264688492E-2,-2.623934516E0
2.431293333E-1,5.072078048E-1,-8.776612222E-2,-3.129970100E0
2.531483333E-1,6.824852568E-1,-4.582708490E-1,-3.972832788E0
2.631673333E-1,9.212297031E-1,-8.309127331E-1,-4.804295451E0
2.731873333E-1,1.210000588E0,-1.720419245E0,-5.256356850E0
2.832063333E-1,1.148574856E0,-2.914404309E0,-4.597162222E0
2.932253333E-1,1.002006356E0,-3.439170864E0,-3.442127801E0
3.032453333E-1,1.649505383E0,-3.709330353E0,-2.393349274E0
3.132643333E-1,3.075205663E0,-4.094167190E0,-8.999741971E-1
3.232833333E-1,3.837559208E0,-4.942780614E0,5.212617338E-1
3.333033333E-1,2.851738529E0,-5.794618778E0,-2.910743952E-2
3.433223333E-1,1.437094749E0,-3.971309588E0,2.119305772E0
3.533423333E-1,2.468577504E-1,-2.349720567E0,4.303902723E0
3.633613333E-1,2.796521518E-1,-2.148006245E0,2.318646563E0
3.733803333E-1,8.433386511E-1,-1.181107741E0,1.658223581E0
3.834003333E-1,1.179058584E0,-2.010974407E-2,2.469792556E0
3.934193333E-1,2.362409610E-1,6.638080806E-1,3.864580945E0
4.034383333E-1,-1.499735386E0,-3.872996843E-1,6.624861420E0
4.134583333E-1,-1.882849925E0,-2.786330405E0,7.992250927E0
4.234773333E-1,-1.203974740E0,-3.183737587E0,1.067047509E1
4.334963333E-1,-1.469906400E0,-1.160721424E0,8.777961760E0
4.435163333E-1,-2.980311200E-1,5.082195193E-1,6.260160640E0
4.535353333E-1,-1.235817799E-1,2.221033875E0,3.054737484E0
4.635553333E-1,2.562033552E-1,3.568103723E0,-3.716270998E-2
4.735743333E-1,1.154880932E0,4.459608228E0,-1.381181334E0
4.835933333E-1,1.730720285E0,5.347117331E0,-1.504763407E0
4.936133333E-1,3.686727941E-1,6.705265313E0,-6.736144459E-1
5.036323333E-1,-2.220845887E0,6.651376204E0,1.594372133E0
5.136513333E-1,-3.272014463E0,4.665440159E0,2.772305274E0
5.236713333E-1,-3.531552193E0,3.961116722E0,3.684392563E0
5.336903333E-1,-2.250824854E0,4.301124710E0,3.166685352E0
5.437103333E-1,-1.099167784E0,3.980766290E0,5.310797936E-1
5.537293333E-1,-3.984877467E-2,3.133507081E0,-4.213771402E0
5.637483333E-1,1.070234884E0,1.685835303E0,-7.062245430E0
5.737683333E-1,1.646169546E0,7.805471563E-1,-6.881027938E0
5.837873333E-1,3.022355897E0,9.896219534E-1,-2.145523517E0
5.938063333E-1,4.073876475E0,6.408998591E-1,-2.955994969E0
6.038263333E-1,2.238570552E0,1.162537569E-1,-4.328479739E0
6.138453333E-1,1.162417409E0,-1.379780341E0,-4.860735408E0
6.238643333E-1,4.518316028E-1,-2.174650252E0,-4.029929094E0
6.338843333E-1,-2.989628738E-1,-1.961522750E0,-1.927887227E0
6.439033333E-1,-1.338700143E0,-1.479995770E0,-3.040552139E-5
6.539233333E-1,-2.157032884E0,-1.492005367E0,4.545099199E-1
6.639423333E-1,-1.852731941E0,-2.534274480E0,-6.172016788E-1
6.739613333E-1,-1.722993189E-1,-3.682086421E0,-3.241705713E0
6.839813333E-1,6.064581217E0,-5.057254479E0,-7.954122988E0
6.940003333E-1,4.574293177E0,-6.915116036E0,-8.911734944E0
7.040193333E-1,6.538502723E-1,-9.513189486E0,-4.634353437E0
7.140393333E-1,-1.123767167E0,-6.045035144E0,2.652004659E-1
7.240583333E-1,-3.109176524E0,-4.993539709E-1,2.287443042E0
7.340773333E-1,-2.314886949E0,1.142986234E0,2.161436715E0
7.440973333E-1,2.757695421E0,-2.264230766E0,-4.808872944E-1
7.541163333E-1,-2.230184622E0,1.213159838E0,9.382056320E-1
7.641363333E-1,-9.633142192E0,5.675326808E0,5.823968877E0
7.741553333E-1,-1.281503615E1,6.215586146E0,6.666863140E0
7.841743333E-1,-1.269851050E1,4.843773805E0,6.133376632E0
7.941943333E-1,-9.966126505E0,4.232742108E0,6.326158163E0
8.042133333E-1,-6.062249347E0,4.881669025E0,6.988904389E0
8.142323333E-1,-2.244165314E0,4.681308918E0,5.660332208E0
8.242523333E-1,1.589434013E-1,2.240066562E0,3.260524392E0
8.342713333E-1,1.144098959E0,-1.675847089E-1,2.271976572E-1
8.442913333E-1,2.348119745E0,1.082956964E0,-1.931671545E0
8.543103333E-1,2.312740144E0,1.678011144E0,-2.812469214E0
8.643293333E-1,4.450975107E-1,2.446615362E0,-1.366731110E0
8.743493333E-1,2.413710156E-1,3.591931127E0,3.544997281E-1
8.843683333E-1,2.723289819E0,3.890605148E0,-4.649284887E-1
8.943883333E-1,6.128253302E0,1.898363466E0,-4.291274491E0
9.044073333E-1,7.742068450E0,-2.934749696E0,-2.718155964E0
9.144263333E-1,8.202793960E0,-6.303853959E0,1.681471526E0
9.244463333E-1,8.200141078E0,-6.595189140E0,1.894196740E0
9.344653333E-1,6.507867991E0,-3.586662785E0,-1.040585700E0
9.444843333E-1,4.342208709E0,4.694577420E-1,-2.320571027E0
9.545043333E-1,3.855807198E0,9.741040277E-1,-3.451424873E0
9.645233333E-1,5.643775817E0,-1.015892324E0,-5.742660420E0
