"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.268425000E-2,2.321413803E1,-3.028445435E1,-1.371221924E1
2.270425000E-2,2.314583206E1,-3.037416840E1,-1.346759033E1
3.272325000E-2,2.305990219E1,-3.033667755E1,-1.339471436E1
4.274225000E-2,2.299145889E1,-3.041497421E1,-1.348580933E1
5.276225000E-2,2.282821655E1,-3.036850739E1,-1.378216553E1
6.278125000E-2,2.265517426E1,-3.029067993E1,-1.398519897E1
7.280025000E-2,2.253649902E1,-3.027363968E1,-1.399383545E1
8.282025000E-2,2.240194511E1,-3.026803589E1,-1.426251221E1
9.283925000E-2,2.238648605E1,-3.040653610E1,-1.427307129E1
1.028583333E-1,2.235943604E1,-3.026777649E1,-1.449087524E1
1.128773333E-1,2.216744232E1,-3.021887207E1,-1.461688232E1
1.228963333E-1,2.220801926E1,-3.014047241E1,-1.494705200E1
1.329163333E-1,2.216103745E1,-3.004862595E1,-1.522268677E1
1.429353333E-1,2.206589508E1,-2.991955948E1,-1.551525879E1
1.529543333E-1,2.217765427E1,-2.983661652E1,-1.564517212E1
1.629743333E-1,2.222687531E1,-2.968531418E1,-1.573754883E1
1.729933333E-1,2.227573776E1,-2.948175430E1,-1.574688721E1
1.830123333E-1,2.242108536E1,-2.952404022E1,-1.575695801E1
1.930323333E-1,2.256946182E1,-2.955637741E1,-1.568426514E1
2.030513333E-1,2.263209152E1,-2.939031601E1,-1.557620239E1
2.130713333E-1,2.278691292E1,-2.942432022E1,-1.560861206E1
2.230903333E-1,2.289172363E1,-2.929740906E1,-1.555950928E1
2.331093333E-1,2.292363930E1,-2.926475906E1,-1.561145020E1
2.431293333E-1,2.299987793E1,-2.910404968E1,-1.574066162E1
2.531483333E-1,2.306609154E1,-2.872267914E1,-1.624789429E1
2.631673333E-1,2.313801003E1,-2.837708282E1,-1.656994629E1
2.731873333E-1,2.346083069E1,-2.798747635E1,-1.636215210E1
2.832063333E-1,2.378833008E1,-2.753669739E1,-1.654953003E1
2.932253333E-1,2.419211960E1,-2.712200928E1,-1.649902344E1
3.032453333E-1,2.476045990E1,-2.654664993E1,-1.667282104E1
3.132643333E-1,2.552900314E1,-2.592001343E1,-1.618722534E1
3.232833333E-1,2.636464310E1,-2.539987564E1,-1.561456299E1
3.333033333E-1,2.724526405E1,-2.472637939E1,-1.457879639E1
3.433223333E-1,2.820019531E1,-2.418728256E1,-1.357403564E1
3.533423333E-1,2.917442322E1,-2.354228210E1,-1.267733765E1
3.633613333E-1,3.008231354E1,-2.287673569E1,-1.151562500E1
3.733803333E-1,3.072729874E1,-2.250277710E1,-1.018029785E1
3.834003333E-1,3.135593414E1,-2.228210068E1,-8.655212402E0
3.934193333E-1,3.185453606E1,-2.214402771E1,-7.661376953E0
4.034383333E-1,3.220906448E1,-2.195941544E1,-6.347778320E0
4.134583333E-1,3.264109039E1,-2.194496918E1,-5.221374512E0
4.234773333E-1,3.301739883E1,-2.147223663E1,-4.474853516E0
4.334963333E-1,3.347648621E1,-2.096319580E1,-3.941650391E0
4.435163333E-1,3.384181976E1,-2.022612762E1,-3.848999023E0
4.535353333E-1,3.429381180E1,-1.952663803E1,-3.682128906E0
4.635553333E-1,3.469432449E1,-1.891831589E1,-3.226806641E0
4.735743333E-1,3.493062973E1,-1.846804428E1,-1.989288330E0
4.835933333E-1,3.513206100E1,-1.832654190E1,4.306030273E-2
4.936133333E-1,3.524514008E1,-1.849877167E1,2.907653809E0
5.036323333E-1,3.494338226E1,-1.840279388E1,5.836395264E0
5.136513333E-1,3.455664062E1,-1.807413101E1,8.890045166E0
5.236713333E-1,3.410060120E1,-1.773516464E1,1.186996460E1
5.336903333E-1,3.369269943E1,-1.702652359E1,1.408102417E1
