"Time (s)","X (hPa)"
-5.649260833E-1,1.020171280E3
4.370499167E-1,1.020171661E3
1.438978917E0,1.020172043E3
2.440942917E0,1.020172043E3
3.442892917E0,1.020169907E3
4.444875917E0,1.020169601E3
4.994285917E0,1.020166321E3
5.996219917E0,1.020164871E3
6.998223917E0,1.020164871E3
8.000092917E0,1.020164871E3
9.002009917E0,1.020164261E3
1.000393092E1,1.020164490E3
1.100585592E1,1.020164490E3
1.200783292E1,1.020165176E3
1.300970592E1,1.020165176E3
1.401164292E1,1.020160217E3
1.501362792E1,1.020160217E3
1.601541592E1,1.020160904E3
1.701731992E1,1.020162659E3
1.801928692E1,1.020164337E3
1.902115992E1,1.020169983E3
2.002314792E1,1.020172806E3
2.102503192E1,1.020172806E3
2.202741292E1,1.020171280E3
2.302903992E1,1.020171280E3
2.403086092E1,1.020171280E3
2.503274192E1,1.020172119E3
2.603457692E1,1.020175476E3
2.703647192E1,1.020179596E3
2.803895592E1,1.020182648E3
2.904030692E1,1.020182648E3
3.004224492E1,1.020179749E3
3.104427592E1,1.020175552E3
