"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.324416666E-2,-1.252827349E-1,2.088379848E-1,-1.937135183E0
2.326316667E-2,4.429470509E-2,-2.536340155E-1,-1.164075971E0
3.328216667E-2,3.563853090E-1,-9.216021708E-1,-4.372202879E-1
4.330216667E-2,4.519963481E-1,-1.296168812E0,2.028422499E-1
5.332116667E-2,2.096375915E-1,-1.250075650E0,6.806229186E-1
6.334016667E-2,-6.311309159E-2,-7.370364898E-1,8.009837598E-1
7.336016667E-2,-3.059732468E-1,-7.859761499E-2,5.383911520E-1
8.337916667E-2,-5.172818264E-1,5.078173039E-1,3.084523201E-1
9.339816667E-2,-5.860214013E-1,8.878448792E-1,1.557400042E-1
1.034181667E-1,-4.413655253E-1,6.789856251E-1,-2.013430238E-2
1.134371667E-1,-2.122708851E-1,2.681919745E-1,-1.783511871E-1
1.234561667E-1,1.333526234E-1,-2.108173404E-1,-6.758714712E-1
1.334751667E-1,5.712761852E-1,-7.085753869E-1,-1.285692210E0
1.434951667E-1,8.094249465E-1,-7.124661241E-1,-1.287306626E0
1.535141667E-1,9.296814148E-1,-3.600062703E-1,-9.153412646E-1
1.635331667E-1,1.018735971E0,3.041976302E-1,-6.383902341E-1
1.735531667E-1,1.134282800E0,1.152659210E0,-1.553850782E-1
1.835721667E-1,6.622519903E-1,1.672017017E0,-6.784699738E-2
1.935911667E-1,-5.017875820E-2,1.703640659E0,-3.149865836E-1
2.036111667E-1,-1.209053193E0,8.224701577E-1,2.731544334E-1
2.136301667E-1,-1.663647166E0,-8.230750521E-1,2.215796524E0
2.236491667E-1,-1.588739364E0,-1.910495269E0,4.149835607E0
2.336681667E-1,-1.750949312E0,-2.163168367E0,4.608987631E0
2.436881667E-1,-1.302868406E0,-2.063445274E0,4.080910383E0
2.537071667E-1,-4.117926474E-1,-1.968329202E0,3.215932356E0
2.637261667E-1,-1.556969541E-1,-1.524591315E0,2.046138977E0
2.737461667E-1,-3.643787451E-1,-8.078083375E-1,1.019950876E0
2.837651667E-1,-7.264447702E-1,2.430867349E-1,6.399660587E-1
2.937841667E-1,-1.460911774E0,6.342524520E-1,8.703346610E-2
3.038041667E-1,-1.706295442E0,1.172248332E-1,6.534906685E-2
3.138231667E-1,-1.598627298E0,-6.336876109E-2,-2.755120307E-1
3.238421667E-1,-1.559560588E0,-4.062022707E-1,-2.049025163E0
3.338611667E-1,-1.531234483E0,-1.669342354E0,-3.703208318E0
3.438811667E-1,-2.867514025E-1,-1.619632689E0,-3.638062150E0
3.539001667E-1,6.646778539E-1,-1.285289775E0,-2.759354861E0
3.639191667E-1,1.542324897E0,-1.326556646E0,-1.428026302E0
3.739391667E-1,1.863183839E0,-1.183228088E0,-9.003951967E-2
3.839581667E-1,1.343832829E0,-1.107012848E0,-3.027729780E0
3.939771667E-1,1.239886584E0,-1.578056354E0,-7.189843370E0
4.039971667E-1,1.612950929E0,-1.245885243E0,-2.115561799E0
4.140161667E-1,1.667977468E-1,5.692144570E-1,-5.677529454E-1
4.240351667E-1,-2.336502644E0,5.762447105E-1,-3.096124077E-1
4.340551667E-1,-2.642435691E0,-3.214328465E-1,1.834417146E0
4.440741667E-1,-1.926025473E0,-1.353870013E0,1.941883707E0
4.540931667E-1,-1.107261720E0,-3.095139406E0,-8.553271973E-1
4.641121667E-1,-4.122843251E-1,-3.210586832E0,1.380436399E0
4.741321667E-1,2.218535652E0,-2.220684212E0,7.482681870E-1
4.841511667E-1,4.398013951E0,-1.177457324E0,-1.183105150E0
4.941701667E-1,2.293292158E0,-1.702022150E-1,-1.486261647E0
5.041901667E-1,2.156038528E-1,-6.024678648E-2,-1.794632106E0
5.142091667E-1,9.710042726E-1,-4.188851738E-1,-2.936160044E0
5.242281667E-1,1.920400598E0,-1.431452478E0,-5.025901709E0
5.342481667E-1,1.993900391E0,-1.253499487E0,-5.893664179E0
5.442671667E-1,1.345498262E0,3.924078119E-1,-3.943283299E0
5.542861667E-1,-2.480365491E-1,1.983505942E0,-1.222784940E0
5.643061667E-1,-2.367021893E0,3.670968233E0,8.392879339E0
5.743251667E-1,-4.393810680E0,2.242049645E0,1.431255252E1
5.843441667E-1,-5.170314487E0,-4.531115583E-1,9.046769958E0
5.943631667E-1,-1.933544116E0,8.010366771E-1,2.310667014E0
6.043831667E-1,-2.091166046E-1,1.708074018E-1,1.352977290E0
6.144021667E-1,5.997240588E-1,-3.489870609E0,1.068339509E0
6.244211667E-1,-1.317614791E0,-3.602195329E0,5.263511503E-1
6.344411667E-1,-1.627183783E0,-3.049753025E0,-1.015110551E0
6.444601667E-1,-9.564735031E-1,-2.230048820E0,-1.900996467E0
6.544791667E-1,-1.385921526E0,-1.000885445E-1,-3.611187762E0
6.644991667E-1,-1.179176113E0,2.150704443E0,-5.104092430E0
6.745181667E-1,-5.817263290E-1,3.485926077E0,-5.835769143E0
6.845371667E-1,-4.509577364E-1,3.633795144E0,-5.710600137E0
6.945571667E-1,-8.299406335E-1,2.907800756E0,-4.589421093E-1
7.045761667E-1,-7.028604645E-1,6.187815964E-1,3.974051347E0
7.145952083E-1,9.324895401E-1,-1.617801780E-1,1.571718704E0
