"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.543083330E-3,-3.021017761E0,9.134305115E0,1.294358368E0
1.156208333E-2,-2.913840637E0,9.337283020E0,5.697152710E-1
2.158108333E-2,-3.016078033E0,9.423354034E0,4.252656555E-1
3.160008333E-2,-3.073558502E0,9.271719360E0,1.003962250E0
4.162008333E-2,-3.368894348E0,8.993597717E0,1.850601654E0
5.163908333E-2,-3.429069214E0,8.857380981E0,2.802771606E0
6.165808333E-2,-4.837191010E0,9.427695007E0,2.891836395E0
7.167412500E-2,-4.167333984E0,9.291328583E0,2.925815735E0
8.169312499E-2,-2.554737396E0,8.729097748E0,2.241289215E0
9.171212499E-2,-2.251468048E0,8.346643066E0,1.342109070E0
1.017311250E-1,-1.916764069E0,8.318202209E0,1.108594666E0
1.117511250E-1,-1.861678619E0,8.331823883E0,1.336720276E0
1.217701250E-1,-2.090702362E0,7.964338074E0,1.710343323E0
1.317891250E-1,-2.256707153E0,8.032446442E0,2.125280457E0
1.418091250E-1,-2.383343811E0,8.307274933E0,1.988315277E0
1.518281250E-1,-2.390977936E0,7.999365234E0,1.801354065E0
1.618471250E-1,-2.499801636E0,7.921527100E0,2.023043060E0
1.718661250E-1,-2.664908295E0,7.954757996E0,2.298470306E0
1.818861250E-1,-2.715054016E0,7.534132690E0,2.371817780E0
1.919051250E-1,-2.661914520E0,7.069498901E0,2.256407776E0
2.019241250E-1,-2.645748138E0,6.698719940E0,1.467248840E0
2.119431250E-1,-2.718646545E0,6.499184875E0,3.965254211E-1
2.219631250E-1,-2.755919037E0,6.767576752E0,-6.746470642E-1
2.319821250E-1,-3.216810608E0,7.321275330E0,-1.075663147E0
2.420011250E-1,-3.815415802E0,7.744445343E0,-4.441264343E-1
2.520211250E-1,-4.234843597E0,7.637118530E0,-9.729766846E-3
2.620401250E-1,-4.644541626E0,7.193890228E0,5.848338318E-1
2.720591250E-1,-4.661755829E0,6.525530090E0,2.691403198E-1
2.820781250E-1,-4.042194214E0,6.242169342E0,-1.206790466E0
2.920981250E-1,-3.518134003E0,6.131100311E0,-2.625839539E0
3.021171250E-1,-3.447181549E0,5.053940277E0,-2.689457245E0
3.121361250E-1,-3.507506104E0,3.977678375E0,-2.236499176E0
3.221551250E-1,-3.293301544E0,3.923790436E0,-1.963017883E0
3.321751250E-1,-3.310366058E0,4.072880402E0,-2.071542206E0
3.421941250E-1,-4.012705536E0,3.920197906E0,-1.326391754E0
3.522131250E-1,-5.203928375E0,4.185446320E0,6.822811890E-1
3.622331250E-1,-6.667884064E0,4.380041656E0,3.262016602E0
3.722521250E-1,-8.343499603E0,4.552183685E0,5.852828979E0
3.822711250E-1,-1.049826874E1,6.359225922E0,9.440867615E0
3.922901250E-1,-1.235066666E1,8.435558167E0,1.250125351E1
4.023101250E-1,-1.184277283E1,8.145611115E0,1.029379395E1
4.123291250E-1,-1.072804092E1,6.772815857E0,9.345964966E0
4.223481250E-1,-9.117390289E0,5.804629211E0,8.423134003E0
4.323671250E-1,-7.921377411E0,5.312901764E0,6.531367950E0
4.423871250E-1,-7.258555756E0,5.410049744E0,5.256618805E0
4.524061250E-1,-7.736362152E0,5.957910461E0,4.845872955E0
