"Time (s)","X (hPa)"
-5.753381667E-1,1.020276718E3
4.265488333E-1,1.020279999E3
1.428524833E0,1.020280075E3
2.430460833E0,1.020280075E3
3.432426833E0,1.020274124E3
4.434344833E0,1.020271759E3
4.983968833E0,1.020269623E3
5.985838833E0,1.020271301E3
6.987744833E0,1.020271301E3
7.989748833E0,1.020273819E3
8.991566833E0,1.020274200E3
9.993531833E0,1.020274353E3
1.099550383E1,1.020274353E3
1.199798183E1,1.020272064E3
1.299972683E1,1.020271912E3
1.400150783E1,1.020271912E3
1.500323183E1,1.020271912E3
1.600511483E1,1.020274582E3
1.700700683E1,1.020274582E3
1.800893883E1,1.020274582E3
1.901079983E1,1.020276184E3
2.001274983E1,1.020276642E3
2.101457483E1,1.020276794E3
2.201659483E1,1.020278473E3
2.301841783E1,1.020278702E3
2.402034783E1,1.020278473E3
2.502221383E1,1.020276718E3
2.602412383E1,1.020276489E3
2.702601383E1,1.020275116E3
2.802799583E1,1.020274506E3
2.902983283E1,1.020273743E3
3.003173183E1,1.020272293E3
3.103372283E1,1.020269623E3
3.203554683E1,1.020267868E3
3.303768383E1,1.020266571E3
3.403943283E1,1.020266571E3
3.504135383E1,1.020268631E3
3.604321383E1,1.020271225E3
3.704503783E1,1.020273972E3
3.804696083E1,1.020274124E3
3.904895583E1,1.020275192E3
4.005076383E1,1.020274124E3
4.105268383E1,1.020276108E3
4.205454283E1,1.020279770E3
4.305650483E1,1.020279770E3
4.405843583E1,1.020277023E3
4.506042983E1,1.020276031E3
4.606220783E1,1.020274353E3
4.706413983E1,1.020267715E3
4.806614983E1,1.020265656E3
4.906800183E1,1.020265656E3
5.007001083E1,1.020266037E3
5.107184583E1,1.020266037E3
5.207376283E1,1.020269012E3
5.307581983E1,1.020271149E3
