"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.281408333E-2,-8.016659021E-1,-2.117414027E-1,-3.930764496E-1
2.283308333E-2,-7.647691369E-1,-5.297280103E-2,-3.731277883E-1
3.285208333E-2,-6.942002177E-1,4.319761693E-2,-3.530689180E-1
4.287208333E-2,-5.755297542E-1,-1.281238906E-2,-3.425441086E-1
5.289108333E-2,-4.482950568E-1,-1.135593951E-1,-1.581143290E-1
6.291008333E-2,-2.443600297E-1,-2.658996880E-1,3.068593889E-2
7.292612499E-2,-1.489040703E-1,-3.372616768E-1,-1.127778515E-1
8.294512500E-2,-1.714956611E-1,-3.017596006E-1,-2.832361460E-1
9.296412500E-2,-2.583162487E-1,-3.092150986E-1,-4.141379893E-1
1.029831250E-1,-4.223368764E-1,-3.650136292E-1,-5.384961367E-1
1.130031250E-1,-5.892860889E-1,-4.242851138E-1,-6.346396804E-1
1.230221250E-1,-6.376181841E-1,-4.457515180E-1,-7.084859014E-1
1.330411250E-1,-6.162528396E-1,-3.732740283E-1,-7.895261645E-1
1.430611250E-1,-5.517108440E-1,-1.546963900E-1,-7.810951471E-1
1.530801250E-1,-3.866624832E-1,7.573324442E-2,-7.512897253E-1
1.630991250E-1,-2.134132087E-1,2.799486816E-1,-7.217781544E-1
1.731181250E-1,-8.301437646E-2,4.368852079E-1,-7.349388003E-1
1.831381250E-1,6.601786241E-3,5.214549303E-1,-7.975960374E-1
1.931571250E-1,6.475812942E-2,6.616269350E-1,-8.999766111E-1
2.031761250E-1,1.193353534E-1,9.741134644E-1,-1.036492109E0
2.131951250E-1,1.843601614E-1,1.440347433E0,-1.135458946E0
2.232151250E-1,2.716642022E-1,2.030456305E0,-1.187474132E0
2.332341250E-1,2.662587464E-1,2.438975334E0,-1.178860545E0
2.432531250E-1,1.168498099E-1,2.582297564E0,-1.170021534E0
2.532731250E-1,-1.083402187E-1,2.428617954E0,-1.168728352E0
2.632921250E-1,-3.026750684E-1,2.197661638E0,-1.209065080E0
2.733111250E-1,-4.332549870E-1,2.233721256E0,-1.292193055E0
2.833301250E-1,-4.248649776E-1,2.644574165E0,-1.374213338E0
2.933501250E-1,-3.410974741E-1,3.084962845E0,-1.549102902E0
3.033691250E-1,-3.474019766E-1,3.436536074E0,-1.810895443E0
3.133881250E-1,-4.336808324E-1,3.668065071E0,-2.082672119E0
3.234071250E-1,-5.444254279E-1,3.914545536E0,-2.347657442E0
3.334271250E-1,-8.066611290E-1,4.173604965E0,-2.663753271E0
3.434461250E-1,-1.223452210E0,4.119678020E0,-2.956287622E0
3.534651250E-1,-1.809948325E0,3.557010651E0,-3.154230833E0
3.634851250E-1,-2.547527552E0,2.508176327E0,-3.258385897E0
3.735041250E-1,-3.379258394E0,9.238305688E-1,-3.140331507E0
3.835231250E-1,-3.917475224E0,-1.095121741E0,-2.635074854E0
3.935421250E-1,-3.977927923E0,-2.030880928E0,-2.014924765E0
4.035621250E-1,-3.714394331E0,-2.179201365E0,-1.507986426E0
4.135811250E-1,-2.914960384E0,-1.840286374E0,-1.206733823E0
4.236001250E-1,-1.754832983E0,-1.082400799E0,-1.091400027E0
4.336191250E-1,-5.321124196E-1,1.144513935E-1,-1.084346890E0
4.436391250E-1,6.475385427E-1,1.567587137E0,-1.034459710E0
4.536581250E-1,1.702262044E0,2.900870562E0,-8.906917572E-1
4.636771250E-1,2.470446825E0,3.648082972E0,-7.586243153E-1
4.736971250E-1,2.856925488E0,3.885411739E0,-6.925423741E-1
4.837161250E-1,2.872833014E0,3.677215576E0,-7.006320357E-1
4.937351250E-1,2.603511333E0,3.221079826E0,-8.126726747E-1
5.037541250E-1,2.185677290E0,2.786417723E0,-9.681538343E-1
5.137741250E-1,1.849462032E0,2.147105932E0,-1.097764730E0
5.237931250E-1,1.557567596E0,1.423540592E0,-1.164310813E0
5.338121250E-1,1.288142800E0,9.060066938E-1,-1.115479112E0
5.438321250E-1,1.058564425E0,5.344659090E-1,-8.550752401E-1
5.538511250E-1,9.053388834E-1,2.089531273E-1,-4.621190131E-1
5.638701250E-1,1.579503417E0,1.149454832E0,-3.756544292E-1
5.738891250E-1,2.260078430E0,2.235700130E0,-1.540251672E-1
5.839091250E-1,2.365789175E0,2.553399801E0,8.161398023E-2
5.939281250E-1,2.682857752E0,2.690606594E0,5.780397058E-1
6.039471250E-1,3.042943478E0,2.926494837E0,1.059827328E0
6.139671250E-1,3.341409206E0,3.126413345E0,1.792410851E0
6.239861250E-1,3.199597836E0,2.953917027E0,2.509664536E0
6.340051250E-1,2.549403429E0,2.466927052E0,2.593827724E0
6.440241250E-1,1.662881017E0,2.482719421E0,2.627305984E0
6.540441250E-1,1.159025669E0,3.611044168E0,2.540188313E0
6.640631250E-1,1.353414536E0,6.014700413E0,2.053622007E0
6.740821250E-1,2.043906450E0,8.158587456E0,1.272458196E0
6.841021250E-1,2.643822193E0,8.221976280E0,8.563201427E-1
6.941211250E-1,2.806433201E0,6.660644531E0,1.166173220E0
7.041401250E-1,2.201133251E0,4.437832355E0,1.707872391E0
7.141591250E-1,-1.566491485E0,4.136686921E-1,1.464002132E0
7.241791250E-1,-3.525791645E0,-9.309448600E-1,1.521526456E0
7.341981250E-1,-3.137086153E0,3.572097421E-1,1.897905350E0
7.442171250E-1,-2.312283754E0,1.729343057E0,1.780688167E0
7.542371250E-1,-1.370221019E0,2.555008411E0,1.769086480E0
7.642561250E-1,-4.798943698E-1,3.175893307E0,1.660850525E0
7.742751250E-1,-1.838341728E-2,3.393978357E0,1.904444814E0
7.842941250E-1,1.076821014E-1,3.017387152E0,1.993488669E0
7.943141250E-1,-5.040676147E-2,2.291267395E0,1.884281993E0
8.043331250E-1,-4.943231121E-2,1.498585820E0,1.571457028E0
8.143521250E-1,-4.770094156E-2,1.129239559E0,1.052226663E0
8.243721250E-1,-7.739678770E-2,9.747515321E-1,4.254403114E-1
8.343911250E-1,-2.268904895E-1,8.487778306E-1,-5.011907592E-2
8.444101250E-1,-4.207925797E-1,6.239418387E-1,-4.351083040E-1
8.544301250E-1,-6.702494025E-1,5.073996633E-2,-9.394413233E-1
8.644491250E-1,-9.857324958E-1,-6.945725679E-1,-1.543650746E0
8.744681250E-1,-1.110562205E0,-1.166778445E0,-2.097368002E0
8.844871250E-1,-1.107811451E0,-1.275254607E0,-2.582404613E0
8.945071250E-1,-1.023544788E0,-1.013143420E0,-2.996303082E0
9.045261250E-1,-1.148038745E0,-1.048575997E0,-2.924842119E0
9.145451250E-1,-1.377113461E0,-1.528593898E0,-2.379891634E0
9.245651250E-1,-1.716151237E0,-1.750054836E0,-1.545097947E0
9.345841250E-1,-2.056149721E0,-2.037735224E0,-6.168779731E-1
9.446031250E-1,-2.139877081E0,-2.255430222E0,-2.346201241E-1
9.546231250E-1,-1.785822749E0,-1.295588732E0,-1.439572424E-1
9.646421250E-1,-9.388373494E-1,1.862998754E-1,-4.551944733E-1
9.746611250E-1,-1.899543703E-1,1.858431220E0,-1.007383823E0
9.846801250E-1,3.145109415E-1,2.478421450E0,-1.687969327E0
9.947001250E-1,-7.335435599E-2,7.553041577E-1,-2.117960453E0
1.004719125E0,-1.284113407E0,-1.621749043E0,-2.793743849E0
