"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.339874998E-3,-2.646047516E0,-2.510279846E-1,7.088209991E0
1.235887500E-2,-2.495161285E0,-4.056564331E-2,6.625222778E0
2.237787500E-2,-2.359842682E0,-1.683998108E-1,7.338489532E0
3.239787500E-2,-2.400707703E0,-7.975415039E-1,8.382867737E0
4.241687500E-2,-3.533851318E0,-9.833052063E-1,9.623637543E0
5.243687500E-2,-3.734733582E0,-1.478475494E0,1.084614532E1
6.245587500E-2,-4.009711761E0,-1.991608429E0,1.063119232E1
7.247487500E-2,-3.891906738E0,-2.078727264E0,1.016566040E1
8.249487500E-2,-3.442840576E0,-1.608255615E0,9.454339600E0
9.251387500E-2,-3.351979523E0,-8.728349304E-1,8.685238953E0
1.025338750E-1,-3.417842560E0,-5.571414185E-1,8.385412445E0
1.125528750E-1,-3.717220001E0,-3.203338623E-2,7.682773590E0
1.225718750E-1,-3.558549957E0,6.357279968E-1,6.349346466E0
1.325918750E-1,-3.449127502E0,6.330335999E-1,5.936654663E0
1.426108750E-1,-3.616030426E0,-1.378633118E-1,6.589147797E0
1.526308750E-1,-3.661236420E0,-7.867639160E-1,7.961493988E0
1.626498750E-1,-4.653522949E0,-1.776356049E0,8.569230194E0
1.726688750E-1,-5.294340363E0,-3.562890930E0,9.564211121E0
1.826888750E-1,-5.016967163E0,-4.127217407E0,1.062146255E1
1.927078750E-1,-5.097350006E0,-2.851719818E0,1.117995117E1
2.027278750E-1,-4.827311554E0,-2.057172089E0,1.090632019E1
2.127468750E-1,-4.681215363E0,-1.587149506E0,1.000190094E1
2.227658750E-1,-4.461771698E0,-1.252445526E0,8.893455963E0
2.327858750E-1,-4.076622620E0,-1.426234131E0,6.893764343E0
2.428048750E-1,-3.536695404E0,-2.181862793E0,5.383704529E0
2.528248750E-1,-3.029100952E0,-3.166814575E0,4.916975098E0
2.628438750E-1,-2.984942780E0,-3.788322144E0,5.669460297E0
2.728628750E-1,-3.557202759E0,-4.039948883E0,6.717131653E0
2.828828750E-1,-4.494104462E0,-4.156406708E0,7.733518066E0
2.929018750E-1,-4.916526031E0,-3.768563232E0,8.709189148E0
3.029218750E-1,-5.166506195E0,-3.640579376E0,9.607321472E0
3.129408750E-1,-5.126539307E0,-4.196972351E0,8.821156311E0
3.229598750E-1,-4.602030029E0,-4.516857147E0,6.994953918E0
3.329798750E-1,-3.960164795E0,-4.043092346E0,5.799839172E0
3.429988750E-1,-3.492836609E0,-3.951183472E0,4.750072174E0
3.530188750E-1,-3.207230530E0,-4.566853180E0,4.185446320E0
3.630378750E-1,-3.107537842E0,-5.205275574E0,4.336482239E0
3.730568750E-1,-4.035907288E0,-4.700974274E0,6.177653503E0
3.830768750E-1,-5.601950684E0,-3.764521637E0,9.068442078E0
3.930958750E-1,-6.378386078E0,-3.678151245E0,1.028256729E1
4.031158750E-1,-6.151757355E0,-4.090693359E0,9.494456177E0
4.131348750E-1,-5.383854218E0,-4.564907227E0,7.689958649E0
4.231538750E-1,-5.001249847E0,-4.510869598E0,6.430328064E0
4.331738750E-1,-5.647306366E0,-4.034410400E0,6.711443481E0
4.431928750E-1,-6.430926819E0,-4.224365387E0,6.599176941E0
4.532128750E-1,-7.094796295E0,-4.040397949E0,6.064788208E0
4.632318750E-1,-8.129893799E0,-3.203638000E0,6.418652344E0
4.732508750E-1,-1.005698639E1,-2.064057770E0,7.286996613E0
4.832708750E-1,-1.259076736E1,1.062789917E-2,8.904832306E0
4.932898750E-1,-1.401011581E1,1.540746002E0,1.022074585E1
5.033098750E-1,-1.445229630E1,1.743424530E0,9.974058838E0
5.133288750E-1,-1.435080734E1,1.470841370E0,8.833131409E0
5.233478750E-1,-1.385144577E1,9.283694458E-1,7.961493988E0
5.333678750E-1,-1.348126556E1,6.405180359E-1,6.846462708E0
5.433868750E-1,-1.379710876E1,9.398954773E-1,5.294490051E0
5.534068750E-1,-1.462698303E1,2.129621429E0,3.777245178E0
5.634258750E-1,-1.574860062E1,3.766168213E0,3.004102936E0
5.734458750E-1,-1.659030029E1,5.060526581E0,2.205962677E0
5.834648750E-1,-1.567974380E1,4.865781555E0,1.363065491E0
5.934838750E-1,-1.403975418E1,2.959645386E0,1.326541443E0
6.035038750E-1,-1.242610977E1,5.873785400E-1,1.726958771E0
6.135228750E-1,-1.100167191E1,-1.232686615E0,2.355052643E0
6.235428750E-1,-9.641899567E0,-2.739153900E0,2.012564850E0
6.335618750E-1,-8.288863220E0,-3.808380432E0,5.333409119E-1
6.435808750E-1,-7.066954193E0,-4.020639038E0,-8.448431396E-1
6.536008750E-1,-6.915319519E0,-3.386557617E0,-1.847308502E0
6.636198750E-1,-7.406298523E0,-2.279759216E0,-1.564396820E0
6.736398750E-1,-6.461613007E0,-3.940405884E0,-3.853885803E0
6.836588750E-1,-5.086871796E0,-7.372019806E0,-7.948321381E0
6.936778750E-1,-7.927814026E0,-1.337618408E0,-5.343288574E0
7.036978750E-1,-1.078656921E1,2.494113464E0,-5.206173706E0
7.137168750E-1,-1.056727524E1,2.971470795E0,-3.605851593E0
7.237368750E-1,-8.856782227E0,1.709295502E0,-2.038460999E0
7.337558750E-1,-6.994055786E0,2.020797729E-1,-4.502636719E-1
7.437748750E-1,-5.378166046E0,-1.760638733E0,8.906478882E-1
7.537948750E-1,-4.341122589E0,-2.390528870E0,6.768923950E-1
7.638138750E-1,-3.266058197E0,-1.933529205E0,-2.856060791E-1
7.738338750E-1,-2.738704834E0,-1.735191650E0,-8.039781189E-1
7.838528750E-1,-3.481160889E0,-1.677561493E0,-1.380878448E0
7.938728750E-1,-4.882397003E0,-2.488275604E0,-1.773362274E0
8.038918750E-1,-5.643713837E0,-3.211571503E0,-1.791175232E0
8.139108750E-1,-5.229525146E0,-5.017116852E0,-1.764530640E0
8.239308750E-1,-4.923411713E0,-7.786507874E0,-2.191891937E0
8.339498750E-1,-4.616849213E0,-8.683143311E0,-2.756368103E0
8.439698750E-1,-4.521497498E0,-8.232131195E0,-4.026177521E0
8.539888750E-1,-5.216951294E0,-8.066874847E0,-3.700754242E0
8.640078750E-1,-6.170917511E0,-6.439159698E0,-1.839375000E0
8.740278750E-1,-9.292675781E0,-4.522395630E0,-1.607058105E0
8.840468750E-1,-8.524772644E0,-6.832691345E0,-3.535647583E0
8.940668750E-1,-7.698790283E0,-6.760541382E0,-3.401526489E0
9.040858750E-1,-8.158184967E0,-5.882916412E0,-2.478845215E0
9.141058750E-1,-9.700876923E0,-5.432203674E0,-1.850601654E0
9.241248750E-1,-1.187211182E1,-4.592899017E0,-6.575825500E-1
9.341438750E-1,-1.476215195E1,-3.485052795E0,4.590953064E-1
9.441638750E-1,-1.746059052E1,-2.799478455E0,5.649252319E-1
9.541828750E-1,-1.721330475E1,-3.279380493E0,-1.280437317E0
9.642028750E-1,-1.598570755E1,-5.830076294E0,-4.319118347E0
9.742218750E-1,-1.198093552E1,-8.528814240E0,-5.041216736E0
9.842418750E-1,-8.689879303E0,-9.012757874E0,-4.348457336E0
9.942608750E-1,-9.417516174E0,-8.022566986E0,-2.320923615E0
1.004279875E0,-1.149684219E1,-7.840545502E0,1.230141907E0
1.014299875E0,-1.249242188E1,-8.862769775E0,1.025846741E1
1.024318875E0,-9.297166443E0,-9.386979675E0,4.433779907E0
1.034338417E0,-6.613097992E0,-9.940827942E0,-5.171595612E0
1.044357417E0,-6.097420349E0,-7.146139526E0,-7.617658997E0
1.054377417E0,-4.886288910E0,-3.467688904E0,-6.816375275E0
1.064396417E0,-3.651207275E0,-1.902543640E0,-6.500981140E0
1.074415417E0,-5.519621887E0,-1.412762146E0,-7.911947021E0
1.084435417E0,-6.220913544E0,-3.200644226E0,-7.161258087E0
1.094454417E0,-6.022126923E0,-4.779411163E0,-6.347849579E0
1.104474417E0,-6.494694214E0,-3.656296692E0,-7.660320282E0
1.114493417E0,-6.894961853E0,-1.916614380E0,-8.286617889E0
1.124513417E0,-7.484735413E0,-3.662882996E-1,-6.059698792E0
1.134532417E0,-8.203690338E0,2.941383362E-1,-3.609893188E0
1.144551417E0,-8.925639038E0,-3.468287659E-1,9.482780457E-1
1.154571417E0,-9.093290405E0,-1.682650909E0,8.575517120E0
1.164590417E0,-1.060784088E1,-1.748064880E0,9.898915100E0
1.174610417E0,-1.811622711E1,-6.147416382E0,3.445085907E0
1.184629417E0,-2.839789627E1,-1.625918884E1,8.422984314E-1
1.194649417E0,-2.126507904E1,-1.306587936E1,-1.240679993E1
1.204668417E0,-1.648566788E1,-9.519903259E0,-1.828986603E1
1.214688417E0,-1.239856705E1,-8.781039734E0,-1.860526016E1
1.224707417E0,-5.897585907E0,-7.917335815E0,-1.303444473E1
1.234726417E0,-2.076182556E0,-6.652466125E0,-7.813751221E0
1.244746417E0,-1.627565460E0,-5.118007050E0,-3.544628906E0
1.254765417E0,-2.138153687E0,-5.255720673E0,-5.776487732E-1
1.264785417E0,-1.781445465E0,-6.187682648E0,2.950364685E-1
1.274804417E0,-7.882608032E-1,-5.515131226E0,8.514294434E-1
1.284824417E0,-1.559756470E-1,-3.992198181E0,1.206940155E0
1.294843417E0,1.219963074E-1,-3.470982056E0,1.152004395E0
1.304863417E0,2.095642090E-2,-3.911366272E0,8.973838806E-1
