"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.600875000E-3,-4.731302857E-1,6.682969332E-1,1.267802715E-1
1.862087500E-2,-3.080441356E-1,9.843249917E-1,2.245085239E-1
2.863987500E-2,-1.700777411E-1,1.126857877E0,2.824429274E-1
3.865887500E-2,-4.294372350E-2,9.988438487E-1,4.803999066E-1
4.867887500E-2,5.446911603E-2,6.518374085E-1,4.588251114E-1
5.869787500E-2,-1.717749983E-2,3.498782516E-1,3.565575480E-1
6.871787500E-2,-1.628596038E-1,4.946464300E-2,1.553322673E-1
7.873687500E-2,-3.156593144E-1,-8.899964392E-2,-2.648385707E-3
8.875687500E-2,-4.498860836E-1,-1.360803396E-1,-8.350394201E-4
9.877587501E-2,-5.528607965E-1,-1.727389693E-1,8.620090038E-2
1.087948750E-1,-6.547482610E-1,-8.322587237E-3,2.506894469E-1
1.188148750E-1,-7.357842326E-1,5.026785135E-1,4.531086385E-1
1.288338750E-1,-7.529765368E-1,1.101471543E0,6.214356422E-1
1.388528750E-1,-6.414896846E-1,1.507200003E0,6.625165343E-1
1.488728750E-1,-1.569837034E-1,1.497859240E0,5.303105712E-1
1.588918750E-1,2.778641582E-1,1.773532867E0,5.874372125E-1
1.689118750E-1,3.432359695E-1,1.996842384E0,5.813544989E-1
1.789308750E-1,1.536222398E-1,1.801602125E0,2.382041812E-1
1.889498750E-1,-5.802717060E-2,1.098224282E0,-1.647608429E-1
1.989698750E-1,-3.621722758E-1,2.942613065E-1,-3.578527570E-1
2.089888750E-1,-7.128911614E-1,-3.072924614E-1,-2.520879507E-1
2.190088750E-1,-9.526135325E-1,-6.045693159E-1,-7.033192366E-2
2.290278750E-1,-9.946731329E-1,-3.455574512E-1,-5.110314582E-3
2.390468750E-1,-9.050385356E-1,3.165744841E-1,-9.579683095E-2
2.490668750E-1,-7.452312708E-1,1.083369493E0,-2.673347592E-1
2.590858750E-1,-4.663113952E-1,1.671575069E0,-4.731112421E-1
2.691058750E-1,-8.985947073E-2,2.108936071E0,-6.198574901E-1
2.791248750E-1,2.106775343E-1,2.328686714E0,-5.757735372E-1
2.891438750E-1,3.203901947E-1,2.188121080E0,-5.047577024E-1
2.991638750E-1,4.497943446E-2,1.667191982E0,-6.617436409E-1
3.091828750E-1,-2.915490568E-1,1.212385297E0,-1.020823240E0
3.192028750E-1,-6.193264723E-1,9.748799801E-1,-1.371318102E0
3.292218750E-1,-8.914003372E-1,1.056850433E0,-1.588605404E0
3.392408750E-1,-1.014726043E0,1.489730120E0,-1.817086577E0
3.492608750E-1,-9.787264466E-1,2.234609604E0,-2.108299971E0
3.592798750E-1,-7.649653554E-1,3.160774469E0,-2.375395060E0
3.692998750E-1,-3.926336169E-1,3.823962927E0,-2.384695292E0
3.793188750E-1,4.567144811E-2,3.834286690E0,-2.165062189E0
3.893388750E-1,5.011929274E-1,3.476891279E0,-1.932619810E0
3.993578750E-1,8.791130185E-1,3.268998384E0,-1.809247851E0
4.093768750E-1,1.077099919E0,3.463043690E0,-1.840425849E0
4.193968750E-1,1.105530024E0,3.819059134E0,-2.018565893E0
4.294158750E-1,1.012839198E0,3.957332134E0,-2.234817982E0
4.394348750E-1,9.115630984E-1,4.182178020E0,-2.453213453E0
4.494548750E-1,9.865065813E-1,4.675245285E0,-2.619217873E0
4.594738750E-1,1.351202965E0,5.292678833E0,-2.639059782E0
4.694938750E-1,1.979991555E0,6.018662930E0,-2.437644243E0
4.795128750E-1,2.697092772E0,6.391446590E0,-1.977522850E0
4.895328750E-1,3.235829353E0,6.251182079E0,-1.469643116E0
