"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.600875000E-3,4.762527913E-2,4.687083482E-1,-2.317225251E0
1.862087500E-2,2.785078517E-1,7.112663486E-1,-2.754415133E0
2.863987500E-2,5.157372844E-1,5.985519844E-1,-2.009179897E0
3.865887500E-2,5.799660248E-1,-3.170703851E-2,-9.319151974E-1
4.867887500E-2,-4.722956881E-1,-2.333696126E-1,3.338268971E-1
5.869787500E-2,-6.238046470E-1,-7.438582901E-1,1.571526330E0
6.871787500E-2,-8.787575752E-1,-1.256847310E0,1.363325692E0
7.873687500E-2,-7.634604228E-1,-1.323801145E0,8.985673571E-1
8.875687500E-2,-3.248280323E-1,-8.172719099E-1,1.867378485E-1
9.877587501E-2,-2.482075801E-1,-3.630046494E-2,-5.831434017E-1
1.087948750E-1,-3.230031163E-1,3.303053384E-1,-8.812221766E-1
1.188148750E-1,-5.979184386E-1,9.093230910E-1,-1.570329405E0
1.288338750E-1,-3.591555735E-1,1.629147424E0,-2.870908626E0
1.388528750E-1,-1.214127553E-1,1.670482707E0,-3.233193921E0
1.488728750E-1,-1.432047433E-1,9.178011882E-1,-2.524641777E0
1.588918750E-1,-3.563731760E-2,2.423887235E-1,-1.095656531E0
1.689118750E-1,-8.497545084E-1,-8.000640658E-1,-4.204475498E-1
1.789308750E-1,-1.312719795E0,-2.626023141E0,6.476493001E-1
1.889498750E-1,-9.043321270E-1,-3.196071703E0,1.763962875E0
1.989698750E-1,-9.266240519E-1,-1.891140693E0,2.352809066E0
2.089888750E-1,-6.614598387E-1,-1.035577122E0,2.083728388E0
2.190088750E-1,-5.599170917E-1,-4.843862683E-1,1.168163175E0
2.290278750E-1,-3.857490027E-1,-6.141104020E-2,5.017729640E-2
2.390468750E-1,-4.096266925E-3,-1.488870674E-1,-1.939072950E0
2.490668750E-1,5.956967890E-1,-8.239427058E-1,-3.409217917E0
2.590858750E-1,1.220106915E0,-1.739222721E0,-3.808981526E0
2.691058750E-1,1.421201140E0,-2.312356420E0,-2.970188500E0
2.791248750E-1,1.032691667E0,-2.542595361E0,-1.822593491E0
2.891438750E-1,2.819936693E-1,-2.658086056E0,-7.033071917E-1
2.991638750E-1,1.427656174E-2,-2.259833806E0,3.637096775E-1
3.091828750E-1,-1.298947263E-1,-2.079538419E0,1.334969620E0
3.192028750E-1,-2.025417030E-2,-2.537120320E0,6.109895968E-1
3.292218750E-1,5.598410779E-1,-2.718215021E0,-1.150970022E0
3.392408750E-1,1.271524991E0,-2.077809544E0,-2.262616349E0
3.492608750E-1,1.846416802E0,-1.801240190E0,-3.193870811E0
3.592798750E-1,2.293658048E0,-2.225032640E0,-3.592227581E0
3.692998750E-1,2.606189970E0,-2.683573484E0,-3.228597425E0
3.793188750E-1,1.906965305E0,-2.032602088E0,-1.157069837E0
3.893388750E-1,5.504937190E-1,-9.919126001E-1,1.948317983E0
3.993578750E-1,-4.278349221E-2,-8.378867072E-1,3.352261943E0
4.093768750E-1,3.606422281E-1,-1.201285313E0,2.750860611E0
4.193968750E-1,1.315004886E0,-1.621289644E0,1.155702174E0
4.294158750E-1,1.884747639E0,-1.490928602E0,1.296052891E-1
4.394348750E-1,1.416953430E0,-9.096802828E-1,6.642624092E-1
4.494548750E-1,8.133710861E-1,-9.723369992E-1,8.389187407E-1
4.594738750E-1,3.405354077E-1,-6.584444296E-1,6.320799190E-1
4.694938750E-1,-4.851329577E-1,2.846450892E-1,1.356476848E0
4.795128750E-1,-2.186507236E0,1.482933996E0,2.627542540E0
4.895328750E-1,-4.498122084E0,3.561849833E0,4.646426476E0
4.995518750E-1,-5.713713779E0,5.059488115E0,6.344631271E0
5.095708750E-1,-5.976305217E0,5.219141661E0,6.465060525E0
5.195908750E-1,-5.724830505E0,4.913879582E0,5.674949078E0
5.296098750E-1,-5.105788708E0,4.354915586E0,5.131587793E0
5.396298750E-1,-4.639647506E0,4.062442245E0,4.326079457E0
5.496488750E-1,-4.872909311E0,4.355698821E0,3.074794019E0
5.596678750E-1,-5.625010348E0,5.517428597E0,1.847643548E0
5.696878750E-1,-6.667619185E0,7.085249546E0,1.344108671E0
5.797068750E-1,-7.426236359E0,8.266988786E0,8.007427083E-1
5.897268750E-1,-6.434205937E0,7.933308070E0,2.027146344E-1
5.997458750E-1,-4.720193487E0,5.879778796E0,4.020283820E-1
6.097648750E-1,-3.042396936E0,3.360399806E0,1.025254959E0
6.197848750E-1,-1.564989143E0,1.402871288E0,1.866223660E0
6.298038750E-1,-1.654832196E-1,-2.152585199E-1,1.760387887E0
6.398238750E-1,1.210611037E0,-1.360041896E0,5.749707484E-1
6.498428750E-1,2.433163843E0,-1.609074810E0,-4.347124537E-1
6.598618750E-1,2.557506638E0,-9.759723593E-1,-1.016192286E0
6.698818750E-1,2.008332050E0,1.665914132E-1,-2.930962162E-1
6.799008750E-1,2.874686512E0,-1.424802148E0,-2.198178864E0
6.899208750E-1,4.178003399E0,-4.810995191E0,-5.988897196E0
6.999398750E-1,1.279249163E0,1.194067802E0,-3.094586259E0
7.099588750E-1,-1.610496853E0,4.897871659E0,-2.704623460E0
7.199788750E-1,-1.394397211E0,5.184161278E0,-9.228642923E-1
7.299978750E-1,3.279445982E-1,3.730910087E0,7.525919107E-1
7.400178750E-1,2.206443318E0,2.083884801E0,2.386236721E0
7.500368750E-1,3.829991741E0,4.895581305E-2,3.749197547E0
7.600568750E-1,4.857617673E0,-6.018995154E-1,3.578632804E0
7.700758750E-1,5.906822754E0,-1.356602271E-1,2.691308766E0
7.800948750E-1,6.399350100E0,9.829549581E-2,2.257128445E0
7.901148750E-1,5.620417945E0,2.242920296E-1,1.746471222E0
8.001338750E-1,4.188591537E0,-4.830412625E-1,1.378195746E0
8.101538750E-1,3.408161325E0,-1.058989812E0,1.317852773E0
8.201728750E-1,3.809161620E0,-2.666022774E0,1.237236333E0
8.301928750E-1,4.102818146E0,-5.203520240E0,6.526556861E-1
8.402118750E-1,4.383763409E0,-5.850911093E0,-7.242741376E-2
8.502308750E-1,4.423167796E0,-5.138745369E0,-1.445472932E0
8.602508750E-1,3.640843086E0,-4.703918347E0,-1.157900434E0
8.702698750E-1,2.585652210E0,-2.836394266E0,7.255181327E-1
8.802898750E-1,-6.470914757E-1,-7.198056954E-1,1.044408610E0
8.903088750E-1,1.467651129E-4,-2.849761001E0,-7.610978553E-1
9.003278750E-1,7.078966713E-1,-2.607529567E0,-5.177417099E-1
9.103478750E-1,1.390473729E-1,-1.556713871E0,4.666604340E-1
9.203668750E-1,-1.498632016E0,-9.230686525E-1,1.086572005E0
9.303868750E-1,-3.741452032E0,9.827736944E-2,2.192214704E0
9.404058750E-1,-6.676512800E0,1.366428517E0,3.164953114E0
9.504258750E-1,-9.409825332E0,2.196186132E0,3.107484924E0
9.604448750E-1,-9.204041348E0,1.850451381E0,1.122191781E0
9.704638750E-1,-8.003995060E0,-6.123607689E-1,-2.016117618E0
9.804838750E-1,-3.986589532E0,-3.319866614E0,-2.762315014E0
9.905028750E-1,-6.709831989E-1,-3.884262673E0,-1.975283003E0
1.000522875E0,-1.407362242E0,-2.969727155E0,2.368750915E-1
1.010541875E0,-3.500709885E0,-2.816328961E0,3.886306860E0
