"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.840583333E-3,-2.728376312E0,-1.945653992E0,8.708889771E0
1.385958333E-2,-3.097658386E0,-3.090623016E0,9.544601898E0
2.387958333E-2,-3.001109161E0,-3.283871155E0,1.024065445E1
3.389858333E-2,-2.897374878E0,-3.271596680E0,1.063313828E1
4.391758333E-2,-3.028053131E0,-3.161425781E0,1.020892044E1
5.393658333E-2,-2.816243591E0,-2.743045807E0,9.661957855E0
6.395558333E-2,-2.670895844E0,-2.169139252E0,9.157506866E0
7.397458333E-2,-2.481539612E0,-1.834285583E0,8.702752533E0
8.399358333E-2,-2.387834473E0,-1.763482819E0,8.554111633E0
9.401358333E-2,-2.491868134E0,-1.850302277E0,8.710536346E0
1.040325833E-1,-2.629731445E0,-2.164199524E0,8.941206665E0
1.140515833E-1,-2.552791443E0,-2.451452179E0,9.076824646E0
1.240705833E-1,-2.335593109E0,-2.674188995E0,9.124725037E0
1.340895833E-1,-2.208806763E0,-2.916385345E0,9.210197296E0
1.441085833E-1,-2.204166412E0,-3.196602631E0,9.464967499E0
1.541285833E-1,-2.343825989E0,-3.325484619E0,9.633516998E0
1.641475833E-1,-2.575394440E0,-2.879861298E0,9.632319489E0
1.741665833E-1,-2.632725220E0,-2.285447388E0,9.389374695E0
1.841855833E-1,-2.592309265E0,-1.839973755E0,9.171427917E0
1.942045833E-1,-2.565814362E0,-1.666035461E0,9.056466980E0
2.042235833E-1,-2.553539886E0,-1.805695038E0,9.016350403E0
2.142425833E-1,-2.662363586E0,-1.961071930E0,8.943002930E0
2.242625833E-1,-2.650388489E0,-2.147284698E0,8.874744873E0
2.342815833E-1,-2.617756348E0,-2.340981903E0,8.863967285E0
2.443005833E-1,-2.670297089E0,-2.647095337E0,8.803792419E0
2.543195833E-1,-2.792592773E0,-3.047512665E0,8.711284790E0
2.643385833E-1,-2.873274994E0,-3.380121002E0,8.412655792E0
2.743575833E-1,-2.803070984E0,-3.575614471E0,7.573201447E0
2.843775833E-1,-2.750380554E0,-3.611090698E0,6.315367126E0
2.943965833E-1,-2.565365295E0,-3.476819916E0,4.767585754E0
3.044155833E-1,-2.376308441E0,-3.442241821E0,3.303480377E0
3.144345833E-1,-2.495760040E0,-3.844754791E0,2.672692108E0
3.244535833E-1,-3.374432831E0,-4.345014496E0,3.644022217E0
3.344725833E-1,-4.577032013E0,-5.050347748E0,5.234315186E0
3.444915833E-1,-5.169200592E0,-5.552254028E0,6.601721649E0
3.545115833E-1,-5.821693726E0,-5.107528839E0,7.694000244E0
3.645305833E-1,-6.743925934E0,-5.073100433E0,8.816366272E0
3.745495833E-1,-7.404651947E0,-6.419251099E0,9.679471436E0
3.845685833E-1,-7.389683075E0,-6.329437866E0,1.056398209E1
3.945875833E-1,-6.989714813E0,-5.669909363E0,1.027119095E1
4.046065833E-1,-6.483168182E0,-5.269192657E0,8.793014832E0
4.146265833E-1,-5.850433960E0,-4.987927551E0,6.931036835E0
4.246455833E-1,-5.181175690E0,-5.075345764E0,5.540129242E0
4.346645833E-1,-4.772076416E0,-5.635930023E0,4.826413422E0
4.446835833E-1,-4.506678314E0,-5.265450439E0,4.409979401E0
4.547025833E-1,-4.486320648E0,-4.458029480E0,4.088597717E0
4.647215833E-1,-5.539979553E0,-3.445834351E0,4.628225555E0
4.747405833E-1,-7.170987854E0,-2.322869568E0,5.839806061E0
4.847605833E-1,-7.798932037E0,-2.014959869E0,5.944737854E0
4.947795833E-1,-7.983647919E0,-2.238894196E0,5.091811523E0
5.047985833E-1,-8.322094116E0,-2.606978760E0,4.608316956E0
5.148175833E-1,-8.940009155E0,-2.321073303E0,4.675377502E0
5.248365833E-1,-1.025188110E1,-1.453776855E0,5.408852234E0
5.348555833E-1,-1.193992081E1,-1.056802368E-1,5.922434235E0
5.448755833E-1,-1.346809296E1,1.935325470E0,6.707701263E0
5.548945833E-1,-1.372376129E1,2.950963440E0,7.238796844E0
5.649135833E-1,-1.307007065E1,2.744093628E0,7.061864777E0
5.749325833E-1,-1.231174759E1,1.602567444E0,5.968987427E0
5.849515833E-1,-1.234168533E1,2.113604736E-1,4.626578979E0
5.949705833E-1,-1.301348831E1,-3.748205566E-1,4.188889160E0
6.049905833E-1,-1.395667694E1,1.248403931E-1,3.825295258E0
6.150095833E-1,-1.419962173E1,1.152154083E0,3.644321594E0
6.250285833E-1,-1.354638016E1,1.174308014E0,2.876717834E0
6.350475833E-1,-1.240171051E1,6.026467896E-1,1.644031219E0
6.450665833E-1,-1.131931137E1,1.803749084E-1,-1.264570312E0
6.550855833E-1,-1.063583267E1,-1.142124939E-1,-3.647465057E0
6.651045833E-1,-1.062550415E1,-2.993774414E-1,-3.697012024E0
6.751245833E-1,-1.174547516E1,5.246589661E-1,-1.963466949E0
6.851435833E-1,-1.340118210E1,1.332678680E0,-3.915856934E-1
6.951625833E-1,-1.470452179E1,1.471290436E0,9.868977356E-1
7.051815833E-1,-1.458282486E1,1.203347626E0,1.253493347E0
7.152005833E-1,-1.352871689E1,3.520678711E-1,1.938468933E-1
7.252195833E-1,-1.212209198E1,-8.132588196E-1,-8.077203369E-1
7.352395833E-1,-1.062161224E1,-2.248923340E0,-1.243763580E0
7.452585833E-1,-9.734706573E0,-3.018622742E0,-1.954485626E0
7.552775833E-1,-7.987988892E0,-3.329526215E0,-2.901117096E0
7.652965833E-1,-6.477629700E0,-3.449127502E0,-2.964585114E0
7.753155833E-1,-6.372099152E0,-3.022065582E0,-1.876497803E0
7.853345833E-1,-6.699169006E0,-2.599494324E0,-6.122268677E-1
7.953545833E-1,-7.012467499E0,-2.507585449E0,6.331832886E-2
8.053735833E-1,-6.519991608E0,-2.878663788E0,6.532415771E-1
8.153925833E-1,-5.497917023E0,-3.646866302E0,1.248852997E0
8.254115833E-1,-3.828887787E0,-5.863307190E0,9.086105347E-1
8.354305833E-1,-2.535726929E0,-8.077502747E0,1.525328064E-1
8.454495833E-1,-2.310894470E0,-8.101902008E0,2.731819153E-1
8.554695833E-1,-3.165916443E0,-6.917265472E0,1.066681824E0
8.654885833E-1,-5.146597595E0,-5.738466797E0,9.883946228E-1
8.755075833E-1,-8.645870819E0,-4.329746246E0,-7.943980408E-1
8.855265833E-1,-1.282757492E1,-3.091521149E0,-3.690725098E0
8.955455833E-1,-1.579126190E1,-6.810836792E-1,-5.894442444E0
9.055645833E-1,-1.598944977E1,1.239422607E0,-5.369184723E0
9.155845833E-1,-1.427252014E1,1.163829803E0,-2.672841797E0
9.256035833E-1,-1.129386429E1,-2.418520660E0,-2.621049500E-1
9.356225833E-1,-8.454868011E0,-6.385271759E0,8.406518555E-1
9.456446250E-1,-6.718628540E0,-8.006400604E0,1.833237762E0
9.556636250E-1,-5.830375671E0,-7.411088562E0,1.177002411E0
9.656836250E-1,-5.366640015E0,-6.190377045E0,-2.206411743E-1
9.757026250E-1,-5.287903748E0,-5.670208740E0,-9.395960999E-1
9.857216250E-1,-5.458399200E0,-6.132896576E0,-8.828640747E-1
9.957406250E-1,-5.877976685E0,-5.497168579E0,-9.669891357E-2
