"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.012158333E-2,-8.423892094E-1,-1.156991339E0,5.856126809E-1
3.014058333E-2,-4.440951517E-1,-1.163722946E0,1.264413607E0
4.015958333E-2,-6.485627814E-1,-1.152638671E0,1.200698252E0
5.017858333E-2,-5.636106317E-1,-9.273713261E-1,6.289440572E-1
6.019858333E-2,-4.000229332E-1,-3.806771278E-1,1.078846371E-1
7.021758333E-2,-2.577271396E-1,1.121510580E-1,-3.897297871E-1
8.023658333E-2,-8.941225961E-2,3.048425415E-1,-7.225685048E-1
9.025558333E-2,-9.671747848E-2,3.292203145E-1,-6.872326112E-1
1.002745833E-1,-2.428553313E-1,1.453442395E-1,-4.582690948E-1
1.102935833E-1,-2.794591936E-1,-1.580924852E-1,-2.488803023E-1
1.203135833E-1,-8.253052533E-2,-3.714041747E-1,-1.620854026E-1
1.303325833E-1,1.253052467E-1,-5.664395146E-1,-1.011772960E-1
1.403515833E-1,2.118488623E-1,-8.177678999E-1,7.708618283E-2
1.503705833E-1,1.823496594E-1,-1.067180299E0,3.438004929E-1
1.603895833E-1,-6.378727555E-3,-9.365387370E-1,4.217736983E-1
1.704085833E-1,-1.409614590E-1,-3.419046794E-1,3.119173801E-1
1.804275833E-1,-9.441557586E-2,1.549487297E-1,3.555341005E-2
1.904475833E-1,-3.826154798E-2,4.911590981E-1,-1.072379351E-1
2.004665833E-1,2.679340392E-2,4.819209360E-1,-1.788932240E-1
2.104855833E-1,-7.773580849E-3,3.301948991E-1,-2.077574193E-1
2.205045833E-1,-5.391922206E-2,1.974027313E-1,-2.793413723E-1
2.305235833E-1,3.831621945E-2,3.246125624E-2,-3.019829607E-1
2.405425833E-1,6.709884614E-2,-1.732079762E-1,-2.985412896E-1
2.505625833E-1,3.597411722E-2,-5.346841635E-1,-3.669279850E-1
2.605815833E-1,-2.548041165E-2,-9.066400230E-1,-4.834904748E-1
2.706005833E-1,7.247799218E-2,-1.174969188E0,-1.023451020E0
2.806195833E-1,2.564705729E-1,-1.290055694E0,-2.021321640E0
2.906385833E-1,5.233518210E-1,-1.231363682E0,-3.441689259E0
3.006575833E-1,9.935775948E-1,-1.088963516E0,-4.877697596E0
3.106765833E-1,1.374099771E0,-1.276070032E0,-5.953315135E0
3.206965833E-1,1.285929899E0,-1.771036837E0,-5.620292814E0
3.307155833E-1,4.535246640E-1,-2.329855675E0,-3.975305575E0
3.407345833E-1,-8.620257676E-2,-3.039709556E0,-2.206635107E0
3.507535833E-1,-2.805821514E-1,-3.085032493E0,-8.956004798E-1
3.607725833E-1,-7.822147822E-1,-2.369462667E0,5.644428366E-1
3.707915833E-1,-1.466855323E0,-3.379755844E0,1.610337224E0
3.808105833E-1,-1.595387063E0,-4.053913496E0,2.736682867E0
3.908305833E-1,-1.236896610E0,-3.412916573E0,3.260372365E0
4.008495833E-1,-7.222363830E-1,-2.760731588E0,2.372839873E0
4.108685833E-1,-1.122484142E-1,-2.340780466E0,6.583087742E-1
4.208875833E-1,6.437100309E-1,-2.042061129E0,-9.282267737E-1
4.309065833E-1,1.300359950E0,-2.370871992E0,-1.839584330E0
4.409255833E-1,1.780867760E0,-2.481637553E0,-2.116054720E0
4.509455833E-1,2.182598373E0,-1.654329628E0,-2.308125229E0
4.609645833E-1,2.010218947E0,-7.782418916E-1,-2.031187647E0
4.709835833E-1,7.008537000E-1,4.271367645E-1,-6.581152314E-1
4.810025833E-1,-2.615979964E-1,1.174794502E0,4.706400490E-1
4.910215833E-1,-2.541357797E-1,1.125513876E0,2.494439739E-1
5.010405833E-1,-2.927455294E-1,7.725136667E-1,-1.380153394E-1
5.110605833E-1,-4.431850326E-1,6.315136161E-1,4.857282043E-2
5.210795833E-1,-1.234843068E0,1.352152832E0,9.261767399E-1
5.310985833E-1,-2.568939114E0,2.377742471E0,2.020928122E0
5.411175833E-1,-4.199322347E0,4.270586750E0,2.972589659E0
5.511365833E-1,-5.040540798E0,6.006289154E0,4.115866792E0
5.611555833E-1,-4.657523614E0,6.393770102E0,4.567527072E0
5.711745833E-1,-3.779456595E0,5.752351595E0,4.276288077E0
5.811945833E-1,-3.301422742E0,4.374540596E0,3.085728897E0
5.912135833E-1,-3.674899608E0,3.329532647E0,2.495474404E0
6.012325833E-1,-4.470235543E0,3.275829187E0,2.405327003E0
6.112515833E-1,-5.170216838E0,4.260500010E0,2.527171283E0
6.212705833E-1,-4.858715780E0,4.791444733E0,2.201152173E0
6.312895833E-1,-3.873575717E0,4.405699239E0,1.592870421E0
6.413095833E-1,-2.661755476E0,3.770323829E0,-4.051968420E-1
6.513285833E-1,-1.731377512E0,3.471549236E0,-3.147583083E0
6.613475833E-1,-1.307212302E0,3.090558112E0,-4.223708160E0
6.713665833E-1,-1.824753453E0,3.339018877E0,-2.761562769E0
6.813855833E-1,-3.343069535E0,4.327825144E0,-6.263876545E-1
6.914045833E-1,-4.912494376E0,4.619313522E0,1.167453908E0
7.014235833E-1,-5.594784921E0,4.478413458E0,2.402322557E0
