"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.012158333E-2,1.993175888E1,2.012049866E1,-2.576525879E1
3.014058333E-2,1.994102097E1,2.006662750E1,-2.578829956E1
4.015958333E-2,1.994987488E1,2.003266907E1,-2.579577637E1
5.017858333E-2,1.985255623E1,1.990252686E1,-2.581481934E1
6.019858333E-2,1.993894196E1,1.976910400E1,-2.568789673E1
7.021758333E-2,2.004931641E1,1.961847687E1,-2.571749878E1
8.023658333E-2,1.999752808E1,1.972392273E1,-2.565072632E1
9.025558333E-2,2.012970734E1,1.965522766E1,-2.561804199E1
1.002745833E-1,2.008925629E1,1.970777893E1,-2.584823608E1
1.102935833E-1,2.020918274E1,1.974510193E1,-2.560256958E1
1.203135833E-1,2.017995834E1,1.980548859E1,-2.574380493E1
1.303325833E-1,2.014937210E1,1.983423615E1,-2.592526245E1
1.403515833E-1,2.040916824E1,1.967846680E1,-2.558584595E1
1.503705833E-1,2.035300064E1,1.986470795E1,-2.570080566E1
1.603895833E-1,2.062383270E1,1.980129242E1,-2.539944458E1
1.704085833E-1,2.072715378E1,1.971762848E1,-2.548162842E1
1.804275833E-1,2.083303833E1,1.978672028E1,-2.538830566E1
1.904475833E-1,2.096269608E1,1.958674622E1,-2.530679321E1
2.004665833E-1,2.097971916E1,1.970632935E1,-2.500149536E1
2.104855833E-1,2.116957855E1,1.964330292E1,-2.530685425E1
2.205045833E-1,2.109096527E1,1.980756378E1,-2.508511353E1
2.305235833E-1,2.130130768E1,1.975972748E1,-2.498980713E1
2.405425833E-1,2.144058800E1,1.978119659E1,-2.461398315E1
2.505625833E-1,2.162655640E1,1.974777985E1,-2.458270264E1
2.605815833E-1,2.168560982E1,1.968508148E1,-2.434500122E1
2.706005833E-1,2.178761673E1,1.983414459E1,-2.415518188E1
2.806195833E-1,2.200139999E1,1.999990082E1,-2.384732056E1
2.906385833E-1,2.228918839E1,2.004384613E1,-2.366925049E1
3.006575833E-1,2.271283340E1,2.000325775E1,-2.308721924E1
3.106765833E-1,2.333714676E1,2.009143066E1,-2.255529785E1
3.206965833E-1,2.408895874E1,1.989968872E1,-2.151730347E1
3.307155833E-1,2.484152603E1,2.004546356E1,-2.049691772E1
3.407345833E-1,2.552372742E1,2.012393188E1,-1.923843384E1
3.507535833E-1,2.619605255E1,2.043046570E1,-1.775738525E1
3.607725833E-1,2.664838028E1,2.077237701E1,-1.645166016E1
3.707915833E-1,2.700687790E1,2.095503998E1,-1.552957153E1
3.808105833E-1,2.726630783E1,2.114457703E1,-1.463650513E1
3.908305833E-1,2.744055939E1,2.136663818E1,-1.374411011E1
4.008495833E-1,2.735984802E1,2.198252869E1,-1.344400024E1
4.108685833E-1,2.717139053E1,2.238104248E1,-1.303680420E1
4.208875833E-1,2.701379013E1,2.276882172E1,-1.290301514E1
4.309065833E-1,2.678863716E1,2.316675568E1,-1.198577881E1
4.409255833E-1,2.663658524E1,2.383374023E1,-1.138198853E1
4.509455833E-1,2.638055611E1,2.441513824E1,-1.081381226E1
4.609645833E-1,2.624381828E1,2.488864899E1,-9.815277100E0
4.709835833E-1,2.605465317E1,2.549057007E1,-8.919281006E0
4.810025833E-1,2.587152672E1,2.589871979E1,-8.042480469E0
4.910215833E-1,2.576955414E1,2.608966064E1,-7.235626221E0
5.010405833E-1,2.563835716E1,2.650546265E1,-6.253997803E0
5.110605833E-1,2.545046425E1,2.692681122E1,-4.919586182E0
5.210795833E-1,2.506910324E1,2.742900848E1,-4.604095459E0
5.310985833E-1,2.479248047E1,2.784503174E1,-3.873107910E0
5.411175833E-1,2.453204346E1,2.827069855E1,-3.800476074E0
5.511365833E-1,2.406841660E1,2.885775757E1,-3.372802734E0
5.611555833E-1,2.360901642E1,2.922663116E1,-2.514923096E0
5.711745833E-1,2.336143494E1,2.949491119E1,-2.507873535E0
5.811945833E-1,2.312256813E1,2.987062073E1,-2.106567383E0
5.912135833E-1,2.306015205E1,3.000823975E1,-1.836212158E0
6.012325833E-1,2.298200035E1,3.012619781E1,-1.176391602E0
6.112515833E-1,2.283611298E1,3.016809082E1,-1.106292725E0
6.212705833E-1,2.264911270E1,3.034598541E1,-9.169616699E-1
6.312895833E-1,2.270923233E1,3.030035400E1,-1.034393311E0
6.413095833E-1,2.285956192E1,3.015467072E1,-1.190521240E0
6.513285833E-1,2.297067070E1,3.015939331E1,-1.076354980E0
6.613475833E-1,2.306062698E1,3.003030396E1,-8.826599121E-1
6.713665833E-1,2.304134369E1,3.002171326E1,-2.993164062E-1
6.813855833E-1,2.333243179E1,2.982292938E1,4.304504395E-1
6.914045833E-1,2.354250336E1,2.966637421E1,1.248291016E0
7.014235833E-1,2.379927254E1,2.935237122E1,1.702667236E0
7.114435833E-1,2.421955490E1,2.895772552E1,2.089904785E0
7.214625833E-1,2.471439934E1,2.851682281E1,1.974365234E0
7.314815833E-1,2.523094177E1,2.801380920E1,1.693634033E0
