"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.581383334E-2,-5.230913162E-1,-5.558764562E-2,8.233290911E-1
2.583383333E-2,-5.451145768E-1,-2.632348984E-2,8.080747128E-1
3.585283333E-2,-5.291779637E-1,5.207518116E-2,7.511251569E-1
4.587283333E-2,-4.553191960E-1,1.609899402E-1,6.401464343E-1
5.589283333E-2,-3.005429208E-1,1.734444797E-1,4.542625844E-1
6.591283334E-2,-6.351963431E-2,2.261200547E-1,2.353689522E-1
7.593283333E-2,2.025613040E-1,2.835226357E-1,2.257514745E-1
8.595283333E-2,4.683695436E-1,2.572867870E-1,1.376177818E-1
9.597283333E-2,5.256165862E-1,1.536802351E-1,-1.039341167E-1
1.059918333E-1,5.866136551E-1,3.055662513E-1,-3.405354619E-1
1.160118333E-1,7.588298917E-1,4.436903000E-1,-3.260396123E-1
1.260318333E-1,9.402131438E-1,6.061649919E-1,-3.858069703E-2
1.360518333E-1,1.039165020E0,9.225988388E-1,2.598565817E-1
1.460718333E-1,9.808936715E-1,1.223988056E0,4.439104795E-1
1.560918333E-1,6.109632850E-1,1.362123251E0,4.428710341E-1
1.661118333E-1,-1.414707154E-1,1.485574603E0,1.681948304E-1
1.761308333E-1,-6.749375463E-1,1.605471730E0,-4.711031020E-1
1.861508333E-1,-1.613839269E0,2.709247828E0,-4.079611599E-1
1.961708333E-1,-2.245587349E0,2.279079437E0,4.552403837E-2
2.061908333E-1,-2.533404112E0,1.731876016E0,-5.846580863E-2
2.162108333E-1,-2.859596252E0,1.616165638E0,-2.839149237E-1
2.262308333E-1,-3.388254642E0,1.397925854E0,-5.643615872E-2
2.362508333E-1,-3.846200705E0,7.542499304E-1,5.628007054E-1
2.462698333E-1,-4.184834003E0,2.616820671E-2,9.398684502E-1
2.562898333E-1,-4.493086815E0,-6.601917744E-1,1.079500914E0
2.663098333E-1,-4.761094093E0,-1.207442880E0,1.149726510E0
2.763298333E-1,-4.487333298E0,2.137502432E0,1.586667418E0
2.863498333E-1,-2.855706215E0,2.074646235E0,1.762534261E0
2.963698333E-1,-8.629261851E-1,1.109266758E0,1.865550637E0
3.063888333E-1,1.009660840E0,1.022369266E0,1.678120375E0
3.164088333E-1,2.224785566E0,-5.760031752E-3,1.412342072E0
3.264288333E-1,2.214094877E0,9.489960074E-1,9.611284137E-1
3.364488333E-1,1.426141620E0,8.352020383E-1,6.808839440E-1
3.464688333E-1,5.431654453E-1,1.007385015E0,6.647139788E-1
3.564888333E-1,-4.037858844E-1,1.106412768E0,7.998659015E-1
3.665088333E-1,-1.135685802E0,9.958103895E-1,9.609735012E-1
3.765278333E-1,-1.590189338E0,7.239466310E-1,1.217479825E0
3.865478333E-1,-1.759330511E0,4.565495849E-1,1.509535313E0
3.965678333E-1,-1.737271905E0,3.909729719E-1,1.674725294E0
4.065878333E-1,-1.607561707E0,9.825839400E-1,1.684434175E0
4.166078333E-1,-1.193924785E0,2.178699970E0,1.531895280E0
4.266278333E-1,-4.637983441E-1,2.927575827E0,1.252467632E0
4.366468333E-1,3.982927203E-1,3.435850143E0,8.342052102E-1
4.466668333E-1,1.432394505E0,4.331710815E0,6.100845337E-1
4.566868333E-1,2.292819500E0,4.563401222E0,4.941691160E-1
4.667068333E-1,2.840144634E0,4.537670612E0,3.262683153E-1
4.767268333E-1,3.163965464E0,4.683475494E0,1.190069839E-1
4.867468333E-1,2.758578777E0,3.719797134E0,-3.326669931E-1
4.967668333E-1,2.547359467E0,4.461940289E0,-7.753562927E-1
