"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.581383334E-2,-3.808056204E-1,1.606921573E-1,4.342142344E-3
2.583383333E-2,-1.031366980E-1,3.457970247E-3,-3.473947763E-2
3.585283333E-2,2.006105138E-1,-9.820749521E-2,-8.026940703E-2
4.587283333E-2,4.179686227E-1,-1.664453059E-1,2.711412370E-2
5.589283333E-2,5.451239285E-1,-5.815647997E-2,4.845441431E-1
6.591283334E-2,8.655162629E-1,4.186244611E-1,1.020629738E0
7.593283333E-2,6.395814581E-1,4.658173386E-1,9.923543572E-1
8.595283333E-2,-1.533903006E-1,5.462543415E-1,1.083608928E0
9.597283333E-2,8.198932166E-1,-4.683600003E-1,1.053025652E0
1.059918333E-1,4.926492611E-1,-4.866090142E-1,3.771921873E-2
1.160118333E-1,3.272946802E-1,1.130026904E0,2.557186210E-1
1.260318333E-1,-9.468849465E-2,2.055053935E0,1.172148052E0
1.360518333E-1,-7.486586349E-1,2.097509691E0,1.148157511E0
1.460718333E-1,-6.289041500E-1,1.570521925E0,8.425071770E-1
1.560918333E-1,-4.716700360E-1,1.268914940E0,6.087255549E-1
1.661118333E-1,-1.363382117E-1,8.331139174E-1,-6.737085861E-1
1.761308333E-1,8.937897433E-1,-1.617256234E0,-1.466500981E0
1.861508333E-1,1.393907507E0,-2.668673317E0,-1.971347242E0
1.961708333E-1,-2.721147984E0,1.921592407E0,-4.887406313E0
2.061908333E-1,-1.553848004E0,1.208222523E0,1.202084627E0
2.162108333E-1,-7.390757793E-1,-8.634980965E-1,-2.718230224E-1
2.262308333E-1,-9.985133757E-1,-2.414289396E-1,-3.076807215E0
2.362508333E-1,-3.218641956E0,1.040976587E0,-3.228010365E0
2.462698333E-1,-3.430818116E0,-9.747220784E-2,-2.187615284E0
2.562898333E-1,-2.916133623E0,-1.857767417E0,-2.363028830E0
2.663098333E-1,-2.764330549E0,-2.526049787E0,-2.729878462E0
2.763298333E-1,-1.176014889E0,-3.699860787E0,-3.946027982E0
2.863498333E-1,9.391877303E0,-6.216739801E0,-3.600157574E0
2.963698333E-1,3.591092051E0,-7.361352146E-2,5.587061918E0
3.063888333E-1,-2.747673293E0,6.034611897E0,5.896104223E-1
3.164088333E-1,-2.684653465E0,2.186271009E-1,3.599742422E0
3.264288333E-1,-1.544958775E0,-4.565932536E0,1.451802251E0
3.364488333E-1,-5.619228329E-1,-7.068580596E-1,-7.439207822E0
3.464688333E-1,-4.229395454E0,1.478701635E0,-3.526802500E0
3.564888333E-1,-4.568647690E0,1.677512815E0,-2.533295072E0
3.665088333E-1,-4.659435946E0,2.113158594E0,-3.619829362E0
3.765278333E-1,-4.110899583E0,2.661173093E0,-3.025383877E0
3.865478333E-1,-3.939480854E0,2.904409663E0,-1.828245410E0
3.965678333E-1,-3.338765400E0,2.472935434E0,-1.203237113E0
4.065878333E-1,-2.169292156E0,8.291623691E-1,-2.699158945E0
4.166078333E-1,-5.885588005E-1,-2.172860712E0,-5.586058536E0
4.266278333E-1,-8.170358285E-2,-3.408717687E0,-6.306088765E0
4.366468333E-1,-4.453397316E-1,-3.963531622E0,-2.545038035E0
4.466668333E-1,1.057381243E-1,-3.253674671E0,-3.306311599E0
4.566868333E-1,3.035102534E-1,-2.357113494E0,-4.718424704E0
4.667068333E-1,7.292246827E-1,-2.759860060E0,-2.447159738E0
4.767268333E-1,1.165673431E0,-3.011245602E0,-1.221256478E0
4.867468333E-1,9.250809717E-1,-2.612024030E0,-6.829483563E-1
4.967668333E-1,4.272268116E-1,-3.626734339E0,2.420365457E0
5.067858333E-1,1.250674112E0,-5.160738502E0,-2.462201700E0
5.168058333E-1,1.103996415E0,-5.795798746E0,5.971235096E-2
5.268258333E-1,6.622416115E-1,-4.855211543E0,3.162337947E-1
5.368447500E-1,6.221022302E-1,-4.397878588E0,4.555197340E-1
5.468647500E-1,1.724636257E-1,-3.818509564E0,1.682256807E0
5.568847500E-1,-2.313965428E-1,-2.782384704E0,2.426334879E0
5.669037500E-1,-3.254349732E-1,-1.620761640E0,2.981147352E0
5.769237500E-1,-4.190430486E-1,-1.010504772E0,3.478932515E0
5.869437500E-1,-5.584541184E-1,-9.243271925E-1,4.276937703E0
5.969637500E-1,-9.279408449E-1,-1.090008340E0,4.889383256E0
6.069837500E-1,-1.612740430E0,-1.545878103E0,5.115646529E0
6.170037500E-1,-2.063288276E0,-1.854521043E0,4.968477958E0
6.270237500E-1,-1.987319496E0,-1.972958004E0,4.776534918E0
6.370427500E-1,-1.673574277E0,-1.824579352E0,4.610358803E0
6.470627500E-1,-1.830729307E0,-1.202549773E0,4.264248368E0
