"Time (s)","X (hPa)"
-5.431204583E-1,1.019229126E3
4.884295417E-1,1.019230499E3
1.519933542E0,1.019231796E3
2.551442542E0,1.019232712E3
3.582953542E0,1.019232864E3
3.776934542E0,1.019232864E3
4.841691542E0,1.019232025E3
5.906422542E0,1.019229355E3
6.971187542E0,1.019224243E3
8.035952542E0,1.019218369E3
9.100704542E0,1.019215240E3
1.016544454E1,1.019210739E3
1.123021754E1,1.019208908E3
1.229498054E1,1.019208679E3
1.335971954E1,1.019206772E3
1.442443454E1,1.019203873E3
1.548915154E1,1.019198990E3
1.655389054E1,1.019195633E3
1.761863254E1,1.019193954E3
1.868337254E1,1.019190598E3
1.974809754E1,1.019190598E3
2.081281954E1,1.019193039E3
2.187755454E1,1.019195251E3
2.294230354E1,1.019198532E3
2.400705354E1,1.019204712E3
2.507178854E1,1.019210739E3
2.613655754E1,1.019215240E3
2.720135454E1,1.019221115E3
2.826610454E1,1.019225464E3
2.933085654E1,1.019225464E3
3.039558954E1,1.019224854E3
3.146032454E1,1.019222412E3
3.252506954E1,1.019218979E3
3.358981154E1,1.019215164E3
3.465453954E1,1.019211578E3
3.571930854E1,1.019209518E3
3.678406854E1,1.019209518E3
3.784884154E1,1.019209137E3
3.891361254E1,1.019208679E3
