"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.196029167E-2,-3.408108115E-2,3.786528218E-1,1.215005220E0
2.196629166E-2,-5.727190222E-1,-1.860899770E-1,9.003668377E-1
3.197329167E-2,-7.594460168E-1,-7.161663884E-1,4.963599041E-1
4.197929167E-2,-5.091059572E-1,-6.132261568E-1,3.480789006E-2
5.198629167E-2,-5.958400824E-1,-3.058181494E-1,-1.142764332E0
6.199229167E-2,-7.971646509E-1,-2.347996223E-1,-1.447920284E0
7.199929167E-2,-9.250555363E-1,-1.329311854E-1,-1.125303669E0
8.200529167E-2,-7.344018075E-1,4.832372904E-2,-6.630572981E-1
9.201129166E-2,-5.235547194E-1,1.846451300E-1,-2.147957128E-1
1.020182917E-1,-6.245142066E-1,2.930530930E-1,1.138686776E-2
1.120242917E-1,-8.552307913E-1,2.943207693E-1,9.345429361E-2
1.220312917E-1,-1.191066426E0,2.478646410E-1,1.574538231E-2
1.320372917E-1,-1.372762513E0,1.846907383E-1,-2.381553394E-1
1.420432917E-1,-1.268228623E0,2.016160887E-1,-5.890064049E-1
1.520502917E-1,-1.017284327E0,2.094957966E-1,-1.076209569E0
1.620562917E-1,-9.580043773E-1,-1.327376425E-2,-1.332907307E0
1.720632917E-1,-1.398659831E0,-5.408247632E-1,-8.538460976E-1
1.820692917E-1,-2.140505437E0,-9.478272253E-1,-6.670164478E-1
1.920762917E-1,-2.757844525E0,-8.126629883E-1,-1.002844847E0
2.020822917E-1,-2.846317283E0,-8.388169992E-1,-1.179347729E0
2.120882917E-1,-2.633291230E0,-1.259869151E0,-1.893991503E0
2.220952917E-1,-2.300473562E0,-1.680457619E0,-2.529688509E0
2.321012917E-1,-2.204053269E0,-1.910391188E0,-1.971831976E0
2.421082917E-1,-2.375608676E0,-1.831276606E0,-1.424538438E0
2.521142917E-1,-2.185591562E0,-1.849437473E0,-1.919978868E0
2.621212917E-1,-1.531128063E0,-2.225049158E0,-2.200331808E0
2.721272917E-1,-1.527221831E0,-2.288651077E0,-2.108877847E0
2.821332917E-1,-2.008273432E0,-1.977604932E0,-1.578642976E0
