"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.906960487E-3,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.019597054E-2,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.019597054E-2,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
8.372150660E-1,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
2.205298066E0,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
8.225463033E0,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
8.827136993E0,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.032038605E1,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.634604800E1,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.695555604E1,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.855143499E1,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
2.456541598E1,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
2.516973007E1,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
2.677586198E1,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
3.059914398E1,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
3.662159598E1,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
3.717375100E1,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
3.877492607E1,5.210826314E1,5.092797565E0,3.107341528E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
