"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.196029167E-2,1.503900146E1,-3.576137543E1,-3.234310913E1
2.196629166E-2,1.510374451E1,-3.565196228E1,-3.236740112E1
3.197329167E-2,1.510594177E1,-3.568938065E1,-3.238262939E1
4.197929167E-2,1.516969299E1,-3.577907944E1,-3.238702393E1
5.198629167E-2,1.514645386E1,-3.579893112E1,-3.231233215E1
6.199229167E-2,1.480249023E1,-3.608950043E1,-3.261576843E1
7.199929167E-2,1.479319763E1,-3.599055862E1,-3.244744873E1
8.200529167E-2,1.444609070E1,-3.598112869E1,-3.262124634E1
9.201129166E-2,1.439165497E1,-3.585894775E1,-3.292582703E1
1.020182917E-1,1.408320618E1,-3.557289886E1,-3.297695923E1
1.120242917E-1,1.408049774E1,-3.530386353E1,-3.315437317E1
1.220312917E-1,1.404822540E1,-3.506942749E1,-3.348863220E1
1.320372917E-1,1.414182281E1,-3.489475632E1,-3.390824890E1
1.420432917E-1,1.424040222E1,-3.464624023E1,-3.412623596E1
1.520502917E-1,1.435800934E1,-3.428591919E1,-3.432397461E1
1.620562917E-1,1.433757782E1,-3.371746445E1,-3.442373657E1
1.720632917E-1,1.445782471E1,-3.334181976E1,-3.487020874E1
1.820692917E-1,1.440607452E1,-3.300518036E1,-3.531105042E1
1.920762917E-1,1.429129028E1,-3.261085129E1,-3.584403992E1
2.020822917E-1,1.416996765E1,-3.224633026E1,-3.618136597E1
2.120882917E-1,1.361406708E1,-3.179820633E1,-3.697662354E1
2.220952917E-1,1.298075104E1,-3.135386276E1,-3.733090210E1
2.321012917E-1,1.237596893E1,-3.078542137E1,-3.821299744E1
2.421082917E-1,1.154192352E1,-3.018475914E1,-3.902194214E1
2.521142917E-1,1.081394958E1,-2.927133179E1,-3.976919556E1
2.621212917E-1,1.014542389E1,-2.856131744E1,-4.015199280E1
2.721272917E-1,9.651611328E0,-2.759341812E1,-4.091505432E1
2.821332917E-1,8.812713623E0,-2.654998398E1,-4.170851135E1
2.921402917E-1,8.075325012E0,-2.533742142E1,-4.243760681E1
3.021462917E-1,7.292991638E0,-2.427246094E1,-4.340626526E1
3.121532917E-1,6.629951477E0,-2.289325333E1,-4.407427979E1
3.221592917E-1,6.043106079E0,-2.144745445E1,-4.471469116E1
3.321662917E-1,5.578826904E0,-2.009719086E1,-4.536325073E1
3.421722917E-1,5.164703369E0,-1.897667503E1,-4.572727966E1
3.521782917E-1,5.287353516E0,-1.819784164E1,-4.589739990E1
3.621852917E-1,5.609680176E0,-1.798983383E1,-4.614511108E1
3.721912917E-1,6.007141113E0,-1.829988861E1,-4.591117859E1
3.821982917E-1,6.322372437E0,-1.883225060E1,-4.562580872E1
3.922042917E-1,6.512138367E0,-1.927660942E1,-4.550566101E1
4.022112917E-1,6.580612183E0,-1.938917160E1,-4.540266418E1
4.122172917E-1,6.212623596E0,-1.916889572E1,-4.520428467E1
4.222232917E-1,5.629554749E0,-1.892017174E1,-4.566786194E1
4.322302917E-1,4.621719360E0,-1.836009598E1,-4.595251465E1
4.422362917E-1,3.769279480E0,-1.787622643E1,-4.610650635E1
4.522432917E-1,3.102424622E0,-1.771153831E1,-4.638832092E1
4.622492917E-1,2.777328491E0,-1.749546814E1,-4.660519409E1
4.722562917E-1,2.612030029E0,-1.745377541E1,-4.664143372E1
4.822622083E-1,2.721473694E0,-1.775097275E1,-4.651704407E1
4.922682083E-1,2.901702881E0,-1.803012466E1,-4.633435059E1
5.022752083E-1,3.295127869E0,-1.843753433E1,-4.642402649E1
5.122812083E-1,3.545875549E0,-1.869845200E1,-4.614936829E1
5.222882083E-1,3.917198181E0,-1.871950531E1,-4.615565491E1
5.322942083E-1,4.029769897E0,-1.833086395E1,-4.629867554E1
5.423012083E-1,4.150863647E0,-1.744082832E1,-4.669105530E1
5.523072083E-1,4.208580017E0,-1.638569260E1,-4.719320679E1
5.623132083E-1,4.023071289E0,-1.542734146E1,-4.781919861E1
5.723202083E-1,3.877906799E0,-1.452321625E1,-4.818197632E1
5.823262083E-1,3.976799011E0,-1.378224945E1,-4.847598267E1
5.923332083E-1,4.550178528E0,-1.341920567E1,-4.850715637E1
6.023392083E-1,5.540657043E0,-1.309427452E1,-4.863059998E1
6.123462083E-1,6.789756775E0,-1.304967308E1,-4.891705322E1
6.223522083E-1,7.997344971E0,-1.298140621E1,-4.889996338E1
6.323582083E-1,9.179351807E0,-1.279941559E1,-4.880052185E1
6.423652083E-1,9.510314941E0,-1.240432262E1,-4.861785889E1
6.523712083E-1,8.688285828E0,-1.204251003E1,-4.901782227E1
6.623782083E-1,7.326934814E0,-1.129890823E1,-4.946960449E1
6.723842083E-1,5.903793335E0,-1.046660995E1,-4.973683167E1
6.823912083E-1,4.829048157E0,-9.839483261E0,-5.017652893E1
6.923972083E-1,3.933036804E0,-9.453429222E0,-5.013194275E1
7.024042083E-1,3.224418640E0,-9.391890526E0,-4.999139404E1
7.124102083E-1,2.928451538E0,-9.346300125E0,-5.017556763E1
7.224162083E-1,3.112373352E0,-9.182683945E0,-5.029972839E1
7.324232083E-1,3.456733704E0,-8.991622925E0,-5.010702515E1
7.424292083E-1,3.829566956E0,-8.212291718E0,-4.988191223E1
7.524362083E-1,3.663864136E0,-7.499191284E0,-5.000436401E1
7.624422083E-1,3.983024597E0,-6.400087357E0,-5.009970093E1
7.724492083E-1,4.750350952E0,-5.416254997E0,-4.989213562E1
7.824552083E-1,6.229743958E0,-4.238678932E0,-4.990242004E1
7.924612083E-1,8.632598877E0,-3.573102713E0,-4.935871887E1
8.024682083E-1,1.129784393E1,-3.113186121E0,-4.885899353E1
8.124742083E-1,1.276595306E1,-2.772396803E0,-4.841967773E1
8.224812083E-1,1.350786591E1,-2.795677185E0,-4.809663391E1
8.324872083E-1,1.351596832E1,-2.998954535E0,-4.833380127E1
8.424942083E-1,1.417497253E1,-3.359236956E0,-4.831176758E1
8.525002083E-1,1.506772614E1,-3.593401670E0,-4.802174377E1
8.625072083E-1,1.711336517E1,-3.751315832E0,-4.737956238E1
8.725132083E-1,2.019248962E1,-3.697022200E0,-4.643260193E1
8.825192083E-1,2.365013885E1,-3.353457212E0,-4.492500305E1
8.925262083E-1,2.648657990E1,-2.426027060E0,-4.353446960E1
9.025322083E-1,2.834143829E1,-1.185112119E0,-4.245211792E1
9.125392083E-1,2.993710327E1,-1.294044256E-1,-4.152197266E1
9.225452083E-1,3.072840118E1,3.939099908E-1,-4.080357361E1
9.325522083E-1,3.120317841E1,9.727042913E-2,-4.063337708E1
9.425582083E-1,3.149566650E1,-4.709200859E-1,-4.029345703E1
9.525642083E-1,3.184113312E1,-1.340370893E0,-3.973645020E1
9.625712083E-1,3.278888702E1,-1.913798094E0,-3.919549561E1
9.725772083E-1,3.372827148E1,-2.366045713E0,-3.800825500E1
9.825842083E-1,3.472920227E1,-2.357785702E0,-3.702363586E1
9.925902083E-1,3.574422455E1,-2.405397415E0,-3.608116150E1
1.002597208E0,3.609534454E1,-2.583146334E0,-3.581723022E1
1.012603208E0,3.634303284E1,-3.330961943E0,-3.588163757E1
1.022610208E0,3.634120941E1,-4.237475395E0,-3.568202209E1
1.032616208E0,3.663856506E1,-5.418807030E0,-3.526283264E1
1.042622208E0,3.695311737E1,-6.393829346E0,-3.478901672E1
1.052629208E0,3.728855133E1,-7.392833710E0,-3.454718018E1
1.062635208E0,3.750560760E1,-8.444357872E0,-3.395362854E1
1.072642208E0,3.763525391E1,-9.224000931E0,-3.382502747E1
1.082648208E0,3.767505646E1,-9.728989601E0,-3.334626770E1
1.092655208E0,3.748724365E1,-1.022986412E1,-3.343145752E1
1.102661208E0,3.730326843E1,-1.043916893E1,-3.354621887E1
1.112668208E0,3.689109039E1,-1.083383751E1,-3.375437927E1
1.122674208E0,3.647441864E1,-1.092154884E1,-3.405595398E1
1.132680208E0,3.573524475E1,-1.076541615E1,-3.474665833E1
1.142687208E0,3.445445251E1,-1.038776875E1,-3.619328308E1
1.152693208E0,3.247742462E1,-1.009453964E1,-3.779747009E1
1.162700208E0,3.033805847E1,-9.922271729E0,-3.944351196E1
1.172706208E0,2.804412079E1,-9.901635170E0,-4.131156921E1
1.182713208E0,2.569727325E1,-9.960362434E0,-4.252400208E1
1.192719208E0,2.327906036E1,-1.034139824E1,-4.377856445E1
1.202725208E0,2.126200104E1,-1.098490238E1,-4.454112244E1
1.212732208E0,1.915618896E1,-1.147988701E1,-4.537593079E1
1.222738208E0,1.766056824E1,-1.162471676E1,-4.570581055E1
1.232745208E0,1.703653717E1,-1.201697254E1,-4.614132690E1
1.242751208E0,1.694524384E1,-1.216109848E1,-4.621226501E1
1.252758208E0,1.709848785E1,-1.236680794E1,-4.638796997E1
1.262764208E0,1.766573334E1,-1.260282707E1,-4.612835693E1
1.272771208E0,1.835334015E1,-1.257169056E1,-4.605259705E1
1.282777208E0,1.903752899E1,-1.228616333E1,-4.553215027E1
1.292783208E0,1.960080719E1,-1.222951508E1,-4.534208679E1
1.302790208E0,1.967195129E1,-1.215443516E1,-4.519471741E1
1.312796208E0,1.927028656E1,-1.196240616E1,-4.539540100E1
1.322803208E0,1.835198212E1,-1.163817120E1,-4.592005920E1
1.332809208E0,1.711424255E1,-1.137727165E1,-4.645339966E1
1.342816208E0,1.520789337E1,-1.141568089E1,-4.688354492E1
1.352822208E0,1.258141327E1,-1.182534122E1,-4.744474792E1
1.362829208E0,9.287612915E0,-1.217901897E1,-4.807830811E1
1.372835208E0,6.278656006E0,-1.277450085E1,-4.844866943E1
1.382841208E0,4.510269165E0,-1.348666859E1,-4.846249390E1
1.392848208E0,4.242698669E0,-1.393979359E1,-4.843922424E1
1.402854208E0,6.127952576E0,-1.404030991E1,-4.859806824E1
1.412861208E0,8.733039856E0,-1.446175194E1,-4.802990723E1
1.422867208E0,1.137636566E1,-1.484790611E1,-4.732638550E1
1.432874208E0,1.227774811E1,-1.477949715E1,-4.747604370E1
1.442880208E0,1.205408478E1,-1.448840427E1,-4.726547241E1
1.452886208E0,1.141046143E1,-1.423206902E1,-4.774851990E1
1.462893208E0,1.083775330E1,-1.423404026E1,-4.780139160E1
1.472899208E0,1.049340820E1,-1.412002754E1,-4.785319519E1
1.482905542E0,1.073596954E1,-1.377622128E1,-4.780032349E1
1.492911542E0,1.093721008E1,-1.359993935E1,-4.774664307E1
1.502918542E0,1.109252167E1,-1.324895573E1,-4.771850586E1
1.512924542E0,1.093368530E1,-1.303065681E1,-4.774060059E1
1.522931542E0,1.063911438E1,-1.273041630E1,-4.794001770E1
1.532937542E0,1.057271576E1,-1.257107449E1,-4.794071960E1
1.542943542E0,1.063481903E1,-1.250109863E1,-4.790809631E1
1.552950542E0,1.116210938E1,-1.252335072E1,-4.780712891E1
1.562956542E0,1.157949066E1,-1.248325825E1,-4.764785767E1
1.572963542E0,1.210218811E1,-1.241559792E1,-4.757093811E1
1.582969542E0,1.247828674E1,-1.265903378E1,-4.745050049E1
1.592976542E0,1.283504486E1,-1.259169388E1,-4.748269653E1
1.602982542E0,1.310706329E1,-1.261479473E1,-4.742280579E1
1.612989542E0,1.337756348E1,-1.284280014E1,-4.756353760E1
1.622995542E0,1.321284485E1,-1.288220406E1,-4.754194641E1
1.633001542E0,1.310636902E1,-1.302913761E1,-4.749192810E1
1.643008542E0,1.287027740E1,-1.295661068E1,-4.754154968E1
1.653014542E0,1.259629059E1,-1.302252197E1,-4.770918274E1
1.663021542E0,1.263346863E1,-1.318428040E1,-4.756250000E1
1.673027542E0,1.270829010E1,-1.318027973E1,-4.782562256E1
1.683034542E0,1.280350494E1,-1.326828098E1,-4.772210693E1
1.693040542E0,1.278157043E1,-1.313148689E1,-4.768038940E1
1.703047542E0,1.302448273E1,-1.291644573E1,-4.744418335E1
1.713053542E0,1.320997620E1,-1.279093742E1,-4.743289185E1
1.723059542E0,1.351367950E1,-1.255070782E1,-4.738404846E1
1.733066542E0,1.351367950E1,-1.255070782E1,-4.738404846E1
1.743072542E0,1.377235413E1,-1.244782639E1,-4.725608826E1
1.753079542E0,1.409371948E1,-1.246109772E1,-4.735437012E1
1.763085542E0,1.444246674E1,-1.250683594E1,-4.723207092E1
1.773092542E0,1.502812958E1,-1.235589504E1,-4.711242676E1
1.783098542E0,1.502812958E1,-1.235589504E1,-4.711242676E1
1.793104542E0,1.558499146E1,-1.204956818E1,-4.699043274E1
1.803111542E0,1.592642975E1,-1.190005207E1,-4.707945251E1
1.813117542E0,1.602826691E1,-1.180576706E1,-4.713685608E1
