"Time (s)","X (hPa)"
-5.466037084E-1,1.019210434E3
4.845312917E-1,1.019218445E3
1.515669292E0,1.019226456E3
2.546829292E0,1.019238510E3
3.577953292E0,1.019240341E3
3.772430292E0,1.019240341E3
4.836800292E0,1.019239578E3
5.901131292E0,1.019239426E3
6.965507292E0,1.019239578E3
8.029859292E0,1.019239655E3
9.094170292E0,1.019240494E3
1.015849229E1,1.019240494E3
1.122286329E1,1.019239578E3
1.228722429E1,1.019237061E3
1.335157229E1,1.019229355E3
1.441588629E1,1.019226990E3
1.548015429E1,1.019226990E3
1.654443429E1,1.019228287E3
1.760873129E1,1.019228516E3
1.867301829E1,1.019229355E3
1.973727029E1,1.019229355E3
2.080149929E1,1.019228287E3
2.186571629E1,1.019222336E3
2.293003729E1,1.019216690E3
2.399437629E1,1.019214172E3
2.505868029E1,1.019214096E3
2.612301329E1,1.019214096E3
2.718734129E1,1.019215469E3
2.825167229E1,1.019223175E3
2.931600829E1,1.019230423E3
