"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.388295833E-2,-3.455564976E-1,-1.062709093E0,-1.504048944E0
2.388895833E-2,-4.687916338E-1,-1.282992363E0,-1.510003686E0
3.389495832E-2,-4.679520130E-1,-1.670143604E0,-1.532225728E0
4.389995833E-2,-5.411575437E-1,-1.572709680E0,-1.469280362E0
5.390595832E-2,-7.226294875E-1,-2.182538033E0,-1.296507001E0
6.391195832E-2,-6.203613877E-1,-3.230212450E0,-9.887439013E-1
7.391795833E-2,-4.834124148E-1,-2.393393040E0,-1.054658055E0
8.392395833E-2,-6.215913296E-1,-8.865970373E-1,-1.225799441E0
9.392995833E-2,-8.826572299E-1,9.271777272E-1,-9.296841621E-1
1.039359583E-1,-1.307702780E0,2.607056141E0,-5.045911670E-1
1.139419583E-1,-1.468421221E0,3.738277435E0,-1.100195199E-1
1.239469583E-1,-1.245564699E0,4.381808281E0,6.988207251E-2
1.339529583E-1,-7.913093567E-1,4.132465839E0,1.852092594E-1
1.439589583E-1,-5.477848649E-1,1.135734916E0,4.779210389E-1
1.539649583E-1,8.893249929E-2,-2.580901146E0,2.313543111E-1
1.639709583E-1,2.981807888E-1,-3.607070684E0,-9.944889694E-2
1.739769583E-1,-7.442326844E-2,-3.178862810E0,-4.033496976E-1
1.839829583E-1,-7.089379430E-1,-2.827730417E0,-7.716102600E-1
1.939889583E-1,-1.208865166E0,-2.339677334E0,-1.347308636E0
2.039939583E-1,-1.504267812E0,-1.449533343E0,-1.880235434E0
2.139999583E-1,-1.664836168E0,-3.267089128E-1,-2.122062445E0
2.240059583E-1,-1.641216040E0,4.583028257E-1,-2.013681173E0
2.340119583E-1,-1.524851084E0,1.207465410E0,-1.663546205E0
2.440179583E-1,-1.451035738E0,1.844392061E0,-1.237721682E0
2.540239583E-1,-1.205707908E0,2.183897495E0,-1.027184486E0
2.640299583E-1,-8.128061891E-1,2.631501436E0,-8.806555271E-1
2.740359583E-1,-3.462992013E-1,3.079693556E0,-7.701703906E-1
2.840409583E-1,8.269127011E-1,1.916743755E0,-6.630309224E-1
2.940469583E-1,1.921267986E0,1.753865480E0,-6.709694266E-1
3.040529583E-1,2.282524586E0,2.355781078E0,-8.521674275E-1
3.140589583E-1,2.073542356E0,3.080187321E0,-1.323816180E0
3.240649583E-1,2.358349085E0,2.643851757E0,-1.555625677E0
3.340709583E-1,1.894016147E0,1.230336189E0,-1.389108658E0
3.440769583E-1,4.821974933E-1,1.554042101E0,-1.185020804E0
