"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.388295833E-2,-3.786163498E-1,-1.138788591E0,-2.252464998E0
2.388895833E-2,1.629410330E-1,-5.026234415E-1,-1.126175489E0
3.389495832E-2,5.178931528E-1,2.514807053E-1,-5.594949228E-1
4.389995833E-2,3.034680621E-1,1.508929548E-1,-6.115807503E-1
5.390595832E-2,9.953145102E-2,-9.868781474E-1,-7.630201274E-1
6.391195832E-2,1.186497412E0,-1.217543057E0,-3.273089474E0
7.391795833E-2,8.751933318E-1,-2.893587929E0,-1.098264974E0
8.392395833E-2,1.737364768E0,-2.307503962E0,4.231504837E0
9.392995833E-2,1.995038113E0,-1.552633684E0,2.957242765E0
1.039359583E-1,-9.815596662E-2,-1.068704960E0,1.028208899E0
1.139419583E-1,-9.063326787E-2,-8.450164365E-1,-1.229701611E0
1.239469583E-1,3.796517455E-1,-7.238429786E-1,-4.786179900E-1
1.339529583E-1,1.469122142E0,3.706004018E-1,6.405040026E-1
1.439589583E-1,1.249291684E0,6.074339781E-2,-9.802447736E-1
1.539649583E-1,-8.136814271E-1,-1.725010917E0,-3.167677624E0
1.639709583E-1,-7.496439273E-2,-9.096036842E-1,-5.293443400E-1
1.739769583E-1,6.201832471E-1,-1.322902721E0,2.804295391E0
1.839829583E-1,-6.041665540E-1,-2.141995453E0,1.429843032E0
1.939889583E-1,-1.391803971E0,-2.344293620E0,4.274478364E-1
2.039939583E-1,-7.410142775E-1,-1.721006159E0,2.394516086E0
2.139999583E-1,5.848677456E-3,-5.150065286E-1,3.611488894E0
2.240059583E-1,7.102020822E-2,8.066455456E-1,2.783862880E0
2.340119583E-1,-1.337341543E-1,3.273132743E0,1.694196821E0
2.440179583E-1,-5.091073459E-1,3.764580109E0,1.963449408E0
2.540239583E-1,-6.418256195E-1,5.148420757E-1,1.545628427E0
2.640299583E-1,2.383339718E-1,-1.539660174E0,8.583320814E-1
2.740359583E-1,1.739826409E-1,-1.828578116E0,5.853033632E-1
2.840409583E-1,-4.221121790E-1,-1.211841437E0,-1.660740808E0
2.940469583E-1,-1.621809461E0,2.335239791E-1,-5.349460310E0
3.040529583E-1,-1.013186525E0,1.250360994E0,-8.104942560E-1
3.140589583E-1,5.546821526E-1,2.119444204E0,1.588543482E0
3.240649583E-1,7.785098402E-1,1.703850136E0,2.362179229E0
3.340709583E-1,-2.683316207E0,-2.561537708E0,-1.048967099E0
3.440769583E-1,-4.076644839E0,-5.037458146E0,-6.995959055E0
3.540829583E-1,-2.459825099E0,-2.685820861E0,-5.239177145E0
3.640889583E-1,-3.365695336E0,1.884191423E-1,-7.580528592E0
3.740939583E-1,-3.227454879E0,2.440836413E0,-7.891224489E0
3.840999583E-1,-2.438354854E0,1.945458695E0,-5.082352483E0
3.941059583E-1,-2.603795536E0,-1.032704384E0,-3.390029694E0
4.041119583E-1,-3.156798002E0,-3.583134575E0,-3.147003039E0
4.141179583E-1,-4.346552021E0,-4.916782140E0,-8.967746007E-1
4.241239583E-1,-2.834579875E0,-4.401634839E0,-1.318917843E0
4.341299583E-1,-6.598410371E-1,-3.495601757E0,-2.946137148E0
4.441359583E-1,-3.244520563E-1,-2.977291405E0,-2.925069045E0
4.541409583E-1,1.354363957E0,-2.340766141E0,-3.713073741E0
4.641469583E-1,2.725447150E0,-2.547922174E0,3.712854470E0
4.741529167E-1,-4.644704179E0,-2.128733822E0,8.272167665E0
4.841589167E-1,-7.380609950E0,-7.333379066E-1,5.876380979E0
4.941649167E-1,-5.222079887E0,-1.038893516E0,6.520919561E0
5.041709167E-1,-3.994601387E0,-1.023101941E-1,5.238391280E0
5.141769167E-1,-2.592811541E0,2.034117687E0,2.507427574E0
5.241829167E-1,-1.843051144E0,2.357604368E0,2.416390520E0
5.341879167E-1,-2.421999169E0,2.321827886E0,1.532637668E0
5.441939167E-1,-3.220157554E0,2.365614468E0,8.954969841E-1
5.541999167E-1,-4.000625188E0,1.702804508E0,8.574719560E-1
5.642059167E-1,-4.149979448E0,1.945960386E0,3.389309317E-1
5.742119167E-1,-3.436844257E0,2.607965477E0,9.328697553E-1
5.842179167E-1,-2.748527572E0,3.258636911E0,1.719856450E0
