"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.074926376E-3,5.210826314E1,5.092797565E0,3.106636286E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.111292839E-2,5.210826314E1,5.092797565E0,3.107076406E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.111292839E-2,5.210826314E1,5.092797565E0,3.107178211E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
4.637899995E0,5.210826314E1,5.092797565E0,3.107310057E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.041615605E1,5.210824465E1,5.092751747E0,2.479396820E0,0.000000000E0,-1.000000000E0,1.844656284E1,1.844656284E1
1.141615868E1,5.210826703E1,5.092738420E0,2.226589203E0,0.000000000E0,-1.000000000E0,1.555633347E1,1.555633347E1
1.241594565E1,5.210825031E1,5.092742359E0,2.670009613E0,0.000000000E0,-1.000000000E0,1.291691332E1,1.291691332E1
1.341594744E1,5.210827026E1,5.092732133E0,2.206203461E0,0.000000000E0,-1.000000000E0,1.283154269E1,1.283154269E1
1.441595221E1,5.210827550E1,5.092723668E0,2.077480316E0,0.000000000E0,-1.000000000E0,1.126017439E1,1.126017439E1
1.541595256E1,5.210830668E1,5.092649739E0,4.857570648E0,3.100000024E-1,8.753906250E1,1.095395059E1,1.095395059E1
1.641595614E1,5.210833166E1,5.092549659E0,3.380702972E0,3.199999928E-1,2.671875000E2,4.861248834E0,4.861248834E0
1.741595876E1,5.210825509E1,5.092625516E0,3.990139008E0,3.100000024E-1,3.097265625E2,4.376900646E0,4.376900646E0
1.841596270E1,5.210825509E1,5.092625516E0,3.990139076E0,3.100000024E-1,-1.000000000E0,4.777326028E0,4.777326028E0
1.941596150E1,5.210827194E1,5.092652421E0,5.733730384E0,2.199999988E-1,-1.000000000E0,4.856399300E0,4.856399300E0
2.041595387E1,5.210824813E1,5.092637334E0,7.412319251E0,2.500000000E-1,-1.000000000E0,4.947059619E0,4.947059619E0
2.141593289E1,5.210825823E1,5.092677986E0,7.198452063E0,3.000000119E-1,-1.000000000E0,5.039983141E0,5.039983141E0
2.241593480E1,5.210826875E1,5.092652254E0,8.546047279E0,1.700000018E-1,-1.000000000E0,5.088209597E0,5.088209597E0
2.341593981E1,5.210829792E1,5.092687793E0,9.819667883E0,3.000000119E-1,-1.000000000E0,4.783636288E0,4.783636288E0
2.441594434E1,5.210830961E1,5.092677931E0,8.649990204E0,8.299999833E-1,3.589453123E2,5.100906823E0,5.100906823E0
2.541594279E1,5.210831431E1,5.092669269E0,8.625942298E0,1.210000038E0,-1.000000000E0,5.319827396E0,5.319827396E0
2.641594779E1,5.210832173E1,5.092663318E0,8.277797765E0,1.210000038E0,-1.000000000E0,6.169593179E0,6.169593179E0
2.741595304E1,5.210833304E1,5.092684276E0,7.955166042E0,1.190000057E0,4.289063433E1,4.826337216E0,4.826337216E0
2.841595805E1,5.210832340E1,5.092674633E0,8.488796301E0,1.800000072E-1,-1.000000000E0,4.809937805E0,4.809937805E0
2.941596341E1,5.210829967E1,5.092645737E0,8.971706726E0,1.850000024E0,2.183202993E2,5.015650991E0,5.015650991E0
3.041596770E1,5.210830435E1,5.092621349E0,8.782802917E0,1.850000024E0,2.594531041E2,5.140092610E0,5.140092610E0
3.141597223E1,5.210831030E1,5.092623498E0,9.198208097E0,1.490000010E0,2.668359204E2,5.478322835E0,5.478322835E0
3.241597736E1,5.210830852E1,5.092646386E0,8.911159582E0,5.500000119E-1,-1.000000000E0,5.637255154E0,5.637255154E0
