"Time (s)","X (hPa)"
-5.627830833E-1,1.019276505E3
4.682959167E-1,1.019280853E3
1.499416917E0,1.019285278E3
2.530521917E0,1.019287949E3
3.561586917E0,1.019287949E3
3.756137917E0,1.019285889E3
4.820504917E0,1.019285431E3
5.884873917E0,1.019281998E3
6.949248917E0,1.019277878E3
8.013607917E0,1.019273987E3
9.077965917E0,1.019272003E3
1.014230692E1,1.019270096E3
1.120662792E1,1.019270096E3
1.227095092E1,1.019271164E3
1.333525992E1,1.019273529E3
1.439954692E1,1.019273682E3
1.546388092E1,1.019275360E3
1.652819892E1,1.019275360E3
1.759248892E1,1.019274368E3
1.865676892E1,1.019274368E3
1.972105192E1,1.019274368E3
2.078538892E1,1.019269333E3
2.184970592E1,1.019264679E3
2.291401892E1,1.019263458E3
2.397836592E1,1.019258804E3
2.504272992E1,1.019258804E3
2.610712292E1,1.019258728E3
