"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.440341667E-2,1.646771809E-1,-1.275570095E-2,-6.456144691E-2
2.440941667E-2,2.432682909E-2,-1.481643516E-1,-6.712457389E-2
3.441541667E-2,3.002545238E-3,-1.809584606E-1,-3.152467847E-1
4.442041667E-2,-6.283885717E-2,-1.552839214E-1,-3.055953705E-1
5.442641667E-2,1.939492196E-2,-5.067998153E-1,-5.056683791E-1
6.443241666E-2,3.246404097E-1,-1.442199368E0,-5.619691721E-1
7.443841668E-2,8.323599190E-1,-1.244520795E0,-1.073231875E0
8.444341666E-2,8.327426192E-1,-1.036071650E0,-7.081130183E-1
9.444941668E-2,9.231768990E-1,-8.074595511E-2,3.799342391E-1
1.044554167E-1,8.172717637E-1,2.509543097E-1,1.026657633E0
1.144614167E-1,1.017549498E0,4.426599526E-1,1.337093621E0
1.244664167E-1,9.206750947E-1,8.947134572E-1,7.398429340E-1
1.344724167E-1,4.999295562E-1,5.969247043E-1,-6.089880949E-1
1.444784167E-1,2.269556556E-1,-2.679486573E-2,-4.439618352E-1
1.544844167E-1,-2.420314586E-1,-3.182183397E-1,9.222579360E-2
1.644894167E-1,-2.901315317E-1,8.567808151E-2,7.953482133E-1
1.744954167E-1,-9.975620337E-2,6.410208964E-1,1.320143420E0
1.845014167E-1,-2.721878521E-1,7.349593395E-1,9.969096306E-1
1.945074167E-1,-2.599987829E-1,4.735244805E-1,7.129352170E-1
2.045124167E-1,-1.120200438E-1,5.830843449E-2,9.652463731E-1
2.145184167E-1,2.154076239E-1,-2.933454537E-1,1.538249241E0
2.245244167E-1,4.101246195E-1,-4.800517273E-1,1.366302217E0
2.345304167E-1,4.235238065E-1,-6.239967281E-1,6.427493334E-2
2.445354167E-1,5.773368242E-1,-6.779372925E-1,2.033568048E-1
2.545414167E-1,8.887647924E-1,-1.383816090E0,5.951468584E-1
2.645474167E-1,-3.202791908E-1,-2.558984229E0,9.415397143E-1
2.745534167E-1,-1.356118121E0,-2.836811757E0,3.983323862E0
2.845594167E-1,-1.594638035E-1,-2.443941430E0,7.336071709E0
2.945644167E-1,1.128136060E0,-2.339773868E0,4.441537993E0
3.045704167E-1,1.408474967E0,-2.646159782E0,1.448562893E-1
3.145764167E-1,9.520505230E-1,-2.180388710E0,-1.493411037E0
3.245824167E-1,4.761719535E-1,-9.485516953E-1,-1.422568511E0
3.345874167E-1,7.027958527E-2,-2.130889106E-1,-1.379855186E0
3.445934167E-1,-5.096332298E-1,-6.993954045E-1,-2.375604436E0
3.545994167E-1,-5.862854031E-1,-7.781626618E-1,-7.193663941E0
3.646054167E-1,-1.597268989E0,-5.609350920E-2,-8.853573275E0
3.746104167E-1,-9.465456618E-1,4.972355247E-2,-1.901858931E0
3.846164167E-1,4.086548853E-1,9.631995553E-1,-1.740566996E0
3.946224167E-1,1.105030495E0,8.873740321E-1,-4.139823419E0
4.046284167E-1,-1.654345123E0,-1.506284852E0,-7.806626973E0
4.146344167E-1,-2.832845591E0,-3.199684698E0,-1.097888648E1
4.246394167E-1,-7.870568615E-1,-3.087995862E0,-8.943528010E0
4.346454167E-1,1.600950104E-1,-2.482734198E0,-1.671948751E0
4.446514167E-1,1.599787239E0,-3.471971405E-1,1.990471146E0
4.546574167E-1,1.703673550E0,-7.207085055E-1,4.292981293E0
4.646624167E-1,1.494789226E0,-2.896160996E0,9.806567684E0
4.746684167E-1,8.354671293E-1,-2.665125811E0,9.815151397E0
4.846744167E-1,1.135536954E0,-1.762058437E-2,7.361921080E0
4.946804167E-1,2.129426425E0,2.378150899E0,4.362240978E0
5.046854167E-1,2.406505217E0,3.104544652E0,1.649729331E0
5.146914167E-1,1.324870747E0,2.618411821E0,1.343953866E0
5.246974167E-1,-8.735548688E-1,1.623703959E0,1.520878333E0
5.347034167E-1,-2.029195647E0,6.529509705E-1,1.627455533E-1
5.447084167E-1,-1.876059992E0,3.113665724E-1,-8.506751525E-1
5.547144167E-1,-1.431725543E0,9.962567890E-1,-1.553457264E0
5.647204167E-1,-7.277209251E-1,1.206024481E0,-1.331522101E0
5.747264167E-1,9.178722319E-1,7.723259711E-1,-1.324715942E0
5.847314167E-1,3.217387436E0,1.459241078E0,-7.771165949E-1
5.947374167E-1,4.306739207E0,3.184358561E0,2.290325135E-1
6.047434167E-1,3.645695105E0,3.790442929E0,2.047558681E0
6.147494167E-1,3.110724574E0,3.157514579E0,3.297493413E0
6.247554167E-1,3.732347918E0,2.763195312E0,2.950704993E0
6.347604167E-1,3.936101164E0,3.199357254E0,2.109773056E0
6.447664167E-1,3.020410820E0,3.433088590E0,1.490085726E0
6.547724167E-1,1.276109939E0,2.459840010E0,8.051668578E-1
6.647784167E-1,-1.110925366E0,7.570939744E-1,4.583544642E-1
6.747834167E-1,-3.490250385E0,-7.937753123E-1,1.176904178E-1
6.847894167E-1,-4.110663940E0,-1.547742196E0,-2.071890700E0
6.947954167E-1,-4.041006937E0,-7.051853174E-1,-5.531546114E0
7.048014167E-1,-5.296755263E0,1.464370841E-1,-6.346346844E0
7.148064167E-1,-5.943983563E0,-2.114604610E-1,-4.807611115E0
7.248124167E-1,-5.306316630E0,-3.031576663E-1,-1.482724081E0
7.348184167E-1,-3.921070896E0,6.991930908E-1,8.693318635E-1
7.448244167E-1,-1.963811350E0,2.222272316E0,1.257458929E0
7.548294167E-1,-1.238463664E-1,4.282405434E0,2.090198332E0
