"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.440341667E-2,1.304722595E1,-3.302875900E1,-3.104756165E1
2.440941667E-2,1.294406128E1,-3.300487900E1,-3.119374084E1
3.441541667E-2,1.295981598E1,-3.293633270E1,-3.110720825E1
4.442041667E-2,1.283289337E1,-3.287152863E1,-3.129803467E1
5.442641667E-2,1.280384064E1,-3.252043152E1,-3.113743591E1
6.443241666E-2,1.238070679E1,-3.281321716E1,-3.127481079E1
7.443841668E-2,1.223410797E1,-3.275033569E1,-3.119766235E1
8.444341666E-2,1.199973297E1,-3.290238190E1,-3.128347778E1
9.444941668E-2,1.198802185E1,-3.295086288E1,-3.113641357E1
1.044554167E-1,1.201486206E1,-3.317366791E1,-3.124389648E1
1.144614167E-1,1.225045013E1,-3.299994278E1,-3.097685242E1
1.244664167E-1,1.254898834E1,-3.327109146E1,-3.077633667E1
1.344724167E-1,1.305599976E1,-3.332136536E1,-3.061419678E1
1.444784167E-1,1.295689392E1,-3.352515411E1,-3.028820801E1
1.544844167E-1,1.287149811E1,-3.359548950E1,-3.030001831E1
1.644894167E-1,1.273078918E1,-3.376868057E1,-3.038111877E1
1.744954167E-1,1.263912964E1,-3.389205933E1,-3.031137085E1
1.845014167E-1,1.256799316E1,-3.413673782E1,-3.031575012E1
1.945074167E-1,1.245510864E1,-3.403251648E1,-3.005010986E1
2.045124167E-1,1.251617432E1,-3.409488678E1,-2.976936340E1
2.145184167E-1,1.271944427E1,-3.423814011E1,-2.967440796E1
2.245244167E-1,1.303182220E1,-3.459210205E1,-2.947444153E1
2.345304167E-1,1.320739746E1,-3.445906448E1,-2.949421692E1
2.445354167E-1,1.352168274E1,-3.465241241E1,-2.942147827E1
2.545414167E-1,1.414031219E1,-3.436093521E1,-2.908187866E1
2.645474167E-1,1.430877686E1,-3.418855667E1,-2.925027466E1
2.745534167E-1,1.477733612E1,-3.365302277E1,-2.934165955E1
2.845594167E-1,1.587940979E1,-3.327715683E1,-2.961433411E1
2.945644167E-1,1.706496429E1,-3.281404495E1,-2.949632263E1
3.045704167E-1,1.810536194E1,-3.277432632E1,-2.892843628E1
3.145764167E-1,1.898260498E1,-3.253227997E1,-2.846929932E1
3.245824167E-1,1.984804535E1,-3.274256897E1,-2.800273132E1
3.345874167E-1,2.049839020E1,-3.281928253E1,-2.710073853E1
3.445934167E-1,2.070018005E1,-3.313418961E1,-2.679641724E1
3.545994167E-1,2.062623596E1,-3.350580978E1,-2.627165222E1
3.646054167E-1,2.028334045E1,-3.388768387E1,-2.622909546E1
3.746104167E-1,2.007777405E1,-3.387857437E1,-2.620172119E1
3.846164167E-1,1.978372192E1,-3.381294250E1,-2.669436646E1
3.946224167E-1,1.958148956E1,-3.338867950E1,-2.727108765E1
4.046284167E-1,1.925376129E1,-3.302883911E1,-2.783341980E1
4.146344167E-1,1.873091125E1,-3.196641541E1,-2.912306213E1
4.246394167E-1,1.809672546E1,-3.082126045E1,-3.078222656E1
4.346454167E-1,1.779233551E1,-2.920268822E1,-3.201225281E1
4.446514167E-1,1.773134613E1,-2.759450531E1,-3.313287354E1
4.546574167E-1,1.805504608E1,-2.614594460E1,-3.398742676E1
4.646624167E-1,1.837338257E1,-2.534744072E1,-3.459362793E1
4.746684167E-1,1.918017578E1,-2.445416260E1,-3.416392517E1
4.846744167E-1,1.959132385E1,-2.410352707E1,-3.447276306E1
4.946804167E-1,2.024137878E1,-2.412243271E1,-3.418656921E1
5.046854167E-1,2.065393829E1,-2.414880562E1,-3.442175293E1
5.146914167E-1,2.076861572E1,-2.403281975E1,-3.400181580E1
5.246974167E-1,2.064885712E1,-2.431025887E1,-3.410151672E1
5.347034167E-1,2.031907654E1,-2.450371933E1,-3.396809387E1
5.447084167E-1,1.965335083E1,-2.481383133E1,-3.441627502E1
5.547144167E-1,1.859635162E1,-2.523770523E1,-3.451469421E1
5.647204167E-1,1.731342316E1,-2.553730011E1,-3.487800598E1
5.747264167E-1,1.591158295E1,-2.573644257E1,-3.524713135E1
5.847314167E-1,1.417142487E1,-2.597168541E1,-3.597628784E1
5.947374167E-1,1.257828522E1,-2.599280167E1,-3.630097961E1
6.047434167E-1,1.098655701E1,-2.601144028E1,-3.711199951E1
6.147494167E-1,9.733970642E0,-2.628345680E1,-3.756283569E1
6.247554167E-1,8.677711487E0,-2.627623177E1,-3.760385132E1
6.347604167E-1,8.421920776E0,-2.632425880E1,-3.751046753E1
6.447664167E-1,8.075378418E0,-2.640657806E1,-3.769009399E1
6.547724167E-1,8.078826904E0,-2.633717728E1,-3.760975647E1
6.647784167E-1,7.944885254E0,-2.657199669E1,-3.771411133E1
6.747834167E-1,7.618347168E0,-2.651008606E1,-3.769229126E1
6.847894167E-1,7.168685913E0,-2.693489075E1,-3.804048157E1
6.947954167E-1,6.321640015E0,-2.685473251E1,-3.787496948E1
7.048014167E-1,4.821327209E0,-2.683853340E1,-3.814013672E1
7.148064167E-1,3.073410034E0,-2.657746315E1,-3.843197632E1
7.248124167E-1,8.215789795E-1,-2.641823387E1,-3.897923279E1
7.348184167E-1,-1.303604126E0,-2.617089272E1,-3.891561890E1
7.448244167E-1,-3.504638672E0,-2.592599297E1,-3.892295837E1
7.548294167E-1,-5.567901611E0,-2.563942528E1,-3.889959717E1
7.648354167E-1,-7.439010620E0,-2.553267097E1,-3.873814392E1
7.748414167E-1,-8.684646606E0,-2.539039803E1,-3.823771667E1
7.848474167E-1,-9.861839294E0,-2.543082619E1,-3.827217102E1
7.948534167E-1,-1.035866547E1,-2.563664818E1,-3.797160339E1
8.048584167E-1,-1.077977753E1,-2.567412758E1,-3.776043701E1
8.148644167E-1,-1.070210266E1,-2.590103912E1,-3.727110291E1
8.248704167E-1,-1.058148193E1,-2.611326027E1,-3.743304443E1
8.348764167E-1,-1.034738922E1,-2.596035004E1,-3.717965698E1
