"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.419625001E-3,-6.951095123E0,-3.610192566E0,5.827082520E0
1.242662499E-2,-7.366930389E0,-4.415218506E0,5.026098175E0
2.243262499E-2,-7.696395264E0,-5.221441956E0,4.147874451E0
3.243962499E-2,-7.960895233E0,-5.462141418E0,3.175496521E0
4.244562499E-2,-8.405470734E0,-5.087620239E0,2.840193787E0
5.245162500E-2,-8.341403961E0,-4.544998627E0,3.458857269E0
6.245862499E-2,-7.723039856E0,-4.414470062E0,4.701273651E0
7.246462500E-2,-7.355853424E0,-4.916526031E0,5.234464874E0
8.247162499E-2,-7.176077271E0,-5.509892120E0,5.560037842E0
9.247762499E-2,-7.466323700E0,-5.949677582E0,5.978118439E0
1.024846250E-1,-8.218958588E0,-6.409671021E0,6.390510864E0
1.124906250E-1,-8.328680420E0,-6.825206909E0,6.733896790E0
1.224966250E-1,-8.039781189E0,-7.038363647E0,7.502099304E0
1.325036250E-1,-7.823780365E0,-6.640341339E0,7.595654755E0
1.425096250E-1,-7.273524628E0,-5.810616760E0,7.021598511E0
1.525166250E-1,-6.668482819E0,-5.337450714E0,6.536307678E0
1.625226250E-1,-5.722749481E0,-5.099595337E0,8.872349854E0
1.725296250E-1,-5.197641449E0,-4.378245392E0,1.189067322E1
1.825356250E-1,-6.409221954E0,-3.554807739E0,1.050186127E1
1.925416250E-1,-8.113428040E0,-3.963158569E0,7.996670837E0
2.025486250E-1,-8.742869110E0,-4.837191010E0,4.601281586E0
2.125546250E-1,-7.988288269E0,-4.939578094E0,1.996697845E0
2.225616250E-1,-6.618187408E0,-4.036655731E0,9.607022095E-1
2.325676250E-1,-5.537434845E0,-2.911445618E0,1.232686615E0
2.425746250E-1,-5.313051453E0,-2.147733765E0,2.766247559E0
2.525806250E-1,-5.869893494E0,-2.083217926E0,4.593946838E0
2.625866250E-1,-6.386918335E0,-2.481389923E0,4.731510773E0
2.725936250E-1,-6.168971558E0,-2.539319458E0,4.960833893E0
2.825996250E-1,-5.705385590E0,-2.873873749E0,5.018913116E0
2.926066250E-1,-6.033802643E0,-3.880829773E0,4.247118073E0
3.026126250E-1,-6.344107361E0,-4.040098572E0,3.582649841E0
3.126186250E-1,-6.094576263E0,-3.834126892E0,3.573069763E0
3.226256250E-1,-5.848937073E0,-4.202959900E0,3.409609680E0
3.326316250E-1,-5.884413300E0,-4.822222137E0,2.850971375E0
3.426386250E-1,-6.556066589E0,-5.284760284E0,2.217788086E0
3.526446250E-1,-8.585246887E0,-6.288123779E0,1.303788757E0
3.626516250E-1,-1.072968750E1,-7.147187347E0,-1.787283325E-1
3.726576250E-1,-1.161270126E1,-7.480544128E0,-8.518785095E-1
3.826636250E-1,-1.068073929E1,-7.255112915E0,6.526428223E-2
3.926706250E-1,-8.180338898E0,-6.271658020E0,1.034947815E0
4.026766250E-1,-6.351741486E0,-5.439987488E0,1.553918610E0
4.126836250E-1,-5.647755432E0,-4.946912842E0,7.330256653E-1
4.226896250E-1,-8.691675568E0,-5.653593292E0,-1.296154633E0
4.326966250E-1,-1.072564590E1,-6.577921143E0,-1.631607056E-1
4.427026250E-1,-1.081231567E1,-5.896538086E0,9.589059448E-1
4.527086250E-1,-1.020547760E1,-4.404889984E0,2.665656738E0
4.627156250E-1,-9.101822662E0,-2.427352295E0,5.438640289E0
4.727216250E-1,-8.643625488E0,-5.418731689E-1,9.368268585E0
4.827286250E-1,-9.437125397E0,5.071453857E-1,1.168799469E1
4.927342917E-1,-1.036759048E1,2.318678284E-1,9.839788055E0
5.027412917E-1,-1.050156189E1,-1.963916016E-1,5.755830688E0
5.127472917E-1,-9.726773071E0,3.885919189E-1,2.706821136E0
5.227532917E-1,-8.537047119E0,1.394200745E0,1.333576813E0
5.327602917E-1,-7.376061401E0,1.992506561E0,1.430425415E0
5.427662917E-1,-6.850653992E0,1.791773987E0,1.946851501E0
5.527732917E-1,-7.530390472E0,6.122268677E-1,1.905387726E0
5.627792917E-1,-7.953111420E0,-7.547305298E-1,2.163002014E-1
5.727862917E-1,-7.929759979E0,-1.676064606E0,-1.294807434E-1
5.827922917E-1,-7.514224091E0,-2.323318634E0,4.293072510E-1
5.927982917E-1,-6.901697845E0,-2.657723236E0,2.842588806E-1
6.028052917E-1,-6.454877014E0,-3.190615082E0,2.525248718E-1
6.128112917E-1,-6.643484802E0,-3.786825256E0,5.227130127E-1
6.228182917E-1,-6.836732941E0,-4.229305115E0,1.173709259E0
6.328242917E-1,-6.268215179E0,-4.177512817E0,1.539997559E0
6.428312917E-1,-5.737868042E0,-4.255201263E0,1.552870789E0
6.528372917E-1,-6.062542877E0,-5.278323669E0,8.855584717E-1
6.628432917E-1,-8.519234161E0,-6.884333954E0,3.092568970E-1
6.728502917E-1,-9.359137573E0,-7.361391907E0,-4.334985352E-1
6.828562917E-1,-6.853947144E0,-5.712570648E0,-1.556313629E0
6.928632917E-1,-7.324867859E0,-5.613027649E0,-1.998344421E0
7.028692917E-1,-9.439670105E0,-8.631650391E0,-3.908372498E-1
7.128752917E-1,-9.771679688E0,-1.017269577E1,3.439996490E0
7.228822917E-1,-9.937983856E0,-9.405092010E0,1.643282776E0
7.328882917E-1,-8.736582184E0,-8.601113892E0,5.766458588E0
7.428952917E-1,-8.532257080E0,-6.386020203E0,5.711672516E0
7.529012917E-1,-1.010832962E1,-8.322243805E0,2.224823456E0
7.629082917E-1,-1.046922913E1,-1.275781998E1,4.326004028E-2
7.729142917E-1,-9.305399323E0,-1.216011292E1,-2.284848633E0
