"Time (s)","X (hPa)"
-5.465980000E-1,1.019105835E3
4.848870000E-1,1.019110718E3
1.516356000E0,1.019115524E3
2.547810000E0,1.019121780E3
3.579256000E0,1.019163666E3
3.773272000E0,1.019173508E3
4.838032000E0,1.019177246E3
5.902760000E0,1.019188690E3
6.967477000E0,1.019199448E3
8.032218000E0,1.019201508E3
9.096939000E0,1.019201508E3
1.016164600E1,1.019202194E3
1.122631800E1,1.019202957E3
1.229103000E1,1.019202957E3
1.335574000E1,1.019203262E3
1.442043000E1,1.019203262E3
1.548515400E1,1.019203262E3
1.654984200E1,1.019202805E3
1.761455300E1,1.019202423E3
1.867929500E1,1.019202194E3
1.974401400E1,1.019197311E3
2.080875100E1,1.019195023E3
2.187346800E1,1.019188919E3
