"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.617662499E-2,-1.199874282E0,4.193365872E-1,4.649747014E-1
2.618262499E-2,-1.933695793E0,5.577265024E-1,6.345411539E-1
3.618962500E-2,-2.718734264E0,6.035065055E-1,8.104376197E-1
4.619562499E-2,-3.420894146E0,4.168736935E-1,9.525771141E-1
5.620162499E-2,-3.944475651E0,2.220275253E-1,1.022749305E0
6.620862499E-2,-4.267053604E0,7.952082902E-2,1.023686051E0
7.621462499E-2,-4.378887177E0,-6.523102522E-2,9.830446839E-1
8.622162500E-2,-4.280946255E0,-2.305582762E-1,9.907434583E-1
9.622762499E-2,-4.018770218E0,-3.905708492E-1,1.111249566E0
1.062346250E-1,-3.648828506E0,-5.345584154E-1,1.275110960E0
1.162406250E-1,-3.261062145E0,-3.973933458E-1,1.408425927E0
1.262466250E-1,-2.878571510E0,7.295919210E-2,1.446834207E0
1.362536250E-1,-2.559769869E0,7.099487185E-1,1.357974172E0
1.462596250E-1,-2.317424059E0,1.277612448E0,1.182311058E0
1.562666250E-1,-1.857006431E0,1.855606556E0,9.241123199E-1
1.662726250E-1,-9.569717646E-1,2.318668842E0,6.157615185E-1
1.762796250E-1,-9.472580627E-3,2.346022129E0,4.459573328E-1
1.862856250E-1,6.777115464E-1,2.070884943E0,5.850783587E-1
1.962916250E-1,9.193513393E-1,1.613828301E0,9.104146361E-1
2.062986250E-1,7.363861799E-1,1.145241857E0,1.163797259E0
2.163046250E-1,3.018906116E-1,6.770587564E-1,1.163505077E0
2.263116250E-1,-1.392368227E-1,2.985251844E-1,9.240101576E-1
2.363176250E-1,-4.285679758E-1,2.016130239E-1,6.335988045E-1
2.463246250E-1,-5.499782562E-1,4.632807672E-1,4.442770183E-1
2.563306250E-1,-5.955494642E-1,7.320666909E-1,3.127317727E-1
2.663366250E-1,-6.069866419E-1,1.052908659E0,1.734771132E-1
2.763436250E-1,-5.669556260E-1,1.358629704E0,4.725046456E-2
2.863496250E-1,-5.099471807E-1,1.459551454E0,7.282335311E-2
2.963566250E-1,-4.182185829E-1,1.314096808E0,1.848316491E-1
3.063626250E-1,-2.392124683E-1,1.070382476E0,2.538427711E-1
3.163686250E-1,-3.948418051E-2,7.931579351E-1,1.985630095E-1
3.263756250E-1,7.004620135E-2,5.545947552E-1,5.629254133E-2
3.363816250E-1,-8.284290321E-3,5.656588674E-1,-4.577763379E-2
3.463886250E-1,-3.125944436E-1,7.453380227E-1,5.140723661E-2
3.563946250E-1,-7.538094521E-1,7.218263149E-1,3.306151628E-1
