"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.133458343E-3,-4.940176849E0,5.010380859E0,5.305417328E0
1.213945834E-2,-4.754413147E0,4.339326324E0,4.577630768E0
2.214645833E-2,-4.201313324E0,4.549189911E0,4.032614136E0
3.215245834E-2,-4.349205780E0,4.628824310E0,4.996160431E0
4.215845834E-2,-4.120930481E0,4.353546753E0,6.116879883E0
5.216445834E-2,-4.339775391E0,4.162094879E0,5.519621887E0
6.217045833E-2,-4.102219391E0,4.470603333E0,6.544540558E0
7.217645834E-2,-3.534150696E0,4.630470886E0,6.769522705E0
8.218245834E-2,-2.603984985E0,3.552562408E0,5.964496765E0
9.218845834E-2,-1.473685455E0,3.165766754E0,4.445006561E0
1.021954583E-1,-1.575922852E0,4.098477173E0,5.916446686E0
1.122014583E-1,-1.424886932E0,3.895349579E0,6.460565186E0
1.222074583E-1,-1.430575104E0,2.420616302E0,6.718179474E0
1.322134583E-1,-1.032403107E0,1.560355225E0,8.459059296E0
1.422194583E-1,3.031196594E-1,1.423689423E0,9.741741943E0
1.522254583E-1,3.981719971E-1,7.047344971E-1,1.052461395E1
1.622314583E-1,-1.547781372E-1,8.077203369E-1,1.054542068E1
1.722384583E-1,-6.728507996E-1,1.164877625E0,1.102966370E1
1.822444583E-1,-1.040037231E0,5.322930908E-1,1.094164673E1
1.922504583E-1,-9.684860229E-1,-1.558109894E0,6.878346405E0
2.022564583E-1,-3.924838257E-1,-3.036286011E0,1.057790314E1
2.122624583E-1,1.252595215E0,-2.452649689E0,1.441846664E1
2.222684583E-1,2.108814697E0,-2.194137268E0,1.515613266E1
2.322744583E-1,1.832040253E0,-3.693269806E0,1.349533630E1
2.422804583E-1,1.392703857E0,-5.112169189E0,1.327709015E1
2.522874583E-1,2.395019531E-2,-4.633614349E0,1.574396027E1
2.622934583E-1,-2.565065918E0,-2.725232849E0,1.728276031E1
2.722994583E-1,-4.997507629E0,-7.469467163E-1,1.596639771E1
2.823054583E-1,-6.841522980E0,1.363065491E0,1.481394424E1
2.923114583E-1,-6.486611023E0,1.333726501E0,1.559157715E1
3.023174583E-1,-4.315675507E0,-3.206332397E-1,1.555699905E1
3.123234583E-1,-3.025059357E0,-6.301895142E-2,1.284074753E1
3.223304583E-1,-3.115770721E0,8.101153564E-1,1.134685410E1
3.323364583E-1,-3.045117645E0,1.951042786E0,1.147633484E1
3.423424583E-1,-3.261717224E0,2.830014954E0,1.072684341E1
3.523484583E-1,-3.832330627E0,2.109114075E0,7.032525787E0
3.623544583E-1,-5.074896698E0,2.401605835E0,-4.445455627E0
3.723604583E-1,-4.195774841E0,7.549400940E0,-1.079375427E1
3.823664583E-1,-3.815715179E0,6.728807373E0,-2.967878265E0
3.923724583E-1,-4.988226929E0,1.112037506E0,2.674488373E0
4.023794583E-1,-3.290158081E0,3.222798157E-1,3.257076874E0
4.123854583E-1,-3.626957703E0,-1.853146362E0,2.658172302E0
4.223914583E-1,-5.563031616E0,-3.981869659E0,1.457818451E0
4.323974583E-1,-6.654861145E0,-2.766097870E0,2.508034515E0
4.424034583E-1,-2.663710785E0,-1.992506561E0,4.649780731E0
4.524094583E-1,7.411088562E-1,-1.588646393E0,9.164542236E0
4.624154583E-1,1.014889526E0,-2.312690735E-1,1.115749786E1
4.724224583E-1,-1.171314240E0,2.520758057E-1,1.038929535E1
4.824284583E-1,-3.757186890E0,-1.053658905E0,1.086710175E1
4.924344583E-1,-5.579197998E0,-2.603984985E0,9.706415405E0
5.024404583E-1,-7.533833313E0,-4.254452820E0,7.217091980E0
5.124464583E-1,-8.913364563E0,-5.545817413E0,4.912035370E0
5.224524583E-1,-9.920769653E0,-5.995033264E0,2.856060791E0
5.324584583E-1,-1.139415573E1,-5.343138885E0,1.113384705E0
5.424644583E-1,-1.192255692E1,-3.738326111E0,1.138831787E0
5.524714583E-1,-1.151255951E1,-2.658621368E0,2.773133240E0
5.624774583E-1,-1.109373047E1,-2.455643463E0,4.577032013E0
5.724834583E-1,-1.144654678E1,-3.532803497E0,5.934858398E0
5.824894583E-1,-1.253942413E1,-4.724475403E0,6.823859711E0
5.924954583E-1,-1.305824524E1,-4.522395630E0,7.234755249E0
6.025014583E-1,-1.261756165E1,-3.743714905E0,7.086264038E0
6.125074583E-1,-1.202359680E1,-3.320844269E0,6.831942902E0
6.225144583E-1,-1.217133957E1,-3.126997375E0,5.810467072E0
6.325204583E-1,-1.250095413E1,-3.545527039E0,5.886209564E0
6.425264583E-1,-1.321526871E1,-4.508175201E0,5.697152710E0
6.525324583E-1,-1.351030518E1,-4.304748230E0,4.720284119E0
6.625384583E-1,-1.265767822E1,-4.262386322E0,5.884263611E0
6.725444583E-1,-1.072115524E1,-3.674708405E0,6.400689697E0
6.825504583E-1,-9.574988708E0,-2.720143433E0,6.470744019E0
6.925574583E-1,-9.174571381E0,-2.596201172E0,6.537804565E0
7.025634583E-1,-8.774004364E0,-2.184557190E0,5.492677917E0
7.125694583E-1,-8.124654694E0,-1.482068024E0,4.585414581E0
7.225754583E-1,-7.887996826E0,-1.151255951E0,4.772525482E0
7.325814583E-1,-7.868237915E0,-1.364263000E0,5.710624695E0
7.425874583E-1,-7.505841522E0,-1.432521057E0,6.436614990E0
7.525934583E-1,-6.236181793E0,-1.222058716E0,6.703959045E0
7.625994583E-1,-4.715943146E0,-1.514251099E0,7.981552277E0
7.726070417E-1,-3.946094055E0,-1.583856354E0,1.046967819E1
7.826130417E-1,-4.437522125E0,1.216969299E-1,9.184899902E0
7.926190417E-1,-5.779331818E0,7.653584290E-1,7.534881134E0
8.026250417E-1,-7.653733978E0,-3.498225403E-1,5.217250671E0
8.126310417E-1,-8.451724548E0,-2.365830231E0,2.098186798E0
8.226370417E-1,-8.327782288E0,-4.708907776E0,-1.200503540E0
8.326430417E-1,-8.180787964E0,-4.906945953E0,-3.326981506E0
8.426500417E-1,-8.953331451E0,-5.083129578E0,-2.663860474E0
8.526560417E-1,-1.113549362E1,-6.463109894E0,-3.236270142E-1
8.626620417E-1,-1.221819214E1,-6.873107300E0,5.066963196E-1
8.726680417E-1,-1.188034470E1,-6.384523315E0,1.807042236E0
8.826740417E-1,-1.106663681E1,-5.542823639E0,2.382745056E0
8.926800417E-1,-1.010788055E1,-4.353696442E0,2.518961792E0
9.026860417E-1,-9.624685364E0,-3.849993896E0,2.113455048E0
9.126920417E-1,-9.997260590E0,-4.831652527E0,1.443148956E0
9.226990417E-1,-1.151136200E1,-6.592890015E0,6.839277649E-1
9.327050417E-1,-1.318742661E1,-7.253616028E0,-1.559157715E0
9.427110417E-1,-1.506257721E1,-7.944429474E0,-3.398682404E0
9.527170417E-1,-1.902199356E1,-9.385931854E0,-3.491190033E0
9.627230417E-1,-2.516012924E1,-1.190549240E1,-1.234033813E0
9.727290417E-1,-2.214749405E1,-9.413773956E0,3.484753418E-1
9.827350417E-1,-9.707912292E0,-1.877096558E0,3.256627808E0
9.927410417E-1,2.929408264E0,3.428769836E0,3.920048218E0
1.002748042E0,8.137976990E0,2.655926971E0,-2.835703125E0
1.012754042E0,4.401147766E0,-2.797233124E0,-9.660910034E0
1.022760042E0,7.529342651E-2,-5.055886230E0,-8.977581024E0
1.032766042E0,-1.381028137E0,-2.353256378E0,-5.857319641E0
1.042772042E0,-3.212020569E0,-5.882766724E-1,-3.450774078E0
1.052778042E0,-5.896089020E0,-6.938072205E-1,-1.602268066E0
1.062784042E0,-8.269104309E0,-5.004093933E-1,1.074016571E0
1.072791042E0,-9.873468018E0,-3.246748352E-1,3.684438171E0
1.082797042E0,-1.046967819E1,4.022135925E-1,5.489235077E0
1.092803042E0,-1.103026245E1,1.272653503E0,6.298152924E0
1.102809042E0,-1.202569244E1,2.187101898E0,4.863386536E0
1.112815042E0,-7.420668640E0,4.988376617E0,5.647905121E0
1.122821042E0,-7.815098419E0,2.017055511E0,5.446274414E0
1.132827042E0,-8.589737549E0,-1.237027588E0,7.318281555E0
1.142834042E0,-5.411696320E0,-2.142943726E0,8.195607147E0
1.152840042E0,-5.215304718E0,-3.239563293E0,2.378703461E0
1.162846042E0,-4.954996033E0,-5.899232483E0,-4.013004913E0
1.172852042E0,-5.582491150E0,-7.674840088E0,-6.910080414E0
1.182858042E0,-6.409521332E0,-1.210038712E1,-6.940916290E0
1.192864042E0,-6.752607880E0,-1.498488876E1,-7.523055725E0
1.202870042E0,-5.209317169E0,-1.430290695E1,-6.782845001E0
1.212876042E0,-3.745211792E0,-1.171134613E1,-6.385571136E0
1.222883042E0,-3.890260162E0,-8.631650391E0,-1.350192261E0
