"Time (s)","X (hPa)"
-5.221752083E-1,1.019214935E3
5.085217917E-1,1.019218292E3
1.539222792E0,1.019221649E3
2.569888792E0,1.019233017E3
3.600614792E0,1.019236298E3
3.795733792E0,1.019236298E3
4.859693792E0,1.019240875E3
5.923618792E0,1.019240875E3
6.987543792E0,1.019242096E3
8.051512792E0,1.019247131E3
9.115456792E0,1.019247589E3
1.017937779E1,1.019254379E3
1.124332779E1,1.019257355E3
1.230723779E1,1.019260406E3
1.337116579E1,1.019265671E3
1.443511879E1,1.019267654E3
1.549911179E1,1.019274139E3
1.656306779E1,1.019276199E3
1.762701379E1,1.019284668E3
1.869095779E1,1.019285889E3
1.975489879E1,1.019292068E3
2.081885179E1,1.019298172E3
2.188281779E1,1.019304276E3
2.294681379E1,1.019309082E3
2.401077879E1,1.019309082E3
2.507474079E1,1.019305344E3
2.613873679E1,1.019292679E3
