"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.338945834E-2,4.146237230E-1,-3.816226226E-1,-2.714092734E0
2.339645833E-2,7.206757611E-1,8.320763290E-2,-3.081424177E0
3.340245834E-2,3.345940518E-1,-6.383580744E-2,-1.509768038E0
4.340845834E-2,4.129116583E-1,-1.623134440E-1,-1.732027722E0
5.341445834E-2,-6.682198048E-3,-1.061597085E-1,-1.823116232E0
6.342045833E-2,2.112040606E-1,4.218225226E-1,-1.087382137E0
7.342645833E-2,6.104019517E-1,2.797182253E-1,-1.457551818E0
8.343245834E-2,1.381627477E0,-6.903430375E-1,-2.944878827E0
9.343845834E-2,1.889107323E0,-2.830613708E-1,-3.867619159E0
1.034454583E-1,1.246984519E0,7.593594781E-1,-2.242580865E0
1.134514583E-1,1.305349964E0,1.075145084E-1,-2.538958100E0
1.234574583E-1,8.499416193E-1,-1.121952630E0,-1.664847307E0
1.334634583E-1,1.718130206E0,-1.253753841E0,-1.655194724E-1
1.434694583E-1,2.640251171E0,-1.394084385E0,9.319689918E-1
1.534754583E-1,2.432743428E0,-1.673541825E0,1.251616391E0
1.634814583E-1,2.074315540E0,-1.011745771E0,1.398734676E0
1.734884583E-1,1.858885112E0,-7.138750108E-1,1.917189746E0
1.834944583E-1,1.904254535E0,-1.628022274E0,6.595267493E-1
1.935004583E-1,2.261213018E0,-3.776049423E0,-2.206847361E0
2.035064583E-1,3.097315739E0,-4.135116411E0,3.292913289E0
2.135124583E-1,4.633873381E0,-3.178235942E0,5.677542903E0
2.235184583E-1,4.867538351E0,-3.429570905E0,5.328253629E0
2.335244583E-1,4.354615039E0,-5.108122332E0,3.627608498E0
2.435304583E-1,3.736726605E0,-5.768074173E0,4.580361418E0
2.535374583E-1,1.721572023E0,-4.569666568E0,7.252731344E0
2.635434583E-1,-8.096885097E-1,-2.566769504E0,7.586326107E0
2.735494583E-1,-2.933227958E0,-6.746018945E-1,5.984880744E0
2.835554583E-1,-3.904101399E0,9.528169468E-1,5.710111894E0
2.935614583E-1,-2.293040582E0,-5.224131967E-1,6.768487163E0
3.035674583E-1,2.618082038E-1,-1.669666582E0,5.857358817E0
3.135734583E-1,1.224049108E0,-1.397418467E0,3.129065536E0
3.235804583E-1,1.565161636E0,-5.758713658E-1,3.113138305E0
3.335864583E-1,1.976292232E0,3.120015800E-1,2.912974080E0
3.435924583E-1,2.150158020E0,7.027451281E-1,2.953142697E0
3.535984583E-1,1.868470160E0,-5.773346315E-1,-5.003234977E0
3.636044583E-1,1.167624646E0,1.759631550E0,-1.470687939E1
3.736104583E-1,2.733683830E0,6.275335919E0,-1.684714977E1
3.836164583E-1,1.794690578E0,1.953746684E0,-6.482453653E0
3.936224583E-1,1.777016199E0,-1.734969310E0,-4.421949236E0
4.036294583E-1,3.128554489E0,-2.161973050E0,-3.993861129E0
4.136354583E-1,2.065185698E0,-4.842780948E0,-5.300251898E0
4.236414583E-1,-4.677328134E-1,-5.504618517E0,-5.968644780E0
4.336474583E-1,5.869557863E-1,-3.556777081E0,-4.415688622E0
4.436534583E-1,5.095196477E0,-3.056881074E0,-1.341981601E0
4.536594583E-1,7.321851865E0,-1.859480359E0,2.833958316E0
4.636654583E-1,6.692501426E0,-2.318654895E-1,3.304675548E0
4.736724583E-1,4.168248489E0,-1.027238846E-1,3.078550855E0
4.836784583E-1,2.107285066E0,-1.289794031E0,3.491297622E0
4.936844583E-1,4.204112971E-1,-2.509187294E0,1.670362986E0
5.036904583E-1,-1.323540067E0,-3.822134545E0,-6.500156683E-1
5.136964583E-1,-2.368684841E0,-4.542760897E0,-2.731657185E0
5.237024583E-1,-3.597604680E0,-4.406332785E0,-4.757581168E0
5.337084583E-1,-4.928588253E0,-3.029614338E0,-5.940874599E0
5.437144583E-1,-5.061323556E0,-1.199313485E0,-5.143559967E0
5.537214583E-1,-4.625315981E0,-2.066262755E-1,-3.346063310E0
5.637274583E-1,-4.512095760E0,-1.353946173E-1,-1.647507974E0
5.737334583E-1,-5.318135607E0,-1.290196905E0,-4.741992491E-1
5.837394583E-1,-6.395997307E0,-1.750023405E0,3.347221059E-1
5.937454583E-1,-6.543975717E0,-9.639187628E-1,5.857319641E-1
6.037514583E-1,-5.856905658E0,-1.425200343E-2,5.248723894E-1
6.137574583E-1,-5.443660709E0,4.437568903E-1,3.384450281E-1
6.237644583E-1,-5.510047656E0,8.778708449E-1,-4.681848031E-1
6.337704583E-1,-5.974295529E0,1.412582052E-1,4.793418753E-1
6.437764583E-1,-6.371629620E0,-1.631887722E-1,-1.817677152E-1
6.537824583E-1,-6.259879974E0,2.523716748E-1,-1.181137562E-4
6.637884583E-1,-4.642065330E0,3.618227810E-1,1.538238131E0
6.737944583E-1,-2.686463470E0,1.371831344E0,1.972301800E0
6.838004583E-1,-1.761654979E0,2.006889835E0,2.495161285E0
6.938074583E-1,-1.276472905E0,2.141686867E0,2.511902156E0
7.038134583E-1,-5.957014668E-1,2.753802930E0,1.664136871E0
7.138194583E-1,7.549632490E-2,3.398890857E0,1.428542319E0
7.238254583E-1,2.759686983E-1,3.468777071E0,2.300004908E0
7.338314583E-1,4.485668099E-1,3.189671634E0,3.490588647E0
7.438374583E-1,1.240460488E0,3.202936919E0,4.265009383E0
7.538434583E-1,2.805738484E0,3.271725611E0,4.704088208E0
7.638494583E-1,4.260503519E0,2.700688869E0,7.104534833E0
7.738570417E-1,4.603564923E0,3.249246283E0,8.578930140E0
7.838630417E-1,3.762768642E0,4.934322617E0,6.533437280E0
7.938690417E-1,2.212851866E0,4.641191756E0,5.162427762E0
8.038750417E-1,6.056926042E-1,3.240779514E0,2.357200910E0
8.138810417E-1,2.971139842E-1,6.330374005E-1,-8.003715563E-1
8.238870417E-1,5.882398349E-1,-9.523465383E-1,-3.889615799E0
8.338930417E-1,4.937587702E-1,-8.865057206E-1,-5.206043898E0
8.439000417E-1,-8.718075746E-1,-1.575366197E0,-3.404428462E0
8.539060417E-1,-2.955099760E0,-2.888884721E0,-1.651502207E0
8.639120417E-1,-3.326535364E0,-2.791934085E0,-6.546121645E-1
8.739180417E-1,-2.773495182E0,-2.173982500E0,7.245045179E-1
