"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.497197151E-2,5.210826314E1,5.092797565E0,3.478946447E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
1.497197151E-2,5.210826314E1,5.092797565E0,3.150141478E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
8.857929707E-1,5.210826314E1,5.092797565E0,3.123495340E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
2.735568047E0,5.210826314E1,5.092797565E0,3.112318993E0,-1.000000000E0,-1.000000000E0,1.065589550E1,1.065589550E1
5.516124725E0,5.210823972E1,5.092751366E0,2.329860837E0,1.019999981E0,8.753907424E1,1.416636278E1,1.416636278E1
6.516093612E0,5.210823782E1,5.092749819E0,2.715663977E0,0.000000000E0,-1.000000000E0,1.359354693E1,1.359354693E1
7.516095877E0,5.210824281E1,5.092756944E0,2.984279701E0,4.300000072E-1,-1.000000000E0,1.213891987E1,1.213891987E1
8.516101956E0,5.210824759E1,5.092758117E0,3.400600500E0,0.000000000E0,-1.000000000E0,1.327949185E1,1.327949185E1
9.516103268E0,5.210825362E1,5.092761219E0,3.796901771E0,2.300000042E-1,-1.000000000E0,1.140055369E1,1.140055369E1
1.051610553E1,5.210826414E1,5.092764571E0,4.064418860E0,2.300000042E-1,-1.000000000E0,9.058166068E0,9.058166068E0
1.151611388E1,5.210827487E1,5.092757950E0,5.292812415E0,4.099999964E-1,-1.000000000E0,8.513382725E0,8.513382725E0
1.251611960E1,5.210828329E1,5.092754848E0,4.951686926E0,1.599999964E-1,-1.000000000E0,8.227017381E0,8.227017381E0
1.351612139E1,5.210828795E1,5.092744622E0,5.763698643E0,4.099999964E-1,-1.000000000E0,8.045829247E0,8.045829247E0
1.451612961E1,5.210829306E1,5.092738587E0,6.016201085E0,3.899999857E-1,-1.000000000E0,7.433375234E0,7.433375234E0
1.551613510E1,5.210830064E1,5.092733391E0,6.910793371E0,2.099999934E-1,-1.000000000E0,7.275666576E0,7.275666576E0
1.651614177E1,5.210830949E1,5.092727607E0,8.105373450E0,3.000000119E-1,-1.000000000E0,6.586375043E0,6.586375043E0
1.751614761E1,5.210831607E1,5.092721321E0,9.213954992E0,1.800000072E-1,-1.000000000E0,5.897314217E0,5.897314217E0
1.851615012E1,5.210831984E1,5.092711682E0,1.072713859E1,3.000000119E-1,-1.000000000E0,5.600052013E0,5.600052013E0
1.951614928E1,5.210832315E1,5.092705060E0,1.149093253E1,3.300000131E-1,-1.000000000E0,5.480887824E0,5.480887824E0
2.051615393E1,5.210834266E1,5.092692114E0,1.287081545E1,1.139999986E0,3.360937447E2,5.353971415E0,5.353971415E0
2.151616240E1,5.210835186E1,5.092695566E0,1.253292476E1,6.899999976E-1,3.515625488E-1,5.704247361E0,5.704247361E0
2.251616859E1,5.210827640E1,5.092780346E0,2.167229764E0,1.889529647E-1,-1.000000000E0,1.014582804E1,1.014582804E1
2.351617455E1,5.210827000E1,5.092773741E0,2.123880342E0,1.292330546E-1,-1.000000000E0,1.237589314E1,1.237589314E1
2.451618087E1,5.210828930E1,5.092816467E0,2.183140994E0,5.749696401E-1,-1.000000000E0,9.612856911E0,9.612856911E0
2.551618791E1,5.210829541E1,5.092828932E0,2.155269964E0,6.646921873E-1,-1.000000000E0,1.181406078E1,1.181406078E1
2.651619291E1,5.210827969E1,5.092756184E0,2.196342379E0,6.141022318E-1,-1.000000000E0,1.060028170E1,1.060028170E1
2.751619780E1,5.210828154E1,5.092750649E0,2.154824541E0,5.744536806E-1,-1.000000000E0,1.301434725E1,1.301434725E1
2.851620412E1,5.210828358E1,5.092746255E0,2.121884565E0,5.191701727E-1,-1.000000000E0,1.607542201E1,1.607542201E1
