"Time (s)","X (hPa)"
-5.553649167E-1,1.020360184E3
4.465790833E-1,1.020357208E3
1.448505083E0,1.020358658E3
2.450452083E0,1.020358658E3
3.452407083E0,1.020365295E3
4.454366083E0,1.020368652E3
5.004180083E0,1.020377426E3
6.005908083E0,1.020378189E3
7.007854083E0,1.020379333E3
8.009781083E0,1.020381546E3
9.011728083E0,1.020381546E3
1.001365208E1,1.020378189E3
1.101557908E1,1.020377426E3
1.201751408E1,1.020375290E3
1.301945708E1,1.020373306E3
1.402141108E1,1.020371094E3
1.502332608E1,1.020369797E3
1.602520808E1,1.020366135E3
1.702718008E1,1.020364151E3
1.802908508E1,1.020360336E3
1.903104508E1,1.020359421E3
2.003299208E1,1.020359039E3
2.103492108E1,1.020359039E3
2.203683108E1,1.020359573E3
2.303878508E1,1.020362244E3
2.404071608E1,1.020362244E3
2.504284808E1,1.020357666E3
