"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.972166669E-3,1.870510254E0,1.777852936E0,7.355853424E0
1.199216667E-2,1.618733826E0,1.455423431E0,7.635771332E0
2.201116667E-2,1.719474335E0,9.442364502E-1,8.427325287E0
3.203016667E-2,1.956431580E0,2.290237427E-1,9.172775116E0
4.205016667E-2,1.977088623E0,-1.859133911E-1,9.829758911E0
5.206916667E-2,1.669478302E0,-1.736389160E-1,1.032148636E1
6.208816667E-2,1.347946930E0,3.061134338E-1,1.045276337E1
7.210816667E-2,1.071920929E0,9.246272278E-1,1.019919067E1
8.212716666E-2,8.406518555E-1,1.458866272E0,9.977351990E0
9.214616667E-2,7.632627869E-1,1.772464142E0,9.832153931E0
1.021661667E-1,9.072633362E-1,1.484163666E0,9.663305054E0
1.121851667E-1,1.139280853E0,9.843530273E-1,9.511670380E0
1.222041667E-1,1.483415222E0,4.090992737E-1,9.020990753E0
1.322231667E-1,1.906136169E0,-1.904040527E-1,8.419242096E0
1.422431667E-1,2.114802246E0,-3.005749512E-1,8.426726532E0
1.522621667E-1,2.193688202E0,-5.598358154E-2,8.808133392E0
1.622811667E-1,2.233056335E0,5.002597046E-1,9.094188538E0
1.723011667E-1,2.296224976E0,1.240021362E0,9.585167542E0
1.823201667E-1,1.754651184E0,1.650916901E0,9.681118011E0
1.923391667E-1,9.415420532E-1,1.571432190E0,9.443861389E0
2.023591667E-1,-3.436853027E-1,5.668711853E-1,1.004156845E1
2.123781667E-1,-8.951385498E-1,-1.228944397E0,1.198722244E1
2.223971667E-1,-8.337661743E-1,-2.502346344E0,1.391281815E1
2.324161667E-1,-9.339079285E-1,-2.975362701E0,1.435110672E1
2.424361667E-1,-3.772155762E-1,-3.119063873E0,1.378992371E1
2.524551667E-1,6.390211487E-1,-3.268004150E0,1.288251068E1
2.624741667E-1,9.987231445E-1,-3.042572937E0,1.166898422E1
2.724941667E-1,8.485853577E-1,-2.498155060E0,1.060679306E1
2.825131667E-1,5.185217285E-1,-1.562899933E0,1.020158569E1
2.925321667E-1,-1.787283325E-1,-1.234183502E0,9.631720734E0
3.025521667E-1,-3.495231628E-1,-1.770368500E0,9.595945129E0
3.125711667E-1,-1.248403931E-1,-1.939367065E0,9.239985352E0
3.225901667E-1,2.290237427E-2,-2.254162445E0,7.454498291E0
3.326091667E-1,1.011895752E-1,-3.487597504E0,5.797593842E0
3.426291667E-1,1.323697357E0,-3.416046295E0,5.870641937E0
3.526481667E-1,2.183958435E0,-3.070864105E0,6.766379242E0
3.626671667E-1,2.953657837E0,-3.110381927E0,8.114625549E0
3.726871667E-1,3.205583954E0,-2.962938538E0,9.463320923E0
3.827061667E-1,2.584226074E0,-2.873574371E0,6.541846161E0
3.927251667E-1,2.261197815E0,-3.325484619E0,2.409090271E0
4.027451667E-1,2.371518402E0,-2.970422974E0,7.511829071E0
4.127641667E-1,6.683601379E-1,-1.134640503E0,9.080117798E0
4.227831667E-1,-2.011816406E0,-1.106349335E0,9.349557495E0
4.328031667E-1,-2.387834473E0,-1.987866211E0,1.149848877E1
4.428221667E-1,-1.738933868E0,-3.082689514E0,1.159653488E1
4.528411667E-1,-1.052162018E0,-5.024451599E0,8.762927399E0
4.628601667E-1,-4.258644104E-1,-5.407804413E0,1.094119766E1
4.728801667E-1,2.196532288E0,-4.692591705E0,1.024170227E1
4.828991667E-1,4.353247375E0,-3.891757050E0,8.243806915E0
4.929181667E-1,2.191891937E0,-3.063080292E0,7.886949005E0
5.029381667E-1,4.805007935E-2,-3.065924377E0,7.542066193E0
5.129571667E-1,7.238946533E-1,-3.486699371E0,6.378535767E0
5.229761667E-1,1.506317596E0,-4.541106720E0,4.268972626E0
5.329961667E-1,1.273252258E0,-4.409979401E0,3.366649017E0
5.430151667E-1,2.128573608E-1,-2.807262268E0,5.260810089E0
5.530341667E-1,-1.825004883E0,-1.246308289E0,7.905061340E0
5.630541667E-1,-4.221072235E0,3.444337463E-1,1.743349686E1
5.730731667E-1,-6.272406464E0,-1.260379028E0,2.328138611E1
5.830921667E-1,-6.989864502E0,-4.171225891E0,1.794064224E1
5.931111667E-1,-3.687282257E0,-3.133883057E0,1.112411728E1
6.031311667E-1,-1.909579010E0,-3.964954834E0,1.008452911E1
6.131501667E-1,-1.038690033E0,-7.812703400E0,9.720785522E0
6.231691667E-1,-2.896925812E0,-8.094417572E0,9.103169861E0
6.331891667E-1,-3.143014069E0,-7.690407715E0,7.493866425E0
6.432081667E-1,-2.413431244E0,-6.990014191E0,6.552174683E0
6.532271667E-1,-2.824626160E0,-4.938679962E0,4.800367584E0
6.632471667E-1,-2.667752380E0,-2.717299347E0,3.281775513E0
6.732661667E-1,-2.200424194E0,-1.358275452E0,2.539768524E0
6.832851667E-1,-2.271825714E0,-1.132095795E0,2.668351135E0
6.933051667E-1,-2.825823669E0,-1.755249939E0,7.937992859E0
7.033241667E-1,-2.818189545E0,-3.946243744E0,1.239557327E1
7.133432083E-1,-1.375339966E0,-4.662653961E0,9.977202301E0
7.233632083E-1,1.831591187E0,-1.600022736E0,4.809498596E0
7.333822083E-1,-6.586303711E-1,-2.824925537E0,4.665947113E0
7.434012083E-1,-2.653082886E0,-6.487958221E0,4.265380096E0
7.534202083E-1,-1.910626831E0,-9.232949982E0,2.481838989E0
7.634402083E-1,-1.704355774E0,-8.997339935E0,2.274520111E0
