"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.324416666E-2,-4.946794510E-1,6.623880267E-1,-3.322547674E-2
2.326316667E-2,-5.348185301E-1,7.450233698E-1,-1.191227362E-1
3.328216667E-2,-4.993902147E-1,7.666503191E-1,-2.369231433E-1
4.330216667E-2,-4.313267469E-1,7.078691721E-1,-3.353697062E-1
5.332116667E-2,-3.880306780E-1,5.528873205E-1,-3.778244853E-1
6.334016667E-2,-4.140260220E-1,3.809687495E-1,-3.208270371E-1
7.336016667E-2,-4.939724803E-1,2.529979944E-1,-1.878940016E-1
8.337916667E-2,-6.093729734E-1,1.442751884E-1,1.662698761E-2
9.339816667E-2,-7.251358032E-1,6.103969365E-2,2.255999148E-1
1.034181667E-1,-8.222232461E-1,1.013146900E-2,3.658483028E-1
1.134371667E-1,-9.026775956E-1,7.653986104E-4,4.071422219E-1
1.234561667E-1,-9.721412063E-1,9.798189998E-2,3.448974192E-1
1.334751667E-1,-1.038528085E0,2.514097989E-1,2.511269748E-1
1.434951667E-1,-1.082462668E0,3.719373941E-1,1.799727231E-1
1.535141667E-1,-1.085791111E0,4.910403490E-1,1.549291462E-1
1.635331667E-1,-1.090399981E0,5.121542811E-1,1.720053554E-1
1.735531667E-1,-1.084101081E0,5.885811448E-1,2.417809814E-1
1.835721667E-1,-1.068141341E0,8.660733104E-1,3.818231523E-1
1.935911667E-1,-1.110397220E0,1.177780032E0,6.114605665E-1
2.036111667E-1,-1.298391581E0,1.290749192E0,8.159505725E-1
2.136301667E-1,-1.639197469E0,5.558769703E-1,9.179107547E-1
2.236491667E-1,-2.015668869E0,-3.541417718E-1,9.074609280E-1
2.336681667E-1,-2.343372107E0,-9.990577102E-1,7.766067982E-1
2.436881667E-1,-2.511451960E0,-1.319841981E0,4.937539399E-1
2.537071667E-1,-2.424601555E0,-1.271786809E0,1.037622318E-1
2.637261667E-1,-2.090907097E0,-8.045618534E-1,-2.748619020E-1
2.737461667E-1,-1.590984344E0,-2.944781482E-1,-6.865336299E-1
2.837651667E-1,-1.059508085E0,-7.706703991E-2,-1.119850993E0
2.937841667E-1,-5.838230848E-1,-2.703166604E-1,-1.340142012E0
3.038041667E-1,-1.914210171E-1,-8.041349649E-1,-1.239120364E0
3.138231667E-1,1.210601777E-1,-1.166276693E0,-7.859973907E-1
3.238421667E-1,3.152740002E-1,-8.984263539E-1,-3.339163028E-3
3.338611667E-1,4.011233747E-1,-2.666768730E-1,6.491262317E-1
3.438811667E-1,3.406480253E-1,4.358403087E-1,9.828756452E-1
3.539001667E-1,1.924891919E-1,1.041971207E0,9.107868075E-1
3.639191667E-1,8.575775474E-2,8.409786224E-1,4.953162968E-1
3.739391667E-1,8.623712510E-2,6.330294013E-1,2.181319892E-2
3.839581667E-1,1.522277892E-1,1.679750800E0,-2.640035748E-1
3.939771667E-1,1.933581680E-1,2.741851807E0,-2.414215505E-1
4.039971667E-1,2.363861650E-1,2.865190506E0,7.836871594E-2
4.140161667E-1,2.271199673E-1,2.244258881E0,4.511561394E-1
4.240351667E-1,2.692404091E-1,1.154661298E0,7.357140779E-1
4.340551667E-1,1.843296736E-2,1.538767964E-1,1.015644550E0
4.440741667E-1,-1.384321570E0,9.882329702E-1,1.362096190E0
4.540931667E-1,-2.591111183E0,9.428223372E-1,1.411441922E0
4.641121667E-1,-2.907768011E0,-1.642872766E-2,1.131568074E0
4.741321667E-1,-2.801752567E0,-9.891028702E-2,5.816653371E-1
4.841511667E-1,-2.262756109E0,4.035636187E-1,1.532651484E-1
4.941701667E-1,-1.533168316E0,6.731191874E-1,1.213641986E-1
5.041901667E-1,-8.903381228E-1,6.714078188E-1,4.190038517E-2
5.142091667E-1,-4.812824428E-1,1.175223351E0,-9.813208878E-2
5.242281667E-1,-4.526668787E-1,2.528147221E0,3.137203166E-3
5.342481667E-1,-5.411850214E-1,3.959990263E0,1.030323803E-1
5.442671667E-1,-3.847598433E-1,4.789155483E0,1.599815786E-1
5.542861667E-1,-5.554455519E-1,4.217896938E0,3.690357208E-1
5.643061667E-1,-1.571188569E0,1.694912434E0,6.180236936E-1
5.743251667E-1,-2.341462374E0,-7.730417848E-1,1.084965244E-1
5.843441667E-1,-2.488203049E0,-7.048923969E-1,8.315857500E-2
5.943631667E-1,-2.435979128E0,-8.065841198E-1,3.218214810E-1
6.043831667E-1,-2.237431765E0,-7.145287991E-1,8.570643514E-2
6.144021667E-1,-1.979916096E0,-4.868919253E-1,-4.413829446E-1
6.244211667E-1,-1.625306845E0,-2.376519889E-2,-1.271476984E0
6.344411667E-1,-1.203485250E0,4.109987915E-1,-2.187769413E0
6.444601667E-1,-7.190160751E-1,1.010652542E0,-2.755830050E0
6.544791667E-1,-1.379330009E-1,1.883126736E0,-3.002390146E0
6.644991667E-1,5.126788020E-1,2.853331804E0,-3.129768848E0
6.745181667E-1,1.234480739E0,3.911369801E0,-3.188631535E0
6.845371667E-1,1.871716380E0,4.314530849E0,-3.110516071E0
6.945571667E-1,1.899730444E0,3.230752468E0,-2.808295965E0
7.045761667E-1,1.662672997E0,2.550559282E0,-2.372282982E0
7.145952083E-1,5.551935434E-1,3.938708305E0,-6.103635430E-1
7.246152083E-1,2.198793739E-1,4.957935333E0,1.770470291E-1
7.346342083E-1,9.194031358E-1,5.385794163E0,-6.800525188E-1
7.446532083E-1,1.643287182E0,6.416124344E0,-1.563594699E0
7.546722083E-1,2.199721575E0,8.017865181E0,-2.123475790E0
7.646922083E-1,2.918983936E0,9.518218994E0,-2.681380272E0
7.747112083E-1,3.552873373E0,9.790126801E0,-3.145069122E0
7.847302083E-1,3.428041697E0,8.442212105E0,-3.267794132E0
7.947502083E-1,3.289877892E0,7.297783375E0,-3.107531071E0
8.047692083E-1,3.206353426E0,6.902491570E0,-2.651532888E0
8.147882083E-1,3.202962160E0,7.107934952E0,-2.175511360E0
8.248082083E-1,3.399038076E0,7.958428383E0,-1.846055031E0
8.348272083E-1,3.724808693E0,8.820680618E0,-1.675359964E0
8.448462083E-1,3.876721859E0,8.594466209E0,-1.483725429E0
8.548662083E-1,3.537679434E0,7.129771709E0,-1.001411200E0
8.648852083E-1,2.780129433E0,5.463077068E0,-1.707625687E-1
8.749042083E-1,1.940306664E0,4.136912823E0,6.627407670E-1
8.849242083E-1,1.392196536E0,3.329358339E0,1.099848032E0
8.949432083E-1,1.309580207E0,3.302801132E0,1.200075746E0
9.049622083E-1,1.816552877E0,3.888402462E0,1.163680196E0
9.149822083E-1,2.798519373E0,4.746176243E0,1.177570701E0
9.250012083E-1,3.676760197E0,5.843523979E0,1.279154062E0
9.350202083E-1,2.372683287E0,5.918110847E0,6.746546030E-1
9.450392083E-1,-2.931896150E-1,5.120359898E0,-2.705256045E-1
9.550592083E-1,-9.572221637E-1,4.032692909E0,-1.189648435E-1
9.650782083E-1,-2.100642920E-1,2.317891359E0,5.529752374E-1
9.750972083E-1,-4.351697862E-4,1.811700106E0,7.312799692E-1
9.851172083E-1,3.486686945E-1,2.355817556E0,5.938187838E-1
9.951362083E-1,1.224463820E0,2.698146582E0,4.626783133E-1
1.005155208E0,1.890816569E0,2.799510241E0,5.919795483E-2
1.015175208E0,1.984721422E0,2.991166115E0,-2.949523926E-1
1.025194208E0,1.855507016E0,2.991389275E0,-2.432984859E-2
1.035213208E0,1.808664083E0,2.340441942E0,6.239064932E-1
1.045233208E0,1.834739327E0,1.290459514E0,9.980932474E-1
1.055252208E0,1.655970693E0,4.168699384E-1,1.132229447E0
1.065271208E0,1.163146377E0,-1.044367552E-1,1.052399039E0
1.075291208E0,6.087678671E-1,-6.508105993E-1,3.561208248E-1
