"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.324416666E-2,5.307277679E0,9.611129761E0,-3.598059082E1
2.326316667E-2,5.429256439E0,9.659996033E0,-3.579321289E1
3.328216667E-2,5.546026230E0,9.806297302E0,-3.567364502E1
4.330216667E-2,5.916061401E0,1.011938477E1,-3.556335449E1
5.332116667E-2,6.112459183E0,1.033068848E1,-3.535870361E1
6.334016667E-2,6.251121521E0,1.057200623E1,-3.512265015E1
7.336016667E-2,6.370359421E0,1.059618378E1,-3.512835693E1
8.337916667E-2,6.410747528E0,1.074990082E1,-3.488034058E1
9.339816667E-2,6.457784653E0,1.099052429E1,-3.485614014E1
1.034181667E-1,6.477558136E0,1.133180237E1,-3.497668457E1
1.134371667E-1,6.532209396E0,1.143523407E1,-3.483099365E1
1.234561667E-1,6.608959198E0,1.174432373E1,-3.467031860E1
1.334751667E-1,6.638050079E0,1.206832123E1,-3.443414307E1
1.434951667E-1,6.652759552E0,1.246505737E1,-3.428652954E1
1.535141667E-1,6.848608017E0,1.299398041E1,-3.414154053E1
1.635331667E-1,7.050426483E0,1.329431915E1,-3.407635498E1
1.735531667E-1,7.202377319E0,1.358758545E1,-3.388790894E1
1.835721667E-1,7.512334824E0,1.382375336E1,-3.370132446E1
1.935911667E-1,7.699733734E0,1.421336365E1,-3.341201782E1
2.036111667E-1,8.076553345E0,1.459485626E1,-3.315451050E1
2.136301667E-1,8.496160507E0,1.490206146E1,-3.301556396E1
2.236491667E-1,8.962223053E0,1.530678558E1,-3.272625732E1
2.336681667E-1,9.026819229E0,1.580950165E1,-3.229296875E1
2.436881667E-1,8.891166687E0,1.654174042E1,-3.223419189E1
2.537071667E-1,8.409009933E0,1.729627228E1,-3.193493652E1
2.637261667E-1,8.097148895E0,1.810800934E1,-3.168774414E1
2.737461667E-1,7.790397644E0,1.861115265E1,-3.114752197E1
2.837651667E-1,7.543819427E0,1.921157837E1,-3.096759033E1
2.937841667E-1,7.480463028E0,1.963852692E1,-3.080511475E1
3.038041667E-1,7.042297363E0,2.007010651E1,-3.061083984E1
3.138231667E-1,6.464632034E0,2.014935303E1,-3.074652100E1
3.238421667E-1,6.100830078E0,2.038666534E1,-3.069940186E1
3.338611667E-1,5.837522507E0,2.012020874E1,-3.063516235E1
3.438811667E-1,5.769361496E0,1.993525696E1,-3.082162476E1
