"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.281408333E-2,-3.001600912E-1,2.227561122E-1,-1.946268242E0
2.283308333E-2,-3.707701904E-1,3.389864802E-1,-2.165625952E0
3.285208333E-2,-3.951238436E-1,2.162738889E-1,-1.653290870E0
4.287208333E-2,-6.588920340E-1,-3.558206141E-2,-8.634188667E-1
5.289108333E-2,-6.942340672E-1,-1.495220751E-1,4.007769316E-2
6.291008333E-2,-2.104638323E0,4.312532043E-1,9.303417116E-2
7.292612499E-2,-1.440901871E0,3.009556049E-1,1.016599837E-1
8.294512500E-2,1.807014754E-1,-2.513378870E-1,-6.056850028E-1
9.296412500E-2,5.067904598E-1,-6.181541902E-1,-1.532003830E0
1.029831250E-1,8.744958320E-1,-6.235938549E-1,-1.805036641E0
1.130031250E-1,9.705775720E-1,-5.784118348E-1,-1.633486058E0
1.230221250E-1,7.881497061E-1,-9.080416006E-1,-1.327615284E0
1.330411250E-1,6.760489342E-1,-7.986238235E-1,-9.807204446E-1
1.430611250E-1,6.107799742E-1,-4.818117392E-1,-1.177642389E0
1.530801250E-1,6.691302162E-1,-7.514046335E-1,-1.407364874E0
1.630991250E-1,6.306251317E-1,-7.968018311E-1,-1.206084123E0
1.731181250E-1,5.404780233E-1,-7.358709204E-1,-9.317877281E-1
1.831381250E-1,5.720857322E-1,-1.130579612E0,-8.458810204E-1
1.931571250E-1,7.171265012E-1,-1.568173537E0,-9.387143397E-1
2.031761250E-1,8.427518830E-1,-1.908524172E0,-1.692152050E0
2.131951250E-1,9.011246368E-1,-2.073977571E0,-2.707383639E0
2.232151250E-1,1.017034870E0,-1.769472706E0,-3.694533974E0
2.332341250E-1,7.243226695E-1,-1.178245529E0,-3.984566395E0
2.432531250E-1,2.976764864E-1,-7.134152734E-1,-3.233958737E0
2.532731250E-1,4.604916215E-2,-7.717827648E-1,-2.693092459E0
2.632921250E-1,-2.030273142E-1,-1.157732912E0,-2.015060734E0
2.733111250E-1,-5.972112179E-2,-1.759801996E0,-2.262783872E0
2.833301250E-1,7.305370903E-1,-1.969640440E0,-3.661034106E0
2.933501250E-1,1.442722110E0,-2.000591506E0,-4.971388117E0
3.033691250E-1,1.723919388E0,-2.985032827E0,-4.896428274E0
3.133881250E-1,1.895245730E0,-3.949806452E0,-4.286222204E0
3.234071250E-1,2.358272120E0,-3.871574215E0,-3.841342941E0
3.334271250E-1,2.607393912E0,-3.565449087E0,-3.766282234E0
3.434461250E-1,2.184905684E0,-3.531205453E0,-2.843727844E0
3.534651250E-1,1.275031566E0,-3.049803604E0,-6.998737067E-1
3.634851250E-1,8.162829995E-2,-2.612838255E0,1.927916902E0
3.735041250E-1,-1.348569074E0,-2.178332829E0,4.436074939E0
3.835231250E-1,-3.312583323E0,-1.075805819E-1,7.772801415E0
3.935421250E-1,-5.047984888E0,2.210518827E0,1.046266621E1
4.035621250E-1,-4.480903203E0,2.136077925E0,7.859767054E0
4.135811250E-1,-3.339541326E0,9.501579255E-1,6.563369762E0
4.236001250E-1,-1.706683550E0,1.347408986E-1,5.394951648E0
4.336191250E-1,-4.653003716E-1,-2.408117294E-1,3.400985037E0
4.436391250E-1,2.823316383E-1,-6.552623749E-2,2.192439237E0
4.536581250E-1,-7.582727730E-2,5.210208285E-1,2.018763483E0
4.636771250E-1,-6.769923824E-1,1.106446983E0,2.775254025E0
4.736971250E-1,-1.326218092E0,1.114368791E0,4.007278735E0
4.837161250E-1,-1.503104551E0,8.102083272E-1,4.287633430E0
4.937351250E-1,-1.448406188E0,4.867280781E-1,4.343024104E0
5.037541250E-1,-1.561600682E0,1.351151204E-1,3.963431634E0
5.137741250E-1,-1.260299506E0,8.066233993E-2,3.722859641E0
5.237931250E-1,-1.211799191E0,2.624429190E-1,4.307573605E0
5.338121250E-1,-2.253162571E0,8.183318639E-1,4.444727064E0
5.438321250E-1,-3.369269739E0,1.800740107E0,3.640389926E0
5.538511250E-1,-4.090584016E0,2.991572937E0,2.970277963E0
5.638701250E-1,-4.244072843E0,3.206983193E0,1.984189482E0
5.738891250E-1,-4.631440939E0,5.146684134E0,-1.517056593E0
5.839091250E-1,-4.977069272E0,4.536561972E0,1.326065480E0
5.939281250E-1,-4.943106304E0,1.750057027E-1,1.955759150E0
6.039471250E-1,-5.200633469E0,1.409930339E0,2.390314715E0
6.139671250E-1,-4.754870984E0,5.153116656E0,2.770713370E0
6.239861250E-1,-5.258819697E0,7.279967675E0,2.565294836E0
