"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.498901844E-2,5.236763539E1,4.870825782E0,3.001987576E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
5.461597443E-2,5.236729299E1,4.869750403E0,-1.088226199E0,-1.000000000E0,-1.000000000E0,2.000000000E3,2.000000000E3
6.228303909E-2,5.236711055E1,4.869102220E0,-1.088226199E0,-1.000000000E0,-1.000000000E0,2.000000000E3,2.000000000E3
4.472900629E-1,5.236763539E1,4.870825782E0,3.067836523E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
2.074532986E0,5.236763539E1,4.870825782E0,3.090816438E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
6.915747046E0,5.236763539E1,4.870825782E0,3.110218287E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
1.341308701E1,5.236763539E1,4.870825782E0,2.974204540E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
1.989027500E1,5.236763539E1,4.870825782E0,2.871161103E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
2.640024805E1,5.236763539E1,4.870825782E0,2.773062587E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
3.288181102E1,5.236763539E1,4.870825782E0,2.775513768E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
3.936307800E1,5.236763539E1,4.870825782E0,2.871161461E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
4.538350999E1,5.236763539E1,4.870825782E0,2.883497596E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
4.602182400E1,5.236763539E1,4.870825782E0,2.888137221E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
5.251661003E1,5.236763539E1,4.870825782E0,2.911798954E0,-1.000000000E0,-1.000000000E0,1.392416658E1,1.392416658E1
