"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.281408333E-2,2.477927780E1,-2.482189941E1,-2.344116211E1
2.283308333E-2,2.482085800E1,-2.475775909E1,-2.347766113E1
3.285208333E-2,2.484214783E1,-2.463951492E1,-2.334881592E1
4.287208333E-2,2.498405457E1,-2.423021698E1,-2.364569092E1
5.289108333E-2,2.504983139E1,-2.388695908E1,-2.411917114E1
6.291008333E-2,2.490674591E1,-2.379978561E1,-2.426992798E1
7.292612499E-2,2.489367104E1,-2.365684509E1,-2.461642456E1
8.294512500E-2,2.479994774E1,-2.353811264E1,-2.424703979E1
9.296412500E-2,2.484664917E1,-2.357595062E1,-2.437588501E1
1.029831250E-1,2.496325111E1,-2.327349472E1,-2.475018311E1
1.130031250E-1,2.501313782E1,-2.298394012E1,-2.487719727E1
1.230221250E-1,2.512310410E1,-2.278911591E1,-2.511264038E1
1.330411250E-1,2.515702057E1,-2.232658768E1,-2.545294189E1
1.430611250E-1,2.516754532E1,-2.203369904E1,-2.568600464E1
1.530801250E-1,2.529804039E1,-2.165630722E1,-2.577761841E1
1.630991250E-1,2.552319717E1,-2.124155807E1,-2.586029053E1
1.731181250E-1,2.569174576E1,-2.106999588E1,-2.587374878E1
1.831381250E-1,2.608720398E1,-2.080799866E1,-2.607470703E1
1.931571250E-1,2.647064781E1,-2.048751450E1,-2.581838989E1
2.031761250E-1,2.678483582E1,-2.029125977E1,-2.554248047E1
2.131951250E-1,2.736413383E1,-1.998548126E1,-2.524072266E1
2.232151250E-1,2.797521973E1,-1.970334244E1,-2.479779053E1
2.332341250E-1,2.876739120E1,-1.953837585E1,-2.426931763E1
2.432531250E-1,2.958719254E1,-1.926491928E1,-2.370547485E1
2.532731250E-1,3.033254242E1,-1.878487015E1,-2.275750732E1
2.632921250E-1,3.103083038E1,-1.819347000E1,-2.213360596E1
2.733111250E-1,3.188649368E1,-1.778995895E1,-2.145394897E1
2.833301250E-1,3.259528351E1,-1.714830780E1,-2.098745728E1
2.933501250E-1,3.348657608E1,-1.666399384E1,-1.972811890E1
3.033691250E-1,3.446228790E1,-1.604442978E1,-1.886791992E1
3.133881250E-1,3.541021347E1,-1.518975449E1,-1.794281006E1
3.234071250E-1,3.639896393E1,-1.418206787E1,-1.647335815E1
3.334271250E-1,3.741023636E1,-1.312141418E1,-1.540240479E1
3.434461250E-1,3.830060577E1,-1.173829269E1,-1.408666992E1
3.534651250E-1,3.915348434E1,-1.020672607E1,-1.277099609E1
3.634851250E-1,3.994186020E1,-8.692558289E0,-1.172476196E1
3.735041250E-1,4.043457413E1,-6.911979675E0,-1.113922119E1
3.835231250E-1,4.072900391E1,-5.225318909E0,-1.166815186E1
3.935421250E-1,4.074993896E1,-3.609397888E0,-1.250912476E1
4.035621250E-1,4.067603302E1,-2.325660706E0,-1.356826782E1
4.135811250E-1,4.058154678E1,-1.095825195E0,-1.439437866E1
4.236001250E-1,4.022859573E1,-5.141448975E-2,-1.530364990E1
4.336191250E-1,4.018759155E1,7.575988770E-1,-1.581042480E1
4.436391250E-1,4.036939240E1,1.324302673E0,-1.552056885E1
4.536581250E-1,4.068050003E1,1.624725342E0,-1.440438843E1
4.636771250E-1,4.099251556E1,1.954887390E0,-1.345202637E1
4.736971250E-1,4.139521027E1,2.141258240E0,-1.170974731E1
4.837161250E-1,4.183378601E1,2.307205200E0,-1.022354126E1
4.937351250E-1,4.219093323E1,2.571434021E0,-9.089111328E0
5.037541250E-1,4.239392471E1,2.845886230E0,-7.822021484E0
5.137741250E-1,4.254292297E1,3.249458313E0,-7.055084229E0
5.237931250E-1,4.262471390E1,3.613082886E0,-5.828460693E0
5.338121250E-1,4.265721512E1,4.082153320E0,-5.519195557E0
5.438321250E-1,4.266912079E1,4.452728271E0,-5.386596680E0
5.538511250E-1,4.252378845E1,4.944953918E0,-5.153564453E0
5.638701250E-1,4.248509979E1,5.259529114E0,-4.889526367E0
5.738891250E-1,4.259193802E1,5.280113220E0,-3.857666016E0
