"Time (s)","X (hPa)"
-5.544042500E-1,1.020180740E3
4.478407500E-1,1.020180969E3
1.449545750E0,1.020181198E3
2.451401750E0,1.020183640E3
3.453418750E0,1.020201035E3
4.455321750E0,1.020201035E3
5.004815750E0,1.020201035E3
6.006832750E0,1.020202560E3
7.008725750E0,1.020202560E3
8.010664750E0,1.020193176E3
9.012626750E0,1.020185699E3
1.001506075E1,1.020176849E3
1.101662275E1,1.020174637E3
1.201850275E1,1.020173492E3
1.302042975E1,1.020173492E3
1.402231275E1,1.020177002E3
1.502425675E1,1.020177002E3
1.602640775E1,1.020177155E3
1.702838675E1,1.020182800E3
1.803035475E1,1.020183105E3
1.903230175E1,1.020186157E3
2.003440275E1,1.020186157E3
2.103593675E1,1.020188675E3
2.203780775E1,1.020188675E3
2.303980775E1,1.020191498E3
2.404164275E1,1.020193405E3
2.504369875E1,1.020194092E3
2.604550375E1,1.020194092E3
2.704742075E1,1.020191422E3
2.804936275E1,1.020187531E3
2.905126075E1,1.020186615E3
3.005329375E1,1.020178757E3
3.105506475E1,1.020175934E3
3.205711975E1,1.020171814E3
3.305902375E1,1.020171204E3
3.406099775E1,1.020171204E3
3.506277475E1,1.020171661E3
3.606475675E1,1.020174713E3
3.706662175E1,1.020177917E3
3.806859975E1,1.020179062E3
3.907044475E1,1.020188141E3
4.007238375E1,1.020193634E3
4.107460975E1,1.020197983E3
4.207622475E1,1.020201263E3
4.307816375E1,1.020201263E3
